time,open,high,low,close,volume
1786074300,128.43,128.67,127.89,128.58,65772
1786074360,128.4,128.5,128.27,128.5,14207
1786074420,128.53,128.6,128.5,128.5,17755
1786074480,128.47,128.49,128.43,128.49,6263
1786074540,128.46,128.54,127.92,127.92,38961
1786074600,127.92,128.0,127.91,127.96,15453
1786074660,128.0,128.28,128.0,128.22,5106
1786074720,128.22,128.39,128.22,128.31,6449
1786074780,128.31,128.35,128.19,128.23,13145
1786074840,128.23,128.39,128.18,128.29,22539
1786074900,128.2,128.2,128.1,128.12,9804
1786074960,128.1,128.13,128.06,128.13,3087
1786075020,128.16,128.16,127.84,128.07,37141
1786075080,128.07,128.11,127.7,127.72,25923
1786075140,127.76,127.99,127.6,127.79,42303
1786075200,127.79,127.8,127.71,127.71,3435
1786075260,127.77,127.77,127.71,127.71,17488
1786075320,127.74,127.87,127.71,127.8,8755
1786075380,127.85,127.85,127.62,127.65,8520
1786075440,127.7,127.73,127.5,127.52,22348
1786075500,127.52,127.63,127.49,127.6,8596
1786075560,127.65,127.65,127.4,127.49,22541
1786075620,127.45,127.59,127.44,127.47,6900
1786075680,127.47,127.58,127.47,127.58,1438
1786075740,127.56,127.56,127.35,127.35,29758
1786075800,127.4,127.41,127.32,127.39,3070
1786075860,127.38,127.44,127.38,127.4,1273
1786075920,127.3,127.4,127.28,127.39,14635
1786075980,127.42,127.47,127.39,127.41,2056
1786076040,127.41,127.45,127.31,127.37,4634
1786076100,127.42,127.55,127.36,127.5,6619
1786076160,127.5,127.5,127.31,127.37,10517
1786076220,127.37,127.37,127.26,127.3,9098
1786076280,127.3,127.34,127.25,127.25,1436
1786076340,127.25,127.3,127.25,127.28,8626
1786076400,127.21,127.3,127.07,127.3,33470
1786076460,127.3,127.42,127.3,127.42,4176
1786076520,127.39,127.5,127.35,127.37,6832
1786076580,127.43,127.43,127.36,127.38,688
1786076640,127.38,127.38,127.3,127.33,3847
1786076700,127.33,127.4,127.33,127.4,453
1786076760,127.43,127.43,127.25,127.25,11009
1786076820,127.25,127.32,127.25,127.29,4153
1786076880,127.25,127.29,127.25,127.29,1054
1786076940,127.3,127.35,127.25,127.35,1251
1786077000,127.36,127.37,127.3,127.3,3887
1786077060,127.3,127.3,127.2,127.23,24351
1786077120,127.24,127.31,127.23,127.28,1710
1786077180,127.31,127.34,127.26,127.34,186
1786077240,127.28,127.42,127.24,127.42,3645
1786077300,127.4,127.49,127.3,127.38,7898
1786077360,127.39,127.45,127.34,127.41,2692
1786077420,127.41,127.76,127.41,127.5,13761
1786077480,127.53,127.6,127.49,127.57,2387
1786077540,127.55,127.58,127.5,127.51,8299
1786077600,127.56,127.57,127.5,127.52,8001
1786077660,127.54,127.59,127.26,127.26,27250
1786077720,127.25,127.27,127.05,127.05,23264
1786077780,127.06,127.1,127.06,127.08,2623
1786077840,127.07,127.48,127.06,127.48,38142
1786077900,127.48,127.48,127.28,127.35,8441
1786077960,127.35,127.38,127.29,127.38,672
1786078020,127.35,127.35,127.23,127.23,3716
1786078080,127.2,127.26,127.12,127.12,13027
1786078140,127.12,127.23,127.1,127.14,5939
1786078200,127.15,127.23,127.15,127.22,900
1786078260,127.22,127.3,127.15,127.3,1091
1786078320,127.27,127.35,127.27,127.31,1228
1786078380,127.34,127.34,127.18,127.25,3032
1786078440,127.25,127.25,127.19,127.25,1397
1786078500,127.25,127.27,127.2,127.27,1957
1786078560,127.28,127.28,127.19,127.24,6281
1786078620,127.25,127.28,127.2,127.26,10434
1786078680,127.25,127.28,127.21,127.26,2875
1786078740,127.26,127.26,127.15,127.21,5215
1786078800,127.18,127.26,127.18,127.25,1313
1786078860,127.25,127.28,127.22,127.24,2515
1786078920,127.2,127.29,127.2,127.26,4229
1786078980,127.2,127.38,127.2,127.29,2724
