time,open,high,low,close,volume
1786074300,155.5,155.5,154.5,154.76,24591
1786074360,154.74,154.74,154.14,154.4,4453
1786074420,154.37,154.43,153.71,153.71,19221
1786074480,154.05,154.23,154.05,154.22,909
1786074540,154.09,154.22,154.09,154.1,1476
1786074600,154.15,154.15,153.64,153.8,10050
1786074660,153.72,153.9,153.72,153.9,5570
1786074720,153.92,153.92,153.74,153.76,3734
1786074780,154.11,154.12,153.8,153.8,1861
1786074840,153.9,153.91,153.82,153.86,767
1786074900,153.72,153.89,153.53,153.89,14071
1786074960,153.9,153.95,153.85,153.86,1113
1786075020,153.74,153.79,153.62,153.79,5205
1786075080,153.73,153.79,153.65,153.7,456
1786075140,153.65,153.72,153.53,153.7,10822
1786075200,153.67,153.75,153.67,153.68,851
1786075260,153.73,153.75,153.71,153.74,477
1786075320,153.74,153.86,153.74,153.86,657
1786075380,153.92,153.92,153.75,153.83,978
1786075440,153.83,153.88,153.71,153.88,221
1786075500,153.86,154.04,153.86,153.9,7255
1786075560,153.87,153.87,153.73,153.73,478
1786075620,153.8,153.8,153.7,153.7,1267
1786075680,153.76,153.81,153.61,153.81,8211
1786075740,153.75,153.8,153.61,153.64,1696
1786075800,153.66,153.79,153.66,153.67,401
1786075860,153.74,153.74,153.6,153.6,3505
1786075920,153.64,154.67,153.56,154.67,10354
1786075980,154.74,154.85,154.65,154.83,11219
1786076040,154.85,154.94,154.78,154.91,6183
1786076100,155.05,155.05,154.53,154.7,12182
1786076160,154.54,154.86,154.54,154.75,25994
1786076220,154.8,154.8,154.7,154.73,778
1786076280,154.79,154.8,154.71,154.8,581
1786076340,154.8,154.8,154.63,154.79,1505
1786076400,154.79,154.79,154.77,154.77,625
1786076460,154.77,154.77,154.76,154.76,273
1786076520,154.76,154.76,154.52,154.62,5122
1786076580,154.62,154.62,154.6,154.61,80
1786076640,154.6,154.6,154.45,154.56,521
1786076700,154.57,154.64,154.52,154.56,988
1786076760,154.63,154.64,154.5,154.56,464
1786076820,154.56,154.56,154.55,154.55,402
1786076880,154.5,154.5,154.4,154.5,1808
1786076940,154.5,154.5,154.49,154.49,158
1786077000,154.48,154.5,154.35,154.43,2265
1786077060,154.43,154.5,154.43,154.5,1145
1786077120,154.5,154.5,154.3,154.3,405
1786077180,154.3,154.3,154.2,154.28,858
1786077240,154.28,154.28,154.28,154.28,384
1786077300,154.28,154.28,154.21,154.28,401
1786077360,154.21,154.28,154.2,154.2,341
1786077420,154.09,154.17,154.06,154.16,734
1786077480,154.16,154.16,154.12,154.14,120
1786077540,154.12,154.23,154.12,154.19,4153
1786077600,154.19,154.23,154.13,154.18,479
1786077660,154.18,154.18,154.15,154.15,37
1786077720,154.06,154.14,154.06,154.14,492
1786077780,154.14,154.16,154.06,154.14,2951
1786077840,154.14,154.17,154.01,154.17,1486
1786077900,154.17,154.17,154.14,154.14,418
1786077960,154.14,154.14,154.12,154.12,298
1786078020,154.12,154.12,154.01,154.01,324
