time,open,high,low,close,volume
1786074300,390.1,391.7,390.1,391.7,603
1786074360,391.65,392.25,391.35,391.75,2701
1786074420,391.95,391.95,391.45,391.45,632
1786074480,391.3,391.5,391.3,391.5,39
1786074540,391.5,391.5,391.5,391.5,2
1786074600,391.75,391.75,391.75,391.75,1
1786074660,392.35,393.0,392.25,392.65,2651
1786074720,392.65,393.25,392.65,393.25,19
1786074780,393.15,393.15,393.15,393.15,59
1786074840,393.45,393.45,393.25,393.35,928
1786074900,393.15,393.15,392.8,393.1,351
1786074960,393.4,393.75,393.4,393.75,779
1786075020,392.9,393.3,392.9,393.25,200
1786075080,393.25,393.25,393.25,393.25,120
1786075140,393.65,393.65,392.95,392.95,23
1786075200,393.05,393.05,393.05,393.05,47
1786075260,393.45,393.45,393.35,393.35,6
1786075320,393.4,393.85,393.4,393.85,982
1786075380,393.85,394.1,393.85,393.85,229
1786075440,393.85,393.85,393.85,393.85,25
1786075500,393.6,394.05,393.6,393.75,142
1786075560,393.8,393.8,393.6,393.65,29
1786075620,393.65,393.65,393.4,393.4,214
1786075680,393.4,393.45,393.15,393.45,654
1786075740,393.45,393.45,393.45,393.45,16
1786075800,393.45,393.5,393.45,393.5,203
1786075860,393.35,393.4,393.35,393.4,26
1786075920,393.55,393.65,393.55,393.65,16
1786075980,393.4,393.5,393.4,393.5,34
1786076040,393.5,393.5,393.25,393.25,34
1786076100,392.95,393.4,392.95,393.4,1179
1786076160,393.2,393.2,393.2,393.2,64
1786076220,393.25,393.25,393.15,393.15,24
1786076280,393.25,393.25,392.95,392.95,715
1786076340,393.0,393.05,392.9,392.9,135
1786076400,392.95,393.0,392.95,393.0,19
1786076460,393.1,393.75,393.1,393.75,615
1786076520,394.25,394.25,393.75,393.9,859
1786076580,393.65,393.7,393.55,393.55,210
1786076640,393.7,393.85,393.3,393.55,2656
1786076700,393.6,393.75,393.6,393.75,21
1786076760,393.75,393.75,393.4,393.4,26
1786076820,393.45,393.6,393.3,393.35,33
1786076880,393.4,393.45,393.4,393.45,19
1786076940,393.45,393.45,393.45,393.45,20
1786077000,393.35,393.45,393.35,393.45,32
1786077060,393.45,393.65,393.45,393.45,24
1786077120,393.45,393.5,393.35,393.35,38
1786077180,393.4,393.75,393.4,393.75,254
1786077240,393.8,393.8,393.55,393.65,139
1786077300,393.75,393.75,393.75,393.75,30
1786077360,393.6,393.7,393.6,393.7,17
1786077420,393.8,393.8,393.8,393.8,25
1786077480,393.8,393.85,393.65,393.65,82
1786077540,393.75,393.8,393.75,393.8,134
1786077600,393.8,394.15,393.8,394.15,22
1786077660,394.0,394.0,394.0,394.0,58
1786077720,394.0,394.0,393.7,393.7,75
1786077780,393.85,393.95,393.85,393.95,26
1786077840,393.95,393.95,393.9,393.9,96
1786077900,393.95,393.95,393.95,393.95,24
1786077960,394.0,394.0,393.7,393.75,188
1786078020,393.7,393.7,393.7,393.7,459
1786078080,393.7,393.7,393.7,393.7,16
1786078140,393.7,393.75,393.7,393.75,25
1786078200,393.75,393.8,393.35,393.35,89
1786078260,393.4,393.55,393.4,393.55,22
1786078320,393.7,393.7,393.7,393.7,67
1786078380,393.7,393.75,393.7,393.75,16
1786078440,393.8,393.8,393.6,393.6,97
1786078500,393.65,393.7,393.65,393.7,24
1786078560,393.7,393.8,393.7,393.8,24
1786078620,393.85,393.85,393.65,393.65,16
1786078680,393.75,394.0,393.75,393.8,26
1786078740,394.05,394.15,394.0,394.15,1247
1786078800,393.9,393.9,393.85,393.85,224
1786078860,393.9,393.95,393.9,393.95,19
1786078920,394.0,394.05,394.0,394.05,30
1786078980,394.05,394.05,394.05,394.05,17
1786079040,394.05,394.05,394.05,394.05,33
1786079100,394.05,394.05,393.9,394.05,89
1786079160,393.9,394.2,393.9,394.2,318
1786079220,394.25,394.25,394.25,394.25,16
1786079280,394.25,394.25,394.25,394.25,16
1786079340,394.25,394.5,394.25,394.25,24
1786079400,394.25,394.3,394.25,394.3,16
1786079460,394.35,394.6,394.3,394.3,31
1786079520,394.2,394.45,394.2,394.45,126
1786079580,394.45,394.5,394.45,394.5,25
1786079640,394.35,394.4,394.35,394.4,22
1786079700,394.5,394.8,394.15,394.8,1140
1786079760,394.75,394.75,394.6,394.65,21
1786079820,394.85,394.85,394.55,394.65,25
1786079880,394.65,394.65,394.65,394.65,26
1786079940,394.7,394.7,394.7,394.7,127
1786080000,394.75,394.75,394.7,394.75,87
1786080060,394.75,394.8,394.75,394.8,24
1786080120,395.2,395.2,394.7,394.7,4513
1786080180,394.85,394.95,394.7,394.7,81
1786080240,394.2,394.65,394.2,394.65,1429
1786080300,394.35,394.35,394.35,394.35,25
1786080360,394.35,394.75,394.35,394.35,272
1786080420,394.25,394.3,394.25,394.3,796
1786080480,394.3,394.35,394.3,394.3,24
1786080540,394.35,394.35,394.35,394.35,16
1786080600,394.35,394.6,394.35,394.4,16
1786080660,394.35,394.6,394.35,394.6,33
1786080720,394.35,394.7,394.35,394.7,113
1786080780,394.45,394.5,394.45,394.45,34
1786080840,394.45,394.45,394.35,394.35,95
1786080900,394.35,394.65,394.35,394.65,27
1786080960,394.65,394.65,394.4,394.4,34
1786081020,394.4,394.4,394.4,394.4,9
1786081080,394.35,394.5,394.35,394.5,23
1786081140,394.5,394.5,394.5,394.5,25
1786081200,394.5,394.85,394.5,394.85,511
1786081260,394.9,394.9,394.45,394.45,281
1786081320,394.55,394.6,394.55,394.6,51
1786081380,394.6,394.8,394.6,394.8,23
1786081440,394.6,394.85,394.6,394.65,59
1786081500,394.7,394.75,394.7,394.75,16
1786081560,394.8,394.9,394.8,394.9,100
1786081620,394.95,394.95,394.95,394.95,31
1786081680,394.95,394.95,394.7,394.7,841
1786081740,394.85,394.95,394.85,394.95,29
1786081800,394.95,395.5,394.75,394.75,1327
1786081860,394.9,394.9,394.9,394.9,17
1786081920,395.2,395.2,394.75,394.75,115
1786081980,394.8,395.0,394.8,395.0,48
1786082040,395.1,395.15,395.0,395.0,27
1786082100,395.1,395.1,395.1,395.1,23
1786082160,395.1,395.1,395.1,395.1,16
1786082220,395.1,395.1,395.0,395.0,77
1786082280,395.0,395.0,394.8,394.8,49
1786082340,394.75,395.0,394.75,395.0,41
1786082400,394.7,394.75,394.7,394.75,25
1786082460,394.75,394.75,394.45,394.5,789
1786082520,394.55,394.8,394.5,394.55,21
1786082580,394.55,394.55,394.2,394.2,184
1786082640,394.5,394.55,394.45,394.55,35
1786082700,394.65,394.75,394.5,394.75,382
1786082760,394.4,394.55,394.4,394.45,26
1786082820,394.5,394.5,394.5,394.5,17
1786082880,394.55,394.65,394.3,394.45,690
1786082940,394.45,394.45,394.2,394.2,146
1786083000,394.65,394.65,394.4,394.55,82
1786083060,394.45,394.6,394.45,394.55,15
1786083120,394.55,394.55,394.55,394.55,24
1786083180,394.65,394.65,394.55,394.55,28
1786083240,394.55,394.55,394.5,394.5,57
1786083300,394.5,394.55,394.5,394.55,163
1786083360,394.5,394.55,394.5,394.55,17
1786083420,394.6,394.65,394.6,394.65,25
1786083480,394.65,394.65,394.65,394.65,26
1786083540,394.65,394.65,394.65,394.65,16
1786083600,394.55,394.55,393.65,393.65,379
1786083720,393.95,393.95,393.95,393.95,223
1786083780,393.85,393.85,393.85,393.85,117
1786083840,393.85,393.85,393.85,393.85,165
1786083900,393.15,393.4,393.15,393.4,3308
