time,open,high,low,close,volume
1786074300,1160.1,1166.3,1155.6,1164.3,199322
1786074360,1164.7,1170.0,1163.6,1168.5,82042
1786074420,1168.9,1168.9,1166.1,1166.1,51334
1786074480,1166.5,1169.8,1166.5,1169.4,35403
1786074540,1169.4,1169.4,1167.4,1168.4,33836
1786074600,1168.4,1172.0,1168.4,1171.0,102826
1786074660,1171.0,1172.5,1171.0,1172.1,30796
1786074720,1172.0,1173.0,1171.6,1172.2,66493
1786074780,1172.1,1174.0,1171.9,1174.0,63309
1786074840,1173.6,1174.9,1173.5,1174.1,29528
1786074900,1174.4,1174.5,1172.2,1174.2,53867
1786074960,1174.4,1175.4,1173.1,1175.4,50877
1786075020,1175.0,1176.4,1174.4,1174.7,65753
1786075080,1175.0,1177.7,1174.6,1176.9,57025
1786075140,1176.7,1177.0,1175.5,1176.7,34997
1786075200,1176.6,1176.9,1175.5,1175.5,31362
1786075260,1175.6,1177.5,1175.4,1177.0,41799
1786075320,1177.1,1181.0,1176.8,1179.7,175172
1786075380,1179.6,1181.4,1179.1,1180.3,77603
1786075440,1180.1,1182.4,1179.1,1180.7,100334
1786075500,1180.1,1180.1,1178.0,1178.6,41900
1786075560,1178.6,1181.4,1178.6,1180.0,50175
1786075620,1180.0,1180.8,1178.3,1178.6,25739
1786075680,1179.5,1181.0,1178.5,1179.0,107693
1786075740,1179.2,1180.9,1178.8,1180.8,44814
1786075800,1180.9,1180.9,1179.1,1179.8,66874
1786075860,1179.6,1180.4,1179.1,1179.1,27489
1786075920,1179.2,1180.1,1179.0,1180.0,22470
1786075980,1180.0,1180.7,1179.0,1180.0,45888
1786076040,1179.8,1180.9,1179.8,1180.7,36382
1786076100,1180.7,1181.8,1180.1,1181.8,73466
1786076160,1182.0,1182.0,1180.8,1181.9,28142
1786076220,1181.7,1181.8,1180.6,1181.1,41122
1786076280,1181.6,1182.5,1181.0,1182.4,77731
1786076340,1182.6,1182.9,1180.6,1180.7,51130
1786076400,1180.7,1183.0,1180.7,1182.6,40285
1786076460,1182.9,1183.0,1181.1,1181.7,27132
