time,open,high,low,close,volume
1786074300,142.42,142.77,141.84,142.61,357472
1786074360,142.91,142.93,142.33,142.33,207207
1786074420,142.55,142.71,142.54,142.54,123942
1786074480,142.5,142.58,142.43,142.5,57599
1786074540,142.64,142.65,142.5,142.65,43799
1786074600,142.68,142.8,142.61,142.8,69854
1786074660,142.78,142.88,142.74,142.8,66784
1786074720,142.85,142.96,142.85,142.94,45928
1786074780,142.87,142.9,142.81,142.9,22206
1786074840,142.8,142.93,142.8,142.85,43061
1786074900,142.9,142.9,142.85,142.86,2504
1786074960,142.88,143.08,142.88,143.03,79159
1786075020,143.0,143.18,142.94,143.17,72181
1786075080,143.24,143.24,143.06,143.07,45239
1786075140,143.07,143.07,143.0,143.0,12326
1786075200,143.0,143.0,142.88,142.98,81701
1786075260,142.92,142.98,142.9,142.94,29042
1786075320,142.9,142.99,142.9,142.98,8817
1786075380,142.98,142.98,142.9,142.92,24337
1786075440,142.91,142.91,142.85,142.85,3297
1786075500,142.87,142.97,142.85,142.95,8529
1786075560,142.89,142.9,142.83,142.88,52308
1786075620,142.87,142.87,142.85,142.85,2797
1786075680,142.83,142.84,142.82,142.84,11506
1786075740,142.84,142.84,142.82,142.83,8176
1786075800,142.83,142.87,142.77,142.87,18793
1786075860,142.82,142.82,142.8,142.82,4542
1786075920,142.82,142.9,142.81,142.9,22042
1786075980,142.9,142.9,142.84,142.84,19227
1786076040,142.8,142.98,142.8,142.93,31962
1786076100,142.87,142.93,142.84,142.87,3653
1786076160,142.87,142.88,142.8,142.83,12081
1786076220,142.8,142.89,142.77,142.85,11947
1786076280,142.85,142.85,142.8,142.8,4300
1786076340,142.75,142.86,142.75,142.8,18982
1786076400,142.75,142.84,142.75,142.84,1542
1786076460,142.84,142.95,142.84,142.95,21582
1786076520,142.94,142.94,142.84,142.85,5831
1786076580,142.86,142.9,142.86,142.86,3533
1786076640,142.9,142.93,142.86,142.86,12521
1786076700,142.89,142.95,142.86,142.91,12585
1786076760,142.92,142.97,142.9,142.94,4087
1786076820,142.94,142.94,142.87,142.87,11175
1786076880,142.85,142.98,142.85,142.93,25914
1786076940,142.99,142.99,142.93,142.93,2965
1786077000,142.96,142.98,142.91,142.93,3989
1786077060,142.93,142.96,142.91,142.95,6827
1786077120,142.9,142.99,142.9,142.96,12740
1786077180,142.95,142.99,142.95,142.97,11743
1786077240,142.99,142.99,142.94,142.94,1986
1786077300,142.91,142.94,142.9,142.94,4689
1786077360,142.94,142.94,142.85,142.85,24090
