time,open,high,low,close,volume
1786074300,1720.0,1725.6,1715.0,1715.0,2063
1786074360,1715.0,1718.3,1711.7,1718.2,1248
1786074420,1720.6,1724.3,1719.4,1721.9,472
1786074480,1724.0,1724.0,1719.2,1721.6,628
1786074540,1725.0,1725.0,1720.0,1720.1,1492
1786074600,1721.9,1722.3,1715.1,1722.3,875
1786074660,1721.0,1721.6,1719.4,1719.4,14
1786074720,1719.4,1720.0,1719.4,1720.0,121
1786074780,1718.5,1719.6,1718.0,1719.0,68
1786074840,1719.6,1719.6,1718.0,1718.5,207
1786074900,1718.0,1718.2,1716.1,1716.1,436
1786074960,1716.6,1718.3,1716.6,1718.3,47
1786075020,1719.7,1720.0,1719.5,1720.0,39
1786075080,1720.0,1722.8,1719.9,1722.8,184
1786075140,1723.0,1723.0,1720.1,1720.4,712
1786075200,1722.7,1723.0,1720.7,1723.0,391
1786075260,1722.8,1726.6,1722.1,1724.4,1626
1786075320,1723.2,1726.6,1723.2,1726.6,363
1786075380,1726.0,1726.2,1724.6,1724.6,161
1786075440,1723.5,1724.7,1723.5,1723.6,33
1786075500,1724.7,1726.8,1724.6,1724.6,319
1786075560,1724.5,1724.5,1722.0,1722.0,75
1786075620,1723.6,1724.0,1721.0,1723.0,519
1786075680,1720.9,1723.1,1720.9,1723.1,101
1786075740,1723.1,1723.1,1721.3,1723.1,41
1786075800,1723.1,1723.5,1721.6,1723.4,56
1786075860,1723.5,1723.5,1720.8,1720.9,116
1786075920,1720.9,1722.1,1720.9,1722.1,6
1786075980,1722.8,1724.0,1721.5,1724.0,195
1786076040,1723.0,1723.9,1723.0,1723.9,3
1786076100,1723.9,1726.9,1723.9,1726.9,333
1786076160,1726.9,1728.0,1725.5,1725.5,344
1786076220,1726.8,1727.9,1726.8,1727.9,262
1786076280,1728.0,1730.9,1728.0,1728.2,895
1786076340,1729.7,1729.9,1729.7,1729.9,120
1786076400,1730.2,1730.2,1727.6,1727.6,168
1786076460,1728.9,1728.9,1727.8,1728.9,51
1786076520,1729.9,1729.9,1728.9,1728.9,25
1786076580,1728.0,1728.0,1728.0,1728.0,10
1786076640,1727.8,1727.8,1727.0,1727.0,373
1786076700,1727.8,1728.7,1727.3,1728.7,104
1786076760,1727.5,1728.7,1727.5,1728.7,41
1786076820,1728.0,1728.1,1728.0,1728.1,44
1786076880,1727.0,1727.0,1727.0,1727.0,82
1786076940,1728.1,1728.1,1726.9,1727.0,93
1786077000,1728.1,1728.1,1727.0,1727.7,29
1786077060,1727.1,1727.7,1727.0,1727.7,82
1786077120,1727.7,1728.1,1727.7,1728.1,9
1786077180,1728.9,1728.9,1727.8,1727.8,147
1786077300,1731.0,1732.0,1728.7,1732.0,670
1786077360,1731.6,1731.6,1731.6,1731.6,2
1786077420,1732.0,1732.0,1730.7,1731.5,136
1786077480,1731.5,1732.0,1730.7,1732.0,122
1786077540,1730.1,1732.4,1730.0,1730.5,766
1786077600,1730.4,1730.7,1728.8,1730.7,138
1786077660,1729.0,1730.4,1729.0,1729.5,27
1786077720,1730.4,1730.4,1730.4,1730.4,4
1786077780,1730.5,1730.5,1728.9,1729.3,439
1786077840,1731.2,1732.0,1729.7,1732.0,712
1786077900,1731.8,1734.1,1731.4,1734.1,542
1786077960,1734.2,1735.5,1732.4,1732.4,593
1786078020,1732.0,1732.5,1732.0,1732.5,528
1786078080,1732.5,1732.5,1732.5,1732.5,10
1786078140,1733.5,1733.6,1733.5,1733.6,177
1786078200,1734.5,1734.5,1734.4,1734.5,183
1786078260,1735.4,1735.5,1730.0,1730.0,2481
1786078320,1730.0,1730.0,1730.0,1730.0,11
1786078380,1731.4,1731.4,1731.4,1731.4,72
1786078440,1730.3,1730.3,1730.3,1730.3,17
1786078500,1731.4,1731.4,1731.4,1731.4,24
1786078560,1731.0,1731.4,1731.0,1731.4,28
1786078620,1731.4,1731.4,1730.3,1730.3,72
1786078680,1730.3,1731.5,1730.3,1730.3,203
1786078740,1731.1,1731.1,1731.1,1731.1,25
1786078800,1731.3,1732.0,1731.3,1732.0,203
1786078860,1732.0,1733.3,1732.0,1733.2,44
1786078920,1734.0,1734.0,1734.0,1734.0,27
1786078980,1734.0,1735.3,1734.0,1735.3,324
1786079040,1734.0,1734.9,1734.0,1734.9,49
1786079100,1734.0,1734.0,1732.2,1732.2,652
1786079160,1730.0,1730.0,1729.4,1729.4,328
1786079220,1729.3,1729.3,1728.0,1728.2,108
1786079280,1728.2,1729.7,1728.2,1729.7,15
1786079340,1731.3,1731.3,1729.5,1729.7,35
1786079400,1729.7,1729.7,1729.5,1729.5,4
1786079460,1729.7,1730.6,1729.7,1730.5,54
1786079520,1730.5,1731.3,1730.5,1730.5,28
1786079580,1731.0,1731.0,1730.5,1731.0,14
1786079640,1731.0,1733.4,1731.0,1731.0,163
1786079820,1731.0,1732.3,1731.0,1731.6,114
1786079880,1732.4,1732.4,1731.6,1731.6,28
1786079940,1733.4,1733.4,1731.6,1731.6,129
1786080000,1732.4,1732.4,1731.8,1731.8,78
1786080060,1732.4,1733.4,1732.4,1733.4,58
1786080120,1734.1,1734.1,1733.5,1733.5,41
1786080180,1734.4,1734.5,1734.4,1734.5,14
1786080240,1734.5,1734.5,1734.5,1734.5,17
1786080300,1735.4,1735.4,1730.9,1730.9,681
1786080360,1732.0,1732.0,1732.0,1732.0,44
1786080420,1732.0,1732.0,1731.6,1731.6,120
1786080480,1730.0,1730.0,1729.7,1729.7,170
1786080540,1730.0,1730.0,1730.0,1730.0,2
1786080600,1728.2,1728.2,1726.4,1727.9,389
1786080720,1728.0,1728.8,1728.0,1728.8,51
1786080780,1728.8,1728.8,1728.8,1728.8,2
1786080840,1728.0,1728.0,1728.0,1728.0,3
1786080900,1728.8,1728.8,1728.0,1728.0,48
1786081080,1728.8,1728.8,1727.0,1727.0,327
1786081140,1727.0,1727.0,1727.0,1727.0,4
1786081200,1727.7,1727.7,1727.0,1727.0,51
1786081260,1727.0,1727.0,1727.0,1727.0,84
1786081380,1727.7,1727.9,1727.0,1727.9,138
1786081440,1726.7,1726.8,1726.7,1726.8,5
1786081500,1727.5,1727.5,1727.5,1727.5,14
1786081620,1727.5,1727.5,1727.5,1727.5,35
1786081680,1726.5,1726.5,1726.5,1726.5,2
1786081740,1725.0,1725.1,1725.0,1725.1,186
1786081800,1726.4,1726.5,1725.6,1726.5,55
1786081920,1726.5,1726.5,1726.5,1726.5,50
1786081980,1725.6,1725.6,1725.6,1725.6,14
1786082040,1725.6,1725.6,1724.9,1725.2,251
1786082100,1726.0,1727.2,1726.0,1727.2,122
1786082160,1727.9,1729.5,1727.9,1727.9,127
1786082220,1727.2,1727.2,1727.2,1727.2,107
1786082280,1728.7,1729.4,1728.7,1729.4,172
1786082340,1727.3,1727.3,1727.0,1727.0,4
1786082400,1727.9,1727.9,1727.9,1727.9,52
1786082460,1727.1,1727.3,1727.0,1727.3,22
1786082520,1727.0,1727.0,1726.0,1726.0,199
1786082580,1726.0,1726.4,1726.0,1726.4,34
1786082640,1726.0,1726.0,1724.6,1724.6,26
1786082700,1724.6,1724.6,1722.0,1723.7,337
1786082760,1722.2,1722.3,1722.2,1722.3,10
1786082820,1722.6,1723.5,1722.6,1723.0,106
1786082880,1723.7,1724.2,1723.7,1724.2,33
1786082940,1724.2,1724.8,1724.2,1724.4,29
1786083000,1724.7,1724.8,1723.9,1724.0,20
1786083060,1724.0,1724.1,1723.9,1724.1,61
1786083120,1724.1,1724.4,1723.6,1723.6,721
1786083180,1723.0,1724.3,1723.0,1724.3,294
1786083240,1725.1,1725.2,1724.1,1724.3,229
1786083300,1724.1,1724.3,1724.1,1724.3,17
1786083360,1724.3,1724.7,1724.1,1724.7,229
1786083420,1724.7,1725.2,1724.7,1725.0,281
1786083480,1725.0,1725.0,1724.1,1724.2,288
1786083540,1724.1,1724.3,1722.0,1722.1,344
1786083600,1723.0,1723.0,1722.2,1722.6,18
1786083660,1722.5,1723.2,1722.3,1723.2,49
1786083720,1722.3,1722.3,1722.3,1722.3,29
1786083780,1722.3,1724.9,1722.3,1723.0,543
1786083840,1723.0,1723.0,1722.0,1723.0,37
1786083900,1723.0,1723.5,1722.8,1723.1,88
1786083960,1723.0,1723.0,1722.7,1722.7,9
1786084020,1722.7,1722.7,1722.0,1722.0,13
1786084080,1722.0,1722.3,1722.0,1722.0,42
1786084140,1722.0,1722.0,1722.0,1722.0,9
1786084200,1722.2,1722.2,1722.0,1722.0,62
1786084260,1722.0,1722.0,1720.8,1720.8,64
1786084320,1721.0,1721.3,1720.8,1721.3,93
1786084380,1721.0,1721.3,1720.9,1720.9,101
1786084440,1720.9,1720.9,1720.9,1720.9,10
1786084500,1720.9,1720.9,1720.9,1720.9,129
1786084560,1721.0,1721.0,1720.9,1720.9,350
1786084620,1720.1,1720.1,1720.1,1720.1,26
1786084680,1721.0,1721.1,1720.6,1721.0,56
1786084740,1721.0,1721.2,1721.0,1721.2,105
1786084800,1721.1,1721.6,1721.0,1721.0,64
1786084860,1721.1,1722.6,1721.1,1722.6,199
1786084920,1722.6,1722.6,1721.6,1721.8,104
1786084980,1721.6,1721.7,1721.6,1721.6,22
1786085040,1721.7,1723.2,1721.7,1721.9,35
1786085100,1721.7,1722.0,1721.6,1721.6,35
1786085160,1721.6,1721.9,1721.6,1721.6,15
1786085220,1721.9,1722.0,1721.8,1722.0,104
1786085280,1722.0,1724.1,1722.0,1723.9,132
1786085340,1724.0,1724.6,1723.3,1724.0,34
1786085400,1724.0,1724.3,1724.0,1724.0,97
1786085460,1724.0,1724.0,1722.9,1723.3,9
1786085520,1723.3,1724.2,1722.8,1722.8,25
1786085580,1722.4,1722.7,1722.0,1722.3,16
1786085640,1722.2,1723.1,1722.2,1722.4,18
1786085700,1722.2,1723.1,1722.1,1722.1,39
1786085760,1722.0,1722.9,1722.0,1722.5,111
1786085820,1722.5,1723.7,1722.4,1723.2,61
1786085880,1722.4,1723.2,1722.2,1722.2,21
1786085940,1722.3,1724.1,1722.3,1724.1,55
1786086000,1722.4,1722.7,1722.1,1722.1,19
1786086060,1721.7,1722.6,1721.2,1721.4,50
1786086120,1721.4,1722.6,1721.4,1721.5,32
1786086180,1721.5,1723.2,1721.5,1722.0,109
1786086240,1722.0,1723.2,1722.0,1723.2,97
1786086300,1724.6,1725.6,1722.5,1723.7,254
1786086360,1723.2,1725.2,1723.0,1723.3,85
1786086420,1723.7,1724.2,1723.7,1724.2,21
1786086480,1724.2,1724.2,1723.0,1723.0,61
1786086540,1723.8,1723.8,1722.6,1722.6,241
1786086600,1722.6,1723.4,1722.5,1722.8,29
1786086660,1722.8,1723.1,1722.6,1722.6,18
1786086720,1722.6,1722.7,1722.0,1722.2,16
1786086780,1722.2,1722.7,1722.2,1722.3,8
1786086840,1723.1,1723.1,1722.1,1722.5,18
1786086900,1722.5,1723.5,1722.5,1723.1,64
1786086960,1723.0,1723.7,1723.0,1723.7,74
1786087020,1723.4,1724.4,1723.1,1724.4,20
1786087080,1723.8,1727.5,1723.2,1727.5,453
1786087140,1725.5,1725.5,1725.1,1725.1,10
1786087200,1725.1,1726.9,1725.0,1726.9,26
1786087260,1726.0,1728.0,1725.9,1728.0,85
1786087320,1726.5,1727.0,1726.0,1726.0,89
1786087380,1725.9,1727.6,1725.9,1727.6,115
1786087440,1728.1,1728.1,1726.6,1726.8,65
1786087500,1726.5,1726.7,1726.1,1726.1,224
