time,open,high,low,close,volume
1786074300,263.4,263.4,261.3,261.55,148347
1786074360,261.55,261.95,261.55,261.75,120152
1786074420,261.85,262.0,261.7,261.7,69465
1786074480,261.55,261.7,261.2,261.5,183273
1786074540,261.5,261.6,261.45,261.6,204375
1786074600,261.35,261.4,261.1,261.3,63765
1786074660,261.55,261.6,261.4,261.6,78167
1786074720,261.45,262.0,261.45,262.0,55041
1786074780,261.8,261.95,261.7,261.95,58193
1786074840,261.8,261.9,261.8,261.8,44053
1786074900,261.6,261.65,261.4,261.65,44444
1786074960,261.7,261.7,261.5,261.5,24786
1786075020,261.25,261.25,260.6,261.2,320963
1786075080,261.05,261.05,260.7,260.7,73698
1786075140,260.85,261.0,260.75,260.85,47048
1786075200,260.8,260.8,260.2,260.3,192818
1786075260,260.3,260.45,260.2,260.2,67069
1786075320,260.15,260.35,260.15,260.3,37019
1786075380,260.35,260.35,260.3,260.3,61131
1786075440,260.3,260.45,260.25,260.45,47048
1786075500,260.4,260.4,260.25,260.25,21990
1786075560,260.25,260.45,260.25,260.45,54762
1786075620,260.35,260.4,260.35,260.35,26082
1786075680,260.35,260.5,260.25,260.45,36373
1786075740,260.5,260.6,260.5,260.5,24864
1786075800,260.55,260.6,260.4,260.6,15826
1786075860,260.6,260.6,260.3,260.35,59883
1786075920,260.35,260.45,260.25,260.35,15870
1786075980,260.35,260.35,260.25,260.25,23124
1786076040,260.25,260.45,260.25,260.45,31779
1786076100,260.55,260.55,260.35,260.55,24609
1786076160,260.55,260.6,260.25,260.25,24303
1786076220,260.2,260.25,260.1,260.2,24454
1786076280,260.1,260.2,260.1,260.1,10922
1786076340,260.25,260.25,260.15,260.2,20287
1786076400,260.15,260.2,260.15,260.2,9662
1786076460,260.15,260.3,260.1,260.15,40031
1786076520,260.35,260.45,260.2,260.2,36727
1786076580,260.25,260.25,260.1,260.15,20071
1786076640,260.2,260.35,260.15,260.35,11718
1786076700,260.65,260.85,260.65,260.85,48001
1786076760,260.85,260.95,260.8,260.8,44232
1786076820,260.8,260.85,260.75,260.85,13912
1786076880,260.8,261.1,260.75,261.1,31893
1786076940,261.0,261.05,260.9,261.0,24604
1786077000,261.0,261.05,260.95,261.0,62069
1786077060,261.0,261.05,261.0,261.05,15793
1786077120,261.05,261.05,260.9,261.0,16276
1786077180,260.95,261.0,260.9,261.0,36697
1786077240,261.05,261.1,260.9,261.0,9803
1786077300,261.0,261.1,260.95,260.95,8815
1786077360,261.0,261.1,260.95,261.0,9006
1786077420,261.1,261.1,261.0,261.1,13132
1786077480,260.9,261.05,260.9,261.05,62099
1786077540,261.0,261.05,261.0,261.05,7999
1786077600,260.95,261.0,260.9,260.95,29464
1786077660,260.95,260.95,260.5,260.5,37606
1786077720,260.5,260.6,260.35,260.35,28038
1786077780,260.4,260.4,260.1,260.15,53024
1786077840,259.7,260.1,259.65,259.9,228848
1786077900,260.0,260.1,259.8,259.95,31583
1786077960,259.9,259.9,259.75,259.9,36123
1786078020,259.85,259.85,259.7,259.7,17370
1786078080,259.7,259.7,259.2,259.3,128734
1786078140,259.2,259.35,259.15,259.2,25846
1786078200,259.35,259.65,259.35,259.65,40308
1786078260,259.65,259.8,259.6,259.8,18328
1786078320,259.7,259.7,259.5,259.5,29048
1786078380,259.45,259.5,259.35,259.45,9021
1786078440,259.45,259.5,259.35,259.4,26597
1786078500,259.45,259.55,259.4,259.55,65664
1786078560,259.55,259.6,259.5,259.5,30660
1786078620,259.5,259.65,259.4,259.5,16930
1786078680,259.9,260.15,259.8,259.9,85802
1786078740,259.9,260.0,259.75,260.0,16505
1786078800,259.9,260.0,259.9,259.95,10575
1786078860,259.95,259.95,259.5,259.5,16688
1786078920,259.6,259.8,259.6,259.8,40801
1786078980,259.8,260.25,259.8,260.25,49698
1786079040,260.2,260.3,260.2,260.3,31361
1786079100,260.3,260.3,260.2,260.2,4047
1786079160,260.2,260.2,260.0,260.0,15184
1786079220,260.15,260.15,260.0,260.15,5370
1786079280,260.1,260.15,260.1,260.15,11889
1786079340,260.15,260.15,260.05,260.1,5335
1786079400,260.3,260.3,259.9,260.1,74119
1786079460,260.05,260.3,260.05,260.3,18581
1786079520,260.2,260.3,260.2,260.3,8359
1786079580,260.3,260.3,260.1,260.2,8702
1786079640,260.2,260.2,259.8,259.95,11352
1786079700,260.1,260.1,259.85,259.85,21855
1786079760,259.95,259.95,259.8,259.95,10663
1786079820,259.95,260.1,259.9,260.1,33714
1786079880,260.2,260.3,260.05,260.1,22398
1786079940,260.3,260.3,260.2,260.2,3261
1786080000,260.15,260.15,260.0,260.0,4036
1786080060,260.05,260.05,259.8,259.9,26113
1786080120,259.8,259.9,259.8,259.8,9925
1786080180,259.8,260.0,259.8,259.95,12100
1786080240,259.95,260.0,259.8,259.85,2851
1786080300,259.8,259.85,259.7,259.75,27422
1786080360,259.65,259.8,259.6,259.8,6894
1786080420,259.7,259.85,259.7,259.8,6767
1786080480,259.8,259.85,259.7,259.7,13564
1786080540,259.7,259.85,259.7,259.75,20196
1786080600,259.8,259.8,259.55,259.55,19004
1786080660,259.7,259.7,259.55,259.7,5475
1786080720,259.7,259.7,259.6,259.7,4376
1786080780,259.7,259.75,259.6,259.65,13190
1786080840,259.6,259.65,259.45,259.65,34755
1786080900,259.65,259.7,259.6,259.7,8200
1786080960,259.75,259.75,259.55,259.55,11163
1786081020,259.6,259.7,259.55,259.7,4573
1786081080,259.65,259.7,259.6,259.6,3533
