time,open,high,low,close,volume
1786074300,5421.0,5428.5,5410.5,5424.0,213
1786074360,5415.0,5415.0,5412.0,5412.0,138
1786074420,5424.5,5424.5,5416.0,5423.5,70
1786074480,5422.5,5422.5,5407.0,5415.5,212
1786074540,5411.5,5411.5,5410.0,5410.0,90
1786074600,5385.0,5396.5,5385.0,5392.5,308
1786074660,5392.0,5392.0,5390.5,5391.0,124
1786074720,5391.0,5395.0,5387.5,5393.0,191
1786074780,5390.5,5393.0,5385.0,5392.0,185
1786074840,5385.0,5397.5,5385.0,5390.5,280
1786074900,5393.5,5395.0,5390.0,5395.0,63
1786074960,5396.0,5404.5,5396.0,5404.5,169
1786075020,5395.0,5398.5,5395.0,5398.5,90
1786075080,5396.5,5400.0,5396.0,5399.0,217
1786075140,5395.0,5395.0,5390.0,5390.0,726
1786075200,5390.0,5390.0,5390.0,5390.0,13
1786075260,5390.0,5390.5,5385.0,5390.5,1650
1786075320,5392.5,5398.5,5392.5,5398.5,121
1786075380,5393.5,5396.5,5388.0,5388.0,76
1786075440,5388.5,5389.0,5386.0,5386.0,10
1786075500,5386.5,5391.5,5386.5,5387.5,34
1786075560,5387.5,5399.5,5387.0,5399.5,325
1786075620,5400.0,5400.0,5397.0,5398.0,63
1786075680,5394.0,5399.5,5394.0,5399.5,7
1786075740,5396.5,5397.5,5395.0,5395.0,16
1786075800,5395.0,5400.0,5395.0,5395.0,21
1786075860,5395.0,5395.0,5390.5,5390.5,95
1786075920,5390.5,5392.0,5390.5,5392.0,6
1786075980,5390.5,5394.5,5390.5,5394.5,14
1786076040,5393.0,5394.5,5392.5,5394.0,234
1786076100,5394.0,5396.5,5393.0,5396.5,7
1786076160,5394.0,5398.0,5394.0,5398.0,15
1786076220,5394.0,5394.5,5394.0,5394.5,6
1786076280,5396.0,5400.0,5396.0,5400.0,137
1786076340,5400.0,5400.0,5394.5,5394.5,371
1786076400,5398.0,5398.5,5394.5,5395.0,89
1786076460,5395.0,5398.5,5395.0,5398.5,18
1786076520,5405.5,5405.5,5395.5,5395.5,220
1786076580,5396.0,5396.0,5385.0,5385.5,226
1786076640,5385.5,5386.0,5385.5,5386.0,7
1786076700,5392.5,5392.5,5386.0,5386.5,59
1786076760,5381.0,5381.0,5375.0,5375.0,943
1786076820,5375.5,5380.5,5375.5,5380.5,28
1786076880,5384.5,5384.5,5380.5,5384.5,58
1786076940,5380.5,5384.0,5380.5,5384.0,7
1786077000,5380.5,5381.0,5380.5,5381.0,25
1786077060,5381.0,5381.0,5381.0,5381.0,90
1786077120,5381.5,5381.5,5375.0,5376.0,146
1786077180,5375.0,5376.0,5375.0,5376.0,11
1786077240,5375.5,5378.0,5375.5,5375.5,8
1786077300,5375.5,5375.5,5370.0,5371.0,254
1786077360,5371.0,5375.0,5371.0,5374.5,27
1786077420,5370.5,5374.0,5370.5,5371.0,21
1786077480,5375.0,5375.0,5372.0,5372.5,7
1786077540,5373.0,5375.5,5373.0,5375.5,30
1786077600,5375.5,5379.5,5375.0,5379.5,70
1786077660,5375.5,5380.5,5375.5,5380.0,21
1786077720,5379.5,5386.0,5376.0,5386.0,397
1786077780,5391.0,5391.0,5384.0,5385.5,57
1786077840,5385.5,5388.0,5383.0,5385.0,44
1786077900,5385.0,5386.0,5382.5,5386.0,5
1786077960,5386.0,5391.0,5383.0,5390.0,30
1786078020,5389.0,5389.0,5383.0,5386.5,13
1786078080,5387.0,5387.0,5381.0,5381.0,120
1786078140,5385.0,5385.0,5381.0,5381.5,6
1786078200,5381.5,5381.5,5381.5,5381.5,12
1786078260,5386.0,5386.0,5381.5,5382.0,14
1786078320,5382.0,5385.0,5382.0,5385.0,7
1786078380,5382.0,5385.5,5381.0,5385.5,51
1786078440,5384.5,5384.5,5380.5,5380.5,9
1786078500,5380.5,5384.5,5380.5,5384.5,162
1786078560,5380.5,5386.0,5380.5,5386.0,14
1786078620,5380.0,5380.0,5380.0,5380.0,6
1786078680,5380.0,5384.5,5379.0,5379.0,8
1786078740,5380.5,5380.5,5373.0,5373.0,282
1786078800,5374.5,5375.0,5374.5,5374.5,15
1786078860,5374.5,5375.0,5374.5,5375.0,5
1786078920,5376.0,5376.0,5376.0,5376.0,1
1786078980,5377.0,5380.0,5377.0,5380.0,7
1786079040,5377.5,5382.5,5377.5,5382.5,18
1786079100,5379.0,5382.5,5379.0,5382.5,5
1786079160,5382.0,5382.0,5382.0,5382.0,10
1786079220,5382.0,5382.0,5382.0,5382.0,2
1786079280,5381.5,5381.5,5381.5,5381.5,34
1786079340,5381.5,5381.5,5378.0,5378.0,143
1786079400,5381.5,5381.5,5378.0,5378.0,9
1786079460,5381.5,5381.5,5381.5,5381.5,1
1786079520,5377.5,5381.5,5377.5,5381.5,16
1786079580,5380.0,5380.0,5380.0,5380.0,2
1786079640,5377.5,5382.5,5377.5,5378.5,55
1786079700,5384.0,5384.0,5380.0,5380.0,4
1786079760,5382.5,5382.5,5380.0,5380.0,5
1786079820,5380.0,5380.0,5380.0,5380.0,2
1786079880,5383.0,5383.0,5378.0,5378.0,8
1786079940,5382.0,5382.0,5382.0,5382.0,21
1786080000,5382.5,5384.5,5380.0,5381.5,359
1786080060,5383.0,5383.0,5383.0,5383.0,37
1786080120,5382.5,5382.5,5382.0,5382.0,22
1786080180,5379.0,5380.0,5379.0,5380.0,22
1786080240,5382.0,5383.0,5380.0,5380.0,113
1786080300,5381.5,5381.5,5381.5,5381.5,4
1786080360,5382.0,5382.5,5380.0,5381.0,104
1786080420,5382.5,5382.5,5380.0,5380.0,14
1786080480,5383.0,5383.0,5380.0,5380.0,97
1786080540,5380.0,5382.0,5380.0,5381.0,101
1786080600,5381.0,5381.5,5379.5,5381.5,15
1786080660,5382.5,5382.5,5381.0,5381.0,56
1786080720,5381.0,5381.5,5379.0,5381.5,17
1786080840,5379.0,5381.0,5379.0,5379.0,14
1786080900,5379.0,5380.0,5377.5,5380.0,88
1786080960,5380.0,5380.0,5378.0,5378.0,5
1786081020,5379.5,5379.5,5379.5,5379.5,2
1786081140,5379.5,5380.0,5379.5,5380.0,17
1786081200,5379.5,5380.0,5377.5,5380.0,95
1786081260,5380.0,5380.0,5380.0,5380.0,1
