time,open,high,low,close,volume
1786074300,1307.9,1309.9,1303.7,1308.0,25966
1786074360,1308.8,1308.8,1304.0,1304.0,4617
1786074420,1304.6,1305.8,1304.5,1305.0,1112
1786074480,1305.8,1306.9,1305.6,1306.3,763
1786074540,1307.2,1307.2,1306.3,1306.3,1576
1786074600,1305.8,1306.9,1305.8,1306.5,935
1786074660,1307.2,1307.3,1306.2,1306.2,1958
1786074720,1306.5,1306.6,1305.7,1306.6,739
1786074780,1307.0,1308.3,1305.5,1305.5,18783
1786074840,1306.9,1306.9,1305.8,1305.9,2089
1786074900,1305.8,1306.5,1305.7,1306.5,583
1786074960,1307.1,1307.8,1306.2,1307.6,628
1786075020,1307.3,1308.0,1307.3,1307.4,1433
1786075080,1308.1,1308.1,1307.1,1307.3,401
1786075140,1307.2,1307.2,1306.0,1306.2,2728
1786075200,1306.2,1306.3,1305.6,1306.3,4505
1786075260,1306.0,1306.0,1303.2,1303.7,7896
1786075320,1304.0,1306.4,1303.7,1305.6,604
1786075380,1304.0,1304.1,1301.0,1301.6,9922
1786075440,1299.4,1299.9,1298.5,1298.7,10904
1786075500,1299.3,1299.3,1297.5,1299.0,7917
1786075560,1299.1,1300.0,1298.9,1299.9,642
1786075620,1299.4,1302.0,1299.4,1302.0,2319
1786075680,1302.0,1302.0,1300.4,1301.8,6112
1786075740,1302.1,1302.6,1302.0,1302.0,682
1786075800,1302.4,1302.6,1301.7,1302.6,725
1786075860,1302.1,1302.9,1302.1,1302.5,916
1786075920,1302.0,1303.7,1302.0,1303.2,1517
1786075980,1302.7,1303.0,1302.0,1302.6,611
1786076040,1302.1,1302.5,1301.6,1302.5,757
1786076100,1302.6,1303.0,1302.0,1302.0,462
1786076160,1302.6,1305.6,1302.6,1304.7,2094
1786076220,1303.1,1304.2,1303.1,1304.2,2333
1786076280,1304.1,1304.7,1304.0,1304.0,926
1786076340,1304.4,1304.7,1304.0,1304.0,1706
1786076400,1304.0,1305.2,1304.0,1305.2,1392
1786076460,1305.2,1305.9,1305.2,1305.5,5550
1786076520,1305.9,1306.2,1304.3,1304.4,1542
1786076580,1304.9,1304.9,1304.8,1304.9,159
1786076640,1304.9,1305.4,1304.7,1304.7,725
1786076700,1304.5,1305.2,1304.3,1305.2,500
1786076760,1305.3,1305.3,1304.3,1304.3,1187
1786076820,1304.3,1304.3,1303.7,1303.7,180
1786076880,1303.2,1303.5,1303.2,1303.5,328
1786076940,1303.5,1303.8,1303.0,1303.8,542
1786077000,1303.2,1303.8,1303.2,1303.8,3832
1786077060,1303.5,1303.7,1303.4,1303.7,153
1786077120,1303.8,1304.1,1302.4,1302.4,2045
1786077180,1301.9,1303.2,1301.8,1303.1,398
1786077240,1303.1,1303.1,1302.4,1303.1,1023
1786077300,1303.2,1303.2,1303.1,1303.1,359
1786077360,1303.2,1303.2,1301.8,1301.8,1136
