time,open,high,low,close,volume
1786074300,336.8,338.9,336.0,337.8,15337
1786074360,337.5,338.5,337.5,338.2,6846
1786074420,337.95,338.05,337.8,338.05,11964
1786074480,337.9,337.95,337.55,337.6,2734
1786074540,337.95,338.65,337.95,338.65,4856
1786074600,338.65,338.95,338.1,338.4,3573
1786074660,338.6,338.95,338.5,338.9,3385
1786074720,339.15,339.2,338.8,339.2,3012
1786074780,339.2,339.2,338.85,339.05,2489
1786074840,338.7,339.0,338.7,338.8,2068
1786074900,338.55,338.75,338.3,338.75,1774
1786074960,338.8,338.8,338.7,338.7,389
1786075020,338.6,338.7,338.55,338.55,3780
1786075080,338.7,338.7,338.3,338.4,712
1786075140,338.4,338.45,338.15,338.4,677
1786075200,338.3,338.3,338.0,338.2,4209
1786075260,338.2,338.2,337.75,337.9,2310
1786075320,338.15,338.3,337.85,338.25,3317
1786075380,338.4,338.4,338.2,338.4,4338
1786075440,338.4,338.4,338.2,338.3,2733
1786075500,338.3,338.35,338.05,338.3,662
1786075560,338.3,338.4,338.25,338.4,19708
1786075620,338.65,338.8,338.15,338.15,7304
1786075680,338.3,338.4,338.05,338.2,249
1786075740,338.45,338.45,338.05,338.05,698
1786075800,338.4,338.7,338.35,338.65,1665
1786075860,338.35,338.45,338.25,338.45,852
1786075920,338.45,338.6,338.25,338.6,93
1786075980,338.45,338.5,338.1,338.3,1094
1786076040,338.3,338.3,338.2,338.2,75
1786076100,338.15,338.2,338.1,338.1,561
1786076160,338.1,338.25,338.05,338.05,3190
1786076220,337.55,337.55,336.55,336.95,10867
1786076280,336.65,337.0,336.5,336.5,1286
1786076340,336.7,336.7,336.4,336.4,10882
1786076400,336.45,337.0,336.4,336.8,7829
1786076460,336.85,337.15,336.8,337.15,1292
1786076520,336.85,337.15,336.85,337.15,89
1786076580,336.9,337.05,336.65,337.05,7589
1786076640,337.15,337.25,336.95,337.05,394
1786076700,337.1,337.45,337.05,337.45,1155
1786076760,337.25,337.4,337.05,337.05,2838
1786076820,337.1,337.25,337.0,337.25,945
1786076880,337.15,337.2,337.05,337.05,222
1786076940,337.05,337.1,336.95,337.05,2531
1786077000,337.05,337.05,336.75,336.75,642
1786077060,336.75,336.95,336.7,336.95,299
1786077120,336.8,337.05,336.8,337.05,39
1786077180,337.15,337.3,336.95,337.3,888
1786077240,337.25,337.65,337.25,337.45,19587
1786077300,337.7,337.7,337.2,337.2,1688
1786077360,337.4,337.4,337.2,337.2,140
1786077420,337.25,337.75,337.25,337.5,214
1786077480,337.45,337.55,337.3,337.55,1467
1786077540,337.4,337.4,337.25,337.25,150
1786077600,337.2,337.4,337.1,337.35,484
1786077660,337.35,337.4,337.15,337.4,538
1786077720,337.15,337.4,337.1,337.1,1190
1786077780,337.0,337.2,336.8,336.85,1187
1786077840,336.85,337.8,336.85,337.8,2371
1786077900,337.55,337.85,337.55,337.75,2239
1786077960,337.7,337.8,337.55,337.55,76
1786078020,337.55,337.55,337.25,337.25,554
1786078080,337.25,337.45,337.15,337.25,3588
1786078140,337.3,337.4,337.15,337.3,1303
1786078200,337.3,337.65,337.05,337.6,5281
1786078260,337.6,337.75,337.4,337.65,462
1786078320,337.65,337.65,337.35,337.35,645
1786078380,337.6,337.65,337.35,337.65,569
1786078440,337.6,337.6,337.35,337.6,452
1786078500,337.35,337.35,336.85,337.05,14932
1786078560,337.1,337.15,336.85,336.95,254
1786078620,337.0,337.3,337.0,337.3,109
1786078680,337.05,337.3,337.0,337.1,1534
1786078740,337.1,337.3,337.1,337.3,1748
1786078800,337.35,337.45,337.3,337.3,423
1786078860,337.3,337.65,337.1,337.1,1185
1786078920,337.15,337.35,337.15,337.35,441
1786078980,337.15,337.35,337.15,337.2,397
1786079040,337.2,337.55,337.2,337.5,106
1786079100,337.3,337.5,337.3,337.3,130
1786079160,337.5,337.5,337.35,337.4,261
1786079220,337.4,337.4,336.7,337.05,9707
1786079280,336.95,336.95,336.75,336.85,335
1786079340,336.85,337.15,336.8,336.85,332
1786079400,336.85,337.1,336.85,337.0,328
1786079460,337.05,337.2,337.0,337.2,222
