time,open,high,low,close,volume
1786074300,475.0,475.0,473.5,474.0,2434
1786074360,474.0,475.0,474.0,475.0,3452
1786074420,475.3,475.85,474.9,474.9,8067
1786074480,474.3,474.7,473.75,474.7,5324
1786074540,474.7,474.7,474.3,474.6,832
1786074600,474.55,474.55,473.65,473.95,3735
1786074660,474.0,474.7,474.0,474.6,3348
1786074720,474.5,475.15,474.5,475.15,4863
1786074780,475.5,475.9,475.3,475.3,6481
1786074840,475.0,475.2,475.0,475.0,1038
1786074900,474.5,474.5,474.05,474.25,1493
1786074960,474.45,474.45,474.05,474.4,828
1786075020,473.9,473.9,472.7,473.25,8910
1786075080,473.5,473.5,473.1,473.1,3543
1786075140,473.2,473.35,473.2,473.35,100
1786075200,473.4,473.6,473.4,473.6,1955
1786075260,473.75,474.2,473.75,474.2,1196
1786075320,474.2,474.8,473.85,474.8,275
1786075380,474.6,474.8,474.45,474.45,1418
1786075440,474.75,474.75,474.35,474.35,255
1786075500,474.35,474.35,474.35,474.35,215
1786075560,474.15,474.35,473.85,474.15,827
1786075620,474.15,474.15,473.55,473.95,778
1786075680,473.6,473.85,472.35,473.0,25892
1786075740,473.35,473.5,473.15,473.15,393
1786075800,473.5,473.5,473.15,473.15,991
1786075860,473.5,473.8,473.2,473.55,3086
1786075920,473.6,473.75,473.55,473.55,231
1786075980,473.7,473.85,473.4,473.65,1668
1786076040,473.4,473.65,473.4,473.65,139
1786076100,473.65,474.0,473.65,474.0,2550
1786076160,473.75,473.95,473.7,473.7,690
1786076220,473.55,473.65,473.25,473.65,504
1786076280,473.25,473.4,473.25,473.35,1684
1786076340,473.2,473.4,472.75,473.2,2455
1786076400,473.3,473.3,472.9,473.25,183
1786076460,473.3,473.6,473.3,473.6,2605
1786076520,473.6,473.7,473.55,473.55,126
1786076580,473.5,473.65,473.2,473.65,1802
1786076640,472.95,473.45,472.95,473.1,2602
1786076700,473.45,473.45,473.1,473.45,660
1786076760,473.3,473.5,473.05,473.5,544
1786076820,473.5,473.6,473.5,473.6,619
1786076880,473.6,473.6,473.2,473.2,227
1786076940,473.65,473.65,473.15,473.65,451
1786077000,473.6,473.6,473.6,473.6,38
1786077060,473.3,473.65,473.3,473.65,2203
1786077120,473.6,473.6,473.15,473.55,1289
1786077180,473.55,473.6,473.2,473.6,698
1786077240,473.05,473.55,473.05,473.55,2122
1786077300,473.55,473.55,473.2,473.2,341
1786077360,473.55,473.55,473.2,473.2,82
1786077420,473.1,473.5,473.1,473.5,1255
1786077480,473.5,473.5,473.4,473.4,510
1786077540,473.4,473.4,473.0,473.0,1760
1786077600,473.0,473.15,473.0,473.15,1046
1786077660,473.1,473.2,473.0,473.2,1690
1786077720,473.2,473.2,472.95,472.95,2776
1786077780,472.95,473.0,472.95,473.0,1483
1786077840,473.0,473.05,473.0,473.05,4476
1786077900,473.05,473.3,473.05,473.3,735
1786077960,473.3,473.4,473.3,473.4,555
1786078020,473.5,473.5,473.45,473.5,406
1786078080,473.5,473.5,473.0,473.25,1325
1786078140,473.05,473.3,473.05,473.3,62
1786078200,473.3,473.3,473.3,473.3,93
1786078260,473.3,473.6,473.3,473.35,963
1786078320,473.6,473.6,473.6,473.6,1
1786078380,473.55,473.55,473.5,473.55,202
1786078440,473.55,473.55,473.05,473.15,3223
1786078500,473.2,473.25,473.0,473.0,1632
1786078560,473.0,473.0,472.75,473.0,2082
1786078620,473.0,473.0,472.8,472.8,628
1786078680,472.9,472.9,472.1,472.65,9696
1786078740,472.65,472.7,472.65,472.65,2505
1786078800,472.7,472.7,472.45,472.45,399
1786078860,472.45,472.7,472.45,472.45,790
1786078920,472.7,472.7,472.2,472.55,713
1786078980,472.7,472.95,472.7,472.95,767
1786079040,472.95,472.95,472.7,472.95,918
1786079100,472.7,473.05,472.7,472.7,1399
1786079160,473.1,473.1,473.05,473.05,464
1786079220,473.05,473.05,472.7,473.0,192
1786079280,473.0,473.0,472.7,472.7,82
1786079340,473.0,473.0,473.0,473.0,849
1786079400,472.95,473.0,472.7,472.7,230
1786079460,473.0,473.0,472.7,473.0,93
