time,open,high,low,close,volume
1786074300,806.0,806.8,803.2,803.2,1847
1786074360,806.4,806.75,805.2,805.25,679
1786074420,807.85,807.85,806.65,807.55,230
1786074480,807.75,807.75,806.65,807.6,241
1786074540,807.6,808.0,805.9,806.0,2415
1786074600,806.0,810.95,806.0,807.8,21594
1786074660,810.15,811.2,809.95,811.2,2048
1786074720,811.8,812.0,810.25,810.25,3910
1786074780,810.3,811.1,810.1,810.1,321
1786074840,810.15,810.9,810.15,810.9,449
1786074900,811.1,811.95,810.15,811.15,1246
1786074960,810.8,812.85,810.8,812.1,2427
1786075020,812.45,812.5,812.05,812.05,292
1786075080,812.5,812.5,811.5,812.35,532
1786075140,811.5,811.5,808.9,809.8,4262
1786075200,810.5,810.55,809.85,810.3,129
1786075260,810.55,810.85,810.3,810.8,421
1786075320,811.5,812.8,811.45,812.8,462
1786075380,812.2,812.8,812.2,812.2,490
1786075440,812.0,812.5,812.0,812.5,157
1786075500,812.5,812.65,811.5,811.5,213
1786075560,811.1,811.9,811.1,811.9,83
1786075620,812.25,812.25,811.55,811.55,171
1786075680,811.55,811.65,811.2,811.65,180
1786075740,811.65,813.4,809.65,810.25,6212
1786075800,810.25,810.4,809.9,809.9,540
1786075860,810.5,810.5,809.75,809.75,259
1786075920,810.55,810.55,809.1,809.1,522
1786075980,809.05,809.8,808.7,809.4,1333
1786076040,809.1,809.25,809.1,809.25,2048
1786076100,809.75,810.25,809.45,809.75,3145
1786076160,810.35,810.6,810.25,810.25,521
1786076220,811.35,813.9,811.2,813.9,19384
1786076280,813.75,815.4,813.75,814.8,3315
1786076340,815.4,818.2,815.3,818.2,5088
1786076400,817.45,817.8,816.65,817.7,731
1786076460,817.25,817.85,816.7,817.2,1372
1786076520,817.75,818.5,817.75,817.8,1915
1786076580,818.45,818.5,817.9,818.15,654
1786076640,818.5,818.5,818.15,818.15,396
1786076700,818.1,821.45,818.1,821.45,20333
1786076760,822.0,822.0,819.5,819.5,8164
1786076820,819.7,819.7,819.5,819.65,334
1786076880,819.5,819.5,819.0,819.2,1254
1786076940,818.8,819.2,818.8,818.8,369
1786077000,819.25,819.7,818.9,819.4,689
1786077060,819.2,819.2,818.45,819.0,477
1786077120,819.15,819.3,818.2,818.5,565
1786077180,818.5,818.55,818.0,818.05,1366
1786077240,817.85,818.4,817.5,817.7,2067
1786077300,817.85,818.0,817.7,818.0,919
1786077360,817.6,818.05,817.45,817.45,635
1786077420,817.85,817.85,817.35,817.35,180
1786077480,817.35,817.85,817.35,817.45,146
1786077540,817.5,817.85,817.5,817.5,179
1786077600,817.5,817.85,817.5,817.5,256
1786077660,817.5,817.5,817.3,817.4,57
1786077720,817.35,817.8,817.35,817.5,246
1786077780,817.85,817.95,817.55,817.55,223
1786077840,818.05,818.05,817.9,817.9,323
1786077900,818.4,818.4,817.9,817.95,102
1786077960,817.95,818.35,817.95,818.05,153
1786078020,818.55,818.85,818.35,818.4,1050
1786078080,818.4,820.1,818.4,819.0,2840
1786078140,819.6,819.6,818.7,819.0,994
1786078200,818.7,819.55,818.65,819.55,323
1786078260,819.55,819.55,819.05,819.05,253
1786078320,819.0,820.55,818.3,820.55,2668
1786078380,820.05,820.75,820.0,820.75,885
1786078440,820.2,820.5,820.05,820.05,161
1786078500,820.05,820.25,819.35,819.5,405
1786078560,820.0,820.65,819.75,820.05,599
1786078620,819.3,819.85,818.3,818.3,901
1786078680,818.45,818.8,818.45,818.55,83
1786078740,818.9,819.0,818.6,819.0,78
1786078800,819.0,819.4,818.7,819.4,770
1786078860,818.7,819.85,818.7,819.85,781
1786078920,820.6,821.35,819.2,821.35,11901
1786078980,821.7,821.9,821.35,821.55,636
1786079040,821.85,821.9,821.35,821.35,563
1786079100,821.35,821.75,821.35,821.45,267
1786079160,821.95,823.4,821.95,822.6,5772
1786079220,822.65,822.9,822.35,822.6,975
1786079280,822.6,823.25,822.6,822.7,1516
1786079340,823.2,823.4,822.7,823.4,718
1786079400,823.6,824.4,823.6,824.35,12157
1786079460,824.35,824.35,823.95,824.0,520
1786079520,824.0,824.0,823.7,823.95,421
1786079580,823.95,823.95,823.25,823.45,1064
1786079640,823.45,824.0,823.45,823.65,480
1786079700,823.75,824.5,823.75,823.9,340
1786079760,824.35,824.35,822.8,822.8,1511
1786079820,822.8,826.8,822.6,826.05,18762
1786079880,826.15,826.75,825.4,825.45,1604
1786079940,826.0,826.25,825.25,826.0,4073
1786080000,825.9,825.9,825.25,825.25,1188
1786080060,825.2,825.2,823.95,824.05,1275
1786080120,823.95,823.95,823.05,823.05,1536
1786080180,823.0,823.65,822.6,823.25,1002
1786080240,823.65,823.65,823.0,823.0,810
1786080300,822.45,822.8,820.85,820.85,1157
1786080360,821.3,822.2,820.55,821.5,1364
1786080420,821.9,821.9,820.75,820.75,239
1786080480,820.8,821.15,820.55,821.15,467
1786080540,821.8,821.8,821.1,821.55,278
1786080600,821.55,821.55,821.15,821.15,1003
1786080660,819.85,819.85,818.2,818.2,1077
1786080720,818.75,818.8,818.25,818.25,319
1786080780,818.75,818.75,818.2,818.2,356
1786080840,817.9,817.9,817.05,817.6,1154
1786080900,817.15,817.15,817.0,817.0,456
1786080960,817.0,817.0,815.85,816.2,523
1786081020,815.5,815.5,815.0,815.0,599
1786081080,815.0,815.4,815.0,815.4,658
1786081140,815.4,815.4,814.25,814.65,317
1786081200,814.55,816.05,814.15,815.85,1110
1786081260,816.1,816.1,814.5,814.5,334
1786081320,814.4,815.6,814.2,815.15,525
1786081380,815.6,815.7,814.65,814.65,405
1786081440,815.2,815.2,814.4,814.4,429
1786081500,814.5,816.5,814.15,816.5,862
1786081560,816.65,817.15,815.95,816.45,2879
1786081620,815.95,815.95,814.65,815.1,654
1786081680,814.65,816.6,814.65,815.85,1226
1786081740,815.75,815.75,815.05,815.05,374
1786081800,815.05,815.5,815.05,815.05,345
1786081860,815.05,815.45,815.05,815.1,260
1786081920,815.45,815.45,815.05,815.05,247
1786081980,815.1,815.5,815.1,815.1,405
1786082040,815.1,815.45,815.05,815.05,273
1786082100,815.45,815.45,815.05,815.05,234
1786082160,815.05,815.6,815.05,815.35,195
1786082220,815.3,815.4,815.05,815.05,236
1786082280,815.05,815.25,814.0,814.0,3361
1786082340,814.85,814.85,812.05,812.05,6501
1786082400,812.3,812.3,812.0,812.0,1142
1786082460,811.8,812.05,811.65,811.65,1223
1786082520,811.5,812.1,811.5,811.85,524
1786082580,811.85,812.35,811.3,812.35,370
1786082640,814.65,814.65,811.85,812.0,1569
1786082700,811.6,811.75,811.1,811.1,349
1786082760,811.1,811.9,811.1,811.15,402
1786082820,811.15,811.6,811.1,811.15,239
1786082880,811.15,811.7,811.15,811.4,451
1786082940,811.35,811.75,811.2,811.2,281
1786083000,811.35,811.45,811.2,811.2,284
1786083060,811.25,811.55,811.25,811.55,314
1786083120,811.25,811.55,811.2,811.2,347
1786083180,811.45,811.45,811.1,811.45,395
1786083240,812.0,814.6,812.0,814.05,3698
1786083300,814.0,814.5,811.75,813.5,7453
1786083360,813.95,813.95,813.0,813.0,2908
1786083420,813.0,813.4,813.0,813.05,856
1786083480,813.05,813.05,813.0,813.0,2856
1786083540,812.45,812.45,811.1,811.1,436
1786083600,811.55,811.55,811.1,811.5,749
1786083660,811.85,811.85,811.1,811.5,375
1786083720,811.8,812.15,811.1,811.1,880
1786083780,811.1,812.25,811.1,811.55,1065
1786083840,811.55,811.95,811.25,811.25,184
1786083900,811.75,811.75,810.7,810.7,1274
1786083960,810.7,810.95,810.25,810.25,307
1786084020,810.25,810.85,810.25,810.25,673
1786084080,810.8,810.8,810.25,810.25,179
1786084140,810.25,810.6,810.25,810.35,569
1786084200,810.35,810.35,810.25,810.25,283
1786084260,810.25,810.5,810.25,810.5,2032
1786084320,810.65,810.8,810.5,810.5,1515
1786084380,810.5,810.8,810.5,810.5,356
1786084440,810.5,810.75,810.5,810.5,211
1786084500,810.5,811.15,810.25,811.0,5587
1786084560,811.0,811.05,810.1,810.25,5304
1786084620,810.25,811.0,810.25,811.0,769
1786084680,811.2,812.95,811.1,812.4,2082
1786084740,813.0,813.6,812.55,813.6,2408
1786084800,813.85,814.4,813.85,814.0,143
1786084860,814.0,814.4,814.0,814.4,68
1786084920,814.0,814.75,813.95,814.75,1266
1786084980,814.55,814.55,813.35,813.35,2647
1786085040,813.3,813.3,813.3,813.3,49
1786085100,813.35,813.45,813.35,813.45,41
1786085160,813.45,813.85,813.35,813.4,64
1786085220,813.4,813.45,813.4,813.45,63
1786085280,813.45,814.0,813.45,813.5,55
1786085340,813.55,814.65,813.55,814.35,2890
1786085400,814.8,814.8,813.35,813.65,481
1786085460,814.25,814.75,813.65,813.65,376
1786085520,813.65,813.65,813.35,813.35,106
1786085580,813.95,813.95,813.35,813.95,136
1786085640,813.5,814.0,813.5,813.65,50
1786085700,814.0,814.0,813.65,814.0,36
1786085760,814.0,814.0,813.7,814.0,298
1786085820,813.7,814.0,813.7,813.75,177
1786085880,813.75,814.0,813.75,813.75,60
1786085940,813.8,814.0,813.8,813.8,75
1786086000,814.0,814.0,813.8,813.9,131
1786086060,813.9,814.0,813.0,813.0,1341
1786086120,813.0,814.0,812.25,813.2,1677
1786086180,813.05,813.9,813.0,813.4,335
1786086240,813.4,813.9,813.4,813.9,16
1786086300,813.4,814.0,813.4,814.0,55
