time,open,high,low,close,volume
1786074300,626.15,629.1,622.05,626.6,53588
1786074360,627.05,629.0,627.05,628.6,8472
1786074420,628.95,628.95,625.75,625.75,16491
1786074480,626.6,627.65,626.6,626.65,10975
1786074540,627.7,628.5,627.05,628.5,8451
1786074600,628.4,630.0,628.4,630.0,15724
1786074660,630.8,633.9,630.55,632.9,58920
1786074720,633.15,635.25,632.95,633.5,48130
1786074780,633.5,634.3,631.6,632.8,21088
1786074840,632.95,633.4,632.5,633.05,8379
1786074900,632.8,633.35,632.6,633.35,14269
1786074960,633.25,633.3,632.35,632.6,9694
1786075020,632.95,632.95,632.0,632.05,8921
1786075080,632.3,632.9,631.45,632.65,12273
1786075140,632.2,632.35,631.65,632.05,3998
1786075200,632.25,632.25,630.9,631.0,5701
1786075260,631.1,631.2,630.7,631.05,9343
1786075320,631.4,633.4,631.4,633.4,17403
1786075380,633.45,633.45,632.7,632.75,3728
1786075440,633.0,634.3,633.0,633.05,11133
1786075500,633.35,633.9,633.05,633.35,6049
1786075560,633.35,633.8,633.35,633.6,3607
1786075620,633.5,634.5,632.75,632.95,23903
1786075680,632.75,634.1,632.75,633.0,4997
1786075740,633.45,634.75,633.3,634.7,12796
1786075800,634.9,634.9,633.65,634.4,9695
1786075860,634.3,635.5,634.3,635.0,21348
1786075920,634.3,634.3,633.85,634.3,5140
1786075980,633.85,634.0,632.75,633.05,9180
1786076040,633.05,633.7,632.75,633.7,7213
1786076100,633.75,633.75,633.15,633.2,2475
1786076160,633.5,633.65,632.85,633.65,3770
1786076220,633.45,633.75,633.0,633.0,3785
1786076280,633.4,633.8,633.05,633.7,5350
1786076340,634.5,634.6,634.0,634.0,8275
1786076400,634.6,635.25,634.35,635.25,8709
1786076460,634.65,634.9,630.9,631.0,44162
1786076520,630.9,631.35,630.55,630.95,12063
1786076580,630.95,631.5,630.6,631.05,7521
1786076640,631.0,631.35,630.25,630.25,9439
1786076700,630.65,630.8,630.3,630.55,5606
1786076760,630.55,630.65,630.1,630.35,3833
1786076820,630.5,631.9,630.3,631.9,5761
1786076880,631.65,631.85,631.0,631.85,5458
1786076940,631.9,632.0,631.0,631.3,4365
1786077000,631.25,632.2,631.25,631.95,2492
1786077060,631.95,632.3,631.25,631.45,4779
1786077120,631.4,631.95,631.2,631.2,1457
1786077180,631.0,631.05,630.6,630.6,4095
1786077240,630.6,630.8,630.3,630.6,5300
1786077300,630.55,630.85,630.1,630.1,3492
1786077360,630.3,630.3,629.55,630.0,12452
1786077420,630.0,630.25,630.0,630.15,2446
1786077480,630.35,630.35,629.7,629.95,10582
1786077540,629.6,629.7,629.3,629.3,2656
1786077600,629.3,629.45,629.1,629.15,3288
1786077660,629.5,629.5,629.1,629.1,4055
1786077720,629.1,629.4,628.6,628.6,7556
1786077780,628.5,629.0,628.45,628.8,4561
1786077840,628.75,629.0,628.75,629.0,653
1786077900,628.85,628.85,628.5,628.55,1958
1786077960,628.45,628.5,628.25,628.25,2966
1786078020,628.5,628.5,628.0,628.0,13759
1786078080,627.7,628.4,627.5,627.75,26149
1786078140,627.7,628.0,627.7,628.0,3078
1786078200,627.65,627.95,627.55,627.95,24990
1786078260,627.4,627.9,627.2,627.5,3839
1786078320,627.6,629.0,627.2,629.0,4772
1786078380,628.8,628.8,628.0,628.0,519
1786078440,628.25,628.3,627.95,628.15,1267
1786078500,627.8,628.2,627.75,628.0,1543
1786078560,628.0,628.3,627.25,627.25,1828
1786078620,627.0,627.1,626.6,626.65,3950
1786078680,626.4,626.8,626.05,626.75,23827
1786078740,626.65,627.0,626.35,626.75,786
1786078800,626.8,627.5,626.7,627.5,1115
1786078860,627.5,627.5,627.05,627.3,2520
1786078920,627.35,627.35,626.85,627.1,1147
1786078980,627.1,627.25,626.85,626.85,6434
1786079040,626.95,627.2,626.55,626.55,771
1786079100,626.55,626.7,626.05,626.25,2059
1786079160,626.25,626.25,625.65,625.9,1368
1786079220,626.0,626.15,624.5,624.9,17959
1786079280,624.95,625.6,624.75,625.5,3141
1786079340,625.7,626.1,625.25,626.1,3028
1786079400,626.25,626.35,625.5,625.5,7733
1786079460,625.35,625.5,625.0,625.05,2346
1786079520,625.05,625.2,625.0,625.0,8596
1786079580,625.1,625.2,625.0,625.2,1952
1786079640,625.2,625.45,625.0,625.3,2462
1786079700,625.25,626.0,625.15,626.0,1603
1786079760,626.0,626.0,625.25,625.25,1329
1786079820,625.4,625.65,625.3,625.6,2216
1786079880,625.5,625.5,625.4,625.4,1636
1786079940,625.5,625.5,625.1,625.15,1616
1786080000,625.15,625.15,624.4,624.4,5589
1786080060,624.55,624.55,623.5,623.7,11195
1786080120,623.95,624.25,623.7,624.2,4090
1786080180,624.0,624.2,623.8,624.0,1847
1786080240,624.1,624.2,624.0,624.15,2496
1786080300,624.0,624.75,624.0,624.2,5899
1786080360,624.35,624.9,624.15,624.15,2740
1786080420,624.4,624.75,622.5,622.5,31697
1786080480,622.5,622.85,622.3,622.5,19304
1786080540,622.4,622.5,621.7,622.05,24663
1786080600,622.2,622.2,621.0,621.9,19360
1786080660,621.3,621.75,620.55,620.65,20127
1786080720,620.6,624.15,620.6,622.6,27689
1786080780,622.55,622.55,621.25,621.3,16971
1786080840,621.0,622.2,621.0,621.15,20140
1786080900,621.15,621.75,621.1,621.7,19101
1786080960,621.65,621.85,621.35,621.55,18542
1786081020,621.45,621.45,620.6,621.0,22556
1786081080,620.7,621.5,620.55,621.5,15249
1786081140,621.55,621.9,621.2,621.45,10946
1786081200,621.5,622.4,621.5,622.4,15631
1786081260,622.1,624.45,622.1,624.25,8927
1786081320,624.45,624.65,622.65,623.8,13325
1786081380,623.3,624.85,623.3,624.85,27923
1786081440,624.5,624.5,623.7,624.0,711
1786081500,624.0,624.5,623.4,623.4,5487
1786081560,623.75,624.1,623.7,624.0,494
1786081620,624.0,624.6,624.0,624.4,1994
1786081680,624.4,624.4,624.0,624.3,6720
1786081740,624.15,624.15,623.0,623.3,7342
1786081800,623.55,623.7,623.25,623.35,1322
1786081860,623.55,623.7,623.35,623.6,971
1786081920,623.75,624.05,623.5,623.65,2710
1786081980,623.95,623.95,623.4,623.45,1625
1786082040,623.6,623.9,623.6,623.75,1265
1786082100,623.85,624.0,623.85,624.0,1247
1786082160,624.0,624.95,624.0,624.8,2973
1786082220,624.85,625.2,624.55,625.15,5888
1786082280,625.2,625.6,625.0,625.6,5041
1786082340,625.6,625.85,625.6,625.75,3318
1786082400,625.8,626.8,625.8,626.6,5884
