time,open,high,low,close,volume
1786074300,504.15,505.05,504.0,504.3,77527
1786074360,503.95,505.3,503.95,505.3,41621
1786074420,505.0,505.6,504.55,504.55,29588
1786074480,504.55,504.6,504.5,504.5,11722
1786074540,504.75,505.05,504.5,504.5,10481
1786074600,504.5,504.95,503.7,504.15,43652
1786074660,504.45,504.45,504.0,504.1,11500
1786074720,504.2,504.2,503.2,503.45,40075
1786074780,503.8,503.8,502.7,503.65,37043
1786074840,503.55,503.8,503.55,503.75,1997
1786074900,503.85,504.0,503.15,503.5,40590
1786074960,503.6,503.75,503.4,503.75,7290
1786075020,504.0,504.0,503.55,503.85,6849
1786075080,503.9,503.9,503.55,503.55,5371
1786075140,503.85,504.85,503.55,504.75,13184
1786075200,504.75,504.8,504.2,504.3,17241
1786075260,504.25,504.45,504.15,504.15,7020
1786075320,504.15,504.65,504.15,504.55,3851
1786075380,504.6,504.7,504.35,504.4,6699
1786075440,504.6,504.6,504.05,504.05,15039
1786075500,504.05,504.35,503.15,503.15,16291
1786075560,503.35,504.0,503.35,504.0,15095
1786075620,504.0,504.0,503.75,503.8,2699
1786075680,503.85,504.25,503.7,504.25,6795
1786075740,504.1,504.4,504.05,504.05,3342
1786075800,504.1,505.0,504.1,505.0,5135
1786075860,504.75,504.95,504.55,504.75,16028
1786075920,504.75,505.0,504.7,504.9,2035
1786075980,505.1,506.05,505.1,506.05,15782
1786076040,506.2,506.55,505.95,506.55,19507
1786076100,506.55,507.7,506.55,507.2,20639
1786076160,507.15,507.35,507.15,507.3,7140
1786076220,507.0,507.15,506.55,506.55,21523
1786076280,506.45,506.9,506.0,506.25,19231
1786076340,506.1,506.25,505.5,505.5,6857
1786076400,505.55,505.9,505.4,505.9,7719
1786076460,506.0,506.25,505.95,506.25,4377
1786076520,506.5,506.7,506.05,506.2,6991
1786076580,506.2,506.2,505.9,506.0,2011
1786076640,505.95,506.15,505.7,506.15,3423
1786076700,506.3,507.2,506.15,507.05,14982
1786076760,507.0,507.05,506.4,506.4,14305
1786076820,506.2,506.4,506.15,506.25,2947
1786076880,506.45,506.65,506.15,506.55,7860
1786076940,506.6,506.85,506.6,506.85,1254
1786077000,506.85,506.85,506.55,506.55,3702
1786077060,506.55,506.65,506.5,506.5,3749
1786077120,506.5,506.5,506.35,506.4,2659
1786077180,506.4,506.45,506.2,506.2,728
1786077240,506.2,506.35,506.2,506.35,691
1786077300,506.3,506.35,505.85,505.85,10196
1786077360,505.75,505.95,505.75,505.9,3434
1786077420,506.1,506.1,506.0,506.1,2119
1786077480,506.3,506.35,506.3,506.35,1675
1786077540,506.35,506.35,506.35,506.35,1122
1786077600,506.35,506.35,506.35,506.35,835
1786077660,506.4,506.5,506.35,506.35,916
1786077720,506.4,506.5,506.35,506.5,1317
1786077780,506.55,506.65,506.35,506.35,7223
1786077840,506.35,506.8,506.2,506.55,8528
1786077900,506.6,506.8,506.6,506.8,647
1786077960,506.6,506.6,506.1,506.1,9173
1786078020,506.15,506.25,506.15,506.25,6249
1786078080,506.5,506.7,506.2,506.2,3731
1786078140,506.15,506.7,505.7,506.65,10149
1786078200,506.6,506.9,506.6,506.6,3626
1786078260,507.0,507.9,507.0,507.3,15430
1786078320,507.3,507.45,507.0,507.45,4028
1786078380,507.45,507.45,507.25,507.35,3721
1786078440,507.35,507.35,506.7,506.7,2517
1786078500,506.65,506.9,506.6,506.9,3585
1786078560,506.6,506.6,506.25,506.25,5935
1786078620,506.25,506.45,506.25,506.25,263
1786078680,506.25,506.4,506.25,506.3,4815
1786078740,506.25,506.3,506.25,506.25,895
1786078800,506.25,506.3,506.25,506.25,1848
1786078860,506.25,506.4,506.05,506.2,23559
1786078920,506.25,506.45,506.05,506.05,2953
1786078980,506.15,506.15,505.95,506.0,1128
1786079040,506.0,506.25,506.0,506.25,1385
1786079100,506.3,506.6,506.25,506.3,2038
1786079160,506.25,506.9,506.2,506.9,1915
1786079220,506.9,507.45,506.75,507.35,4205
1786079280,507.15,507.15,506.85,507.05,3505
1786079340,507.05,507.25,507.0,507.0,1330
1786079400,507.0,507.05,507.0,507.0,1601
1786079460,507.0,507.15,507.0,507.1,2268
1786079520,507.1,507.15,506.8,506.8,4037
1786079580,506.8,506.95,506.65,506.65,1369
1786079640,506.65,506.8,506.55,506.6,386
1786079700,506.5,506.5,506.5,506.5,491
1786079760,506.0,506.35,506.0,506.35,8873
1786079820,506.25,506.65,506.25,506.65,1342
1786079880,506.7,506.9,506.7,506.9,350
1786079940,506.7,507.45,506.7,507.05,5802
1786080000,507.0,507.05,506.85,507.0,3121
1786080060,506.75,506.95,506.65,506.95,1181
1786080120,506.95,506.95,506.45,506.55,2673
1786080180,506.6,506.6,506.25,506.25,2163
1786080240,506.25,506.3,506.05,506.05,3449
1786080300,506.0,506.0,506.0,506.0,1521
1786080360,506.0,506.2,506.0,506.0,415
1786080420,506.0,506.0,505.8,505.8,6224
1786080480,505.5,505.5,505.0,505.0,5815
1786080540,505.1,505.1,504.25,504.3,20633
1786080600,504.45,504.65,504.4,504.6,878
1786080660,504.6,504.8,504.6,504.7,4257
1786080720,504.85,504.95,504.85,504.9,1978
1786080780,505.05,505.05,504.9,504.9,2527
1786080840,504.5,504.9,504.5,504.9,4533
1786080900,504.95,505.05,504.95,505.05,954
1786080960,505.25,505.8,505.25,505.6,28555
1786081020,505.45,505.6,505.45,505.6,946
1786081080,504.9,505.4,504.9,505.4,12543
1786081140,505.2,505.2,505.0,505.1,1209
