time,open,high,low,close,volume
1786074300,1213.9,1219.4,1210.0,1218.1,24576
1786074360,1212.2,1214.4,1208.8,1214.4,16474
1786074420,1214.3,1218.0,1214.3,1217.7,13057
1786074480,1217.9,1221.4,1217.9,1219.9,11721
1786074540,1222.5,1222.5,1217.1,1217.1,9453
1786074600,1217.6,1218.9,1217.4,1218.8,4475
1786074660,1219.1,1224.0,1219.1,1222.4,10480
1786074720,1222.4,1224.8,1222.1,1224.1,4367
1786074780,1224.8,1225.0,1221.2,1221.9,7595
1786074840,1220.2,1221.0,1219.2,1219.2,3941
1786074900,1219.3,1220.3,1219.0,1219.0,3352
1786074960,1218.9,1221.4,1217.0,1220.6,22679
1786075020,1220.6,1220.9,1218.6,1220.4,3541
1786075080,1220.4,1220.4,1215.0,1215.8,8212
1786075140,1215.1,1217.3,1214.4,1216.5,2938
1786075200,1217.3,1217.4,1216.9,1217.3,566
1786075260,1217.0,1217.0,1214.9,1214.9,2132
1786075320,1214.9,1218.7,1214.9,1217.2,2899
1786075380,1217.6,1217.6,1216.1,1216.2,838
1786075440,1216.9,1218.8,1216.1,1218.2,1347
1786075500,1218.5,1218.5,1216.5,1217.1,2256
1786075560,1217.0,1217.5,1216.4,1217.5,748
1786075620,1218.0,1218.4,1217.0,1217.3,1448
1786075680,1217.0,1217.6,1217.0,1217.0,2674
1786075740,1217.7,1217.7,1216.8,1217.0,1282
1786075800,1217.0,1217.5,1215.1,1215.1,3789
1786075860,1215.8,1216.6,1214.0,1216.6,10663
1786075920,1216.4,1218.8,1216.3,1218.6,2562
1786075980,1218.0,1218.5,1217.5,1218.0,562
1786076040,1218.0,1219.0,1217.6,1219.0,797
1786076100,1221.2,1221.3,1219.4,1219.4,3567
1786076160,1220.1,1220.1,1216.3,1217.1,968
1786076220,1216.8,1217.0,1215.3,1215.3,586
1786076280,1215.3,1215.3,1213.7,1214.6,2875
1786076340,1214.7,1214.7,1214.0,1214.4,727
1786076400,1214.3,1214.3,1214.0,1214.0,518
1786076460,1214.3,1215.1,1213.4,1215.0,5524
1786076520,1215.1,1215.6,1214.4,1215.1,641
1786076580,1215.6,1217.3,1215.0,1216.3,1085
1786076640,1216.3,1218.8,1216.3,1218.3,1841
1786076700,1218.8,1219.9,1217.7,1218.9,2173
1786076760,1219.6,1220.1,1217.2,1218.0,2061
1786076820,1218.0,1218.0,1216.7,1217.0,1216
1786076880,1216.6,1216.7,1216.0,1216.1,815
1786076940,1216.7,1216.7,1215.3,1215.9,366
1786077000,1215.8,1216.3,1215.0,1215.9,911
1786077060,1215.5,1218.0,1215.0,1216.8,1374
1786077120,1215.9,1216.2,1215.0,1216.1,565
1786077180,1214.9,1215.7,1214.3,1215.1,3918
1786077240,1215.1,1215.9,1215.1,1215.3,301
1786077300,1215.8,1215.8,1213.6,1213.7,1138
1786077360,1213.4,1214.7,1213.4,1214.0,545
1786077420,1214.0,1214.9,1214.0,1214.9,1055
1786077480,1214.9,1214.9,1213.9,1213.9,850
1786077540,1213.6,1213.6,1212.1,1212.3,1055
1786077600,1212.8,1213.3,1212.0,1212.2,1569
1786077660,1212.9,1212.9,1212.2,1212.3,608
1786077720,1212.5,1212.5,1212.0,1212.4,720
1786077780,1212.0,1212.2,1211.5,1212.0,1529
1786077840,1212.4,1212.5,1212.0,1212.0,473
1786077900,1212.2,1212.5,1211.6,1212.1,417
1786077960,1212.1,1212.1,1210.4,1210.8,1196
1786078020,1211.0,1211.0,1210.4,1210.8,632
1786078080,1210.1,1210.8,1210.0,1210.0,983
1786078140,1210.4,1210.4,1210.0,1210.4,108
1786078200,1210.4,1212.5,1210.4,1212.1,4268
1786078260,1211.4,1213.0,1211.4,1212.5,208
1786078320,1213.0,1213.0,1212.5,1212.9,58
1786078380,1213.3,1213.5,1212.1,1212.5,594
1786078440,1212.5,1212.6,1212.1,1212.5,164
1786078500,1212.5,1212.9,1212.1,1212.6,892
1786078560,1212.8,1212.8,1211.1,1211.5,3706
1786078620,1211.4,1211.4,1210.6,1211.0,1189
1786078680,1210.4,1212.2,1210.4,1212.2,1165
1786078740,1213.6,1213.6,1212.9,1213.0,3550
1786078800,1213.5,1213.8,1212.0,1212.0,828
1786078860,1212.7,1212.9,1212.0,1212.5,466
1786078920,1212.5,1212.7,1212.0,1212.0,226
1786078980,1212.6,1213.4,1212.0,1213.4,414
1786079040,1213.4,1213.4,1212.2,1213.2,158
1786079100,1213.1,1213.2,1212.4,1213.0,978
1786079160,1212.9,1212.9,1212.6,1212.8,1464
1786079220,1212.8,1213.6,1212.6,1213.3,2302
1786079280,1213.0,1214.5,1212.6,1213.8,1578
1786079340,1214.5,1215.4,1213.7,1214.4,3604
1786079400,1215.1,1215.5,1214.5,1215.5,2985
1786079460,1215.4,1215.5,1214.3,1214.3,1274
1786079520,1214.3,1215.0,1213.6,1215.0,1497
1786079580,1215.5,1215.9,1214.0,1214.4,2966
1786079640,1213.3,1214.0,1213.2,1213.9,317
1786079700,1212.3,1213.0,1212.3,1212.9,1375
1786079760,1212.8,1212.9,1212.0,1212.3,307
1786079820,1212.5,1213.8,1212.5,1213.2,892
1786079880,1213.7,1213.8,1213.2,1213.5,1435
1786079940,1213.0,1213.8,1213.0,1213.6,2790
1786080000,1213.8,1213.8,1212.7,1212.9,2078
1786080060,1212.9,1213.0,1211.0,1212.9,2260
1786080120,1213.0,1213.1,1211.6,1213.1,2027
1786080180,1213.2,1217.1,1213.2,1216.7,3504
1786080240,1216.7,1217.0,1216.2,1216.5,1450
1786080300,1216.5,1216.5,1215.1,1216.1,1472
1786080360,1216.3,1216.5,1215.9,1216.5,479
1786080420,1216.5,1216.5,1214.1,1214.6,2699
1786080480,1215.0,1215.4,1214.2,1215.3,4392
1786080540,1214.7,1215.1,1213.9,1214.4,1267
1786080600,1214.3,1214.3,1213.9,1214.3,55
1786080660,1214.3,1214.3,1212.7,1212.9,2252
1786080720,1212.9,1212.9,1212.6,1212.9,36
1786080780,1212.9,1212.9,1212.3,1212.3,1440
1786080840,1212.0,1212.7,1212.0,1212.3,2681
1786080900,1212.5,1213.7,1212.5,1213.7,717
1786080960,1213.0,1213.9,1213.0,1213.7,1377
1786081020,1213.7,1213.7,1213.7,1213.7,125
1786081080,1213.7,1213.7,1213.7,1213.7,39
1786081140,1214.0,1214.0,1213.3,1213.9,334
1786081200,1213.9,1214.0,1213.9,1214.0,201
1786081260,1214.0,1214.0,1214.0,1214.0,85
1786081320,1214.0,1214.0,1213.9,1213.9,36
1786081380,1213.9,1213.9,1213.8,1213.8,792
1786081440,1213.7,1213.7,1213.2,1213.6,874
1786081500,1213.2,1213.2,1212.9,1213.2,150
1786081560,1213.2,1213.2,1213.2,1213.2,115
1786081620,1213.2,1213.4,1212.6,1213.2,625
1786081680,1213.5,1214.0,1213.5,1214.0,2152
1786081740,1214.0,1214.2,1213.9,1214.2,316
1786081800,1214.2,1214.5,1213.5,1214.5,611
1786081860,1214.5,1215.1,1214.1,1214.1,2581
1786081920,1214.8,1214.8,1214.1,1214.1,877
1786081980,1214.3,1214.3,1214.0,1214.0,43
1786082040,1214.0,1214.0,1214.0,1214.0,105
1786082100,1214.0,1214.6,1214.0,1214.6,194
1786082160,1214.3,1215.2,1214.3,1215.0,384
