time,open,high,low,close,volume
1786074300,316.9,316.9,310.0,310.9,251791
1786074360,309.6,312.55,309.6,311.65,97476
1786074420,310.95,313.0,310.95,311.75,34307
1786074480,312.0,312.5,312.0,312.4,21955
1786074540,312.5,312.6,311.7,311.7,53170
1786074600,311.7,311.8,311.35,311.35,27821
1786074660,311.45,311.8,310.15,310.15,113679
1786074720,309.45,310.45,309.45,310.0,109789
1786074780,310.15,310.15,309.0,309.25,88592
1786074840,309.45,309.5,309.25,309.25,30079
1786074900,309.5,310.6,309.5,310.6,49298
1786074960,310.7,310.9,310.2,310.2,36340
1786075020,310.0,310.25,309.85,310.25,17564
1786075080,310.25,310.25,309.2,309.4,66913
1786075140,309.15,309.5,309.05,309.5,31386
1786075200,309.4,309.45,309.3,309.35,9612
1786075260,309.4,309.45,309.2,309.2,25370
1786075320,309.25,310.5,309.25,310.5,69768
1786075380,310.5,310.95,310.5,310.75,39144
1786075440,310.6,310.7,310.3,310.3,11780
1786075500,310.3,310.6,310.3,310.5,12268
1786075560,310.6,310.9,310.6,310.7,20371
1786075620,311.15,311.15,310.6,310.75,41648
1786075680,310.85,310.85,310.75,310.85,5273
1786075740,310.85,311.0,310.75,310.8,11640
1786075800,310.75,311.0,310.6,310.6,9360
1786075860,310.7,310.7,310.1,310.15,5702
1786075920,310.2,310.65,310.0,310.65,7177
1786075980,310.65,310.7,310.55,310.7,4575
1786076040,310.55,310.8,310.55,310.6,2937
1786076100,310.75,311.2,310.75,311.2,3782
1786076160,311.2,311.4,311.2,311.25,27644
1786076220,311.15,311.15,310.85,310.85,10805
1786076280,311.05,311.05,310.7,310.9,6531
1786076340,310.9,310.95,310.9,310.9,2171
1786076400,311.0,311.45,311.0,311.45,4337
1786076460,311.5,311.75,311.5,311.7,26808
1786076520,311.7,311.75,311.6,311.75,20425
1786076580,311.8,311.85,311.3,311.3,22391
1786076640,311.3,311.55,311.3,311.55,5684
1786076700,311.7,311.9,311.55,311.55,5679
1786076760,311.75,311.75,311.45,311.5,12212
1786076820,311.55,311.55,311.5,311.55,4310
1786076880,311.3,311.3,310.9,311.05,14325
1786076940,310.9,311.25,310.9,311.0,1698
1786077000,311.1,311.15,310.9,310.9,2346
1786077060,310.9,311.8,310.85,311.8,8536
1786077120,311.65,311.7,311.5,311.5,3307
1786077180,311.5,311.8,311.5,311.7,4308
1786077240,311.55,311.75,311.55,311.7,3891
1786077300,311.7,311.8,311.55,311.7,5522
1786077360,311.75,312.15,311.75,312.15,15172
1786077420,312.2,312.2,312.0,312.0,7692
1786077480,311.95,312.0,311.75,312.0,4786
1786077540,311.9,312.65,311.85,312.4,27325
1786077600,312.5,312.7,312.35,312.65,23576
1786077660,312.45,312.8,312.45,312.8,25932
1786077720,312.85,312.85,312.45,312.45,6654
1786077780,312.45,312.6,312.3,312.3,4279
