time,open,high,low,close,volume
1786074300,3557.7,3557.7,3551.9,3554.2,206
1786074360,3551.3,3561.1,3551.3,3559.7,186
1786074420,3561.5,3570.0,3557.3,3557.3,893
1786074480,3558.3,3558.7,3558.3,3558.3,323
1786074540,3562.0,3562.0,3559.0,3559.0,87
1786074600,3560.0,3564.5,3560.0,3561.6,35
1786074660,3569.9,3573.9,3565.1,3569.3,364
1786074720,3574.1,3575.9,3574.1,3574.6,737
1786074780,3574.5,3574.5,3565.1,3571.2,444
1786074840,3569.7,3578.6,3569.7,3576.3,193
1786074900,3575.0,3578.9,3572.9,3578.9,350
1786074960,3579.2,3579.5,3575.7,3577.9,764
1786075020,3577.8,3579.4,3574.1,3574.1,259
1786075080,3576.9,3576.9,3574.6,3574.7,44
1786075140,3575.6,3576.4,3572.2,3575.0,57
1786075200,3575.0,3596.3,3575.0,3596.3,437
1786075260,3592.1,3608.3,3592.1,3603.3,1065
1786075320,3600.9,3608.6,3600.9,3606.4,721
1786075380,3605.2,3605.2,3602.4,3602.4,114
1786075440,3604.0,3604.7,3596.1,3596.1,88
1786075500,3596.1,3603.7,3596.1,3598.0,165
1786075560,3597.9,3614.9,3595.3,3606.5,5426
1786075620,3605.5,3605.5,3602.0,3603.5,249
1786075680,3603.4,3606.0,3603.3,3606.0,72
1786075740,3604.2,3608.8,3600.2,3608.8,202
1786075800,3608.8,3609.7,3604.0,3609.7,84
1786075860,3606.8,3606.9,3604.0,3604.0,62
1786075920,3608.2,3610.0,3608.2,3610.0,166
1786075980,3608.3,3612.5,3608.3,3611.1,173
1786076040,3608.7,3611.1,3608.4,3611.1,23
1786076100,3608.7,3613.6,3608.4,3613.6,87
1786076160,3615.0,3615.0,3610.0,3610.0,185
1786076220,3610.9,3610.9,3606.6,3608.1,541
1786076280,3608.1,3614.2,3608.1,3611.0,216
1786076340,3611.0,3617.0,3610.8,3614.6,1126
1786076400,3630.0,3635.0,3627.7,3635.0,2227
1786076460,3632.8,3638.6,3632.8,3637.5,540
1786076520,3635.0,3647.9,3635.0,3639.4,2946
1786076580,3646.7,3649.0,3643.2,3644.5,1416
1786076640,3645.7,3655.9,3639.6,3649.0,4754
1786076700,3646.6,3651.8,3645.1,3647.3,1508
1786076760,3647.1,3655.9,3647.0,3651.8,945
