time,open,high,low,close,volume
1786074300,4061.6,4061.6,4039.0,4050.8,19409
1786074360,4052.1,4059.2,4050.1,4056.6,10380
1786074420,4057.0,4061.2,4057.0,4057.4,4389
1786074480,4055.9,4058.9,4055.3,4058.0,3488
1786074540,4058.2,4059.8,4057.7,4057.9,2586
1786074600,4057.9,4058.8,4057.5,4058.4,3861
1786074660,4058.1,4059.9,4058.1,4059.9,2616
1786074720,4060.8,4061.0,4058.0,4059.0,6287
1786074780,4059.0,4059.0,4056.8,4056.8,3107
1786074840,4055.3,4059.0,4055.0,4059.0,2394
1786074900,4059.0,4059.0,4055.1,4056.0,4245
1786074960,4056.1,4059.8,4056.1,4058.4,3698
1786075020,4056.5,4057.9,4055.4,4057.9,1881
1786075080,4057.9,4057.9,4056.5,4056.5,1390
1786075140,4056.0,4057.9,4055.2,4055.2,6095
1786075200,4055.0,4055.3,4054.0,4054.0,1939
1786075260,4054.0,4054.5,4052.4,4052.4,1206
1786075320,4053.7,4057.8,4053.5,4057.7,8560
1786075380,4059.4,4062.0,4057.2,4057.2,8076
1786075440,4057.1,4058.5,4055.8,4058.5,1244
1786075500,4058.5,4060.5,4058.5,4060.0,3629
1786075560,4061.0,4061.0,4057.3,4057.5,3324
1786075620,4059.4,4059.4,4053.5,4054.0,2852
1786075680,4055.1,4056.8,4054.9,4056.8,1403
1786075740,4056.7,4056.7,4054.0,4054.0,764
1786075800,4053.3,4055.6,4053.3,4054.1,827
1786075860,4054.1,4055.0,4054.0,4055.0,1044
1786075920,4055.7,4057.4,4055.7,4057.0,2018
1786075980,4057.0,4057.0,4055.9,4056.0,1499
1786076040,4056.2,4059.7,4056.1,4059.7,1173
1786076100,4059.9,4060.3,4058.3,4059.1,1347
1786076160,4059.2,4059.2,4054.9,4055.7,991
1786076220,4054.9,4055.7,4053.2,4055.4,1314
1786076280,4054.9,4057.0,4054.8,4056.7,875
1786076340,4056.8,4056.8,4056.0,4056.0,438
1786076400,4056.3,4056.8,4056.1,4056.8,731
1786076460,4056.8,4059.0,4056.4,4059.0,613
1786076520,4059.0,4059.7,4058.2,4058.2,1642
1786076580,4058.9,4059.2,4056.0,4057.2,827
1786076640,4057.2,4058.0,4056.5,4058.0,659
1786076700,4057.8,4058.9,4057.5,4058.9,814
1786076760,4058.9,4058.9,4057.8,4058.4,714
1786076820,4058.0,4058.3,4058.0,4058.3,504
1786076880,4058.0,4061.5,4058.0,4061.1,4391
1786076940,4059.9,4060.8,4058.6,4058.6,1770
1786077000,4059.5,4059.5,4054.0,4054.0,935
1786077060,4055.0,4055.0,4050.0,4050.0,10960
1786077120,4046.1,4048.5,4046.1,4047.8,1491
1786077180,4047.0,4047.4,4044.7,4046.0,4390
1786077240,4045.0,4047.5,4044.0,4047.2,2850
1786077300,4047.5,4049.0,4047.0,4048.0,2226
1786077360,4048.7,4049.1,4048.0,4049.0,2342
1786077420,4048.3,4049.9,4048.0,4049.9,2425
1786077480,4049.0,4049.0,4047.5,4048.0,2483
1786077540,4048.0,4048.0,4046.1,4047.9,1077
1786077600,4046.6,4047.9,4044.1,4045.0,6763
1786077660,4045.0,4045.6,4044.1,4044.2,1057
1786077720,4045.0,4045.0,4044.1,4044.2,523
1786077780,4044.0,4044.2,4043.2,4044.0,666
1786077840,4045.0,4045.0,4043.9,4044.6,950
1786077900,4044.6,4045.0,4043.1,4043.1,673
1786077960,4043.3,4045.0,4043.3,4044.8,494
1786078020,4044.8,4045.0,4044.0,4044.0,542
1786078080,4044.8,4045.0,4042.8,4043.6,1888
1786078140,4043.6,4043.6,4042.0,4042.5,1053
1786078200,4043.7,4043.7,4042.9,4043.0,1027
1786078260,4043.1,4044.6,4043.1,4044.6,389
1786078320,4044.6,4044.9,4044.0,4044.6,627
1786078380,4044.6,4044.6,4043.0,4043.5,1441
1786078440,4042.5,4042.5,4042.0,4042.1,600
1786078500,4042.1,4042.5,4041.3,4041.3,2173
1786078560,4040.0,4040.0,4039.0,4039.9,5252
1786078620,4039.6,4039.9,4038.3,4039.6,1678
1786078680,4038.5,4039.9,4038.1,4039.8,885
1786078740,4038.8,4038.8,4036.5,4037.5,2609
1786078800,4037.5,4037.9,4036.6,4037.6,496
1786078860,4037.6,4038.1,4037.2,4037.6,1415
1786078920,4037.0,4038.6,4036.5,4038.6,1723
