time,open,high,low,close,volume
1786074300,2409.0,2410.0,2391.5,2403.3,103279
1786074360,2402.3,2404.8,2389.0,2397.1,47180
1786074420,2396.9,2403.9,2386.8,2396.8,51652
1786074480,2394.9,2398.6,2375.1,2382.4,43585
1786074540,2384.0,2388.2,2379.3,2385.2,28134
1786074600,2387.1,2389.5,2380.2,2387.4,34340
1786074660,2387.4,2392.0,2386.0,2387.6,19608
1786074720,2387.5,2388.4,2382.8,2384.8,10595
1786074780,2385.7,2389.3,2384.2,2384.2,14021
1786074840,2384.4,2385.5,2375.0,2375.9,28897
1786074900,2373.9,2379.5,2373.5,2376.0,24899
1786074960,2375.2,2379.0,2372.7,2378.8,16515
1786075020,2378.0,2378.5,2375.2,2376.4,5332
1786075080,2376.3,2382.0,2375.6,2381.7,9562
1786075140,2382.0,2388.4,2382.0,2386.6,21842
1786075200,2386.0,2389.2,2384.4,2386.6,16159
1786075260,2386.8,2389.5,2385.0,2388.0,3630
1786075320,2384.0,2386.1,2383.4,2384.9,7787
1786075380,2384.9,2386.8,2383.4,2384.2,1736
1786075440,2383.8,2385.0,2383.1,2384.0,7277
1786075500,2384.7,2387.4,2384.7,2387.4,2981
1786075560,2386.2,2387.6,2385.7,2386.9,5800
1786075620,2386.9,2387.0,2385.6,2385.9,2636
1786075680,2386.7,2386.8,2385.8,2386.1,2680
1786075740,2386.6,2387.9,2385.7,2387.9,2946
1786075800,2388.0,2389.6,2386.2,2386.7,24192
1786075860,2386.3,2389.9,2386.3,2389.1,4522
1786075920,2388.1,2394.0,2388.1,2392.6,26532
1786075980,2393.0,2396.5,2392.0,2392.8,17484
1786076040,2392.8,2394.7,2391.4,2394.6,9245
1786076100,2393.8,2394.6,2391.0,2393.0,10411
1786076160,2393.0,2396.7,2391.2,2396.4,20903
1786076220,2396.0,2398.6,2395.5,2396.1,23266
1786076280,2397.0,2401.9,2396.0,2398.3,22746
1786076340,2398.9,2398.9,2393.7,2395.8,13503
1786076400,2395.3,2395.3,2391.0,2392.9,10051
1786076460,2392.5,2396.4,2392.4,2396.0,5842
1786076520,2394.9,2397.1,2394.3,2395.3,7383
1786076580,2395.3,2395.6,2389.1,2389.1,7088
1786076640,2390.2,2391.2,2389.4,2390.4,2896
1786076700,2390.6,2392.8,2390.3,2391.5,3090
1786076760,2393.7,2393.7,2387.7,2387.7,12580
1786076820,2387.7,2390.9,2386.6,2389.6,2237
1786076880,2389.1,2390.8,2388.3,2388.3,1055
