time,open,high,low,close,volume
1786074300,365.0,365.0,358.5,358.9,237538
1786074360,358.85,360.7,358.85,360.55,23428
1786074420,360.5,362.0,360.5,361.7,25886
1786074480,361.4,361.65,361.4,361.65,11553
1786074540,361.8,361.8,360.85,361.05,15718
1786074600,361.2,361.3,361.15,361.15,12623
1786074660,361.5,361.7,361.35,361.35,8782
1786074720,361.35,361.65,361.3,361.3,10672
1786074780,361.15,361.15,360.9,360.9,11110
1786074840,361.15,361.35,361.1,361.3,8552
1786074900,361.35,361.6,361.05,361.6,8148
1786074960,361.4,362.2,361.4,361.8,24877
1786075020,361.6,361.65,361.2,361.35,4345
1786075080,361.35,361.35,361.05,361.05,9830
1786075140,360.7,360.95,360.55,360.9,9023
1786075200,360.8,360.8,360.5,360.55,9046
1786075260,360.55,360.55,360.4,360.5,1408
1786075320,360.55,360.7,360.35,360.65,3850
1786075380,360.85,360.85,360.5,360.55,2455
1786075440,360.75,360.75,360.5,360.7,2322
1786075500,360.85,360.85,360.35,360.6,4915
1786075560,360.85,360.95,360.65,360.95,2387
1786075620,360.75,360.9,360.1,360.1,16560
1786075680,360.45,360.5,360.2,360.5,3475
1786075740,360.75,360.95,360.4,360.4,4254
1786075800,360.6,361.15,360.5,361.15,5320
1786075860,361.25,361.65,361.15,361.4,10373
1786075920,361.45,361.45,361.3,361.3,18327
1786075980,361.2,361.5,361.05,361.3,1485
1786076040,361.6,361.6,361.1,361.2,4890
1786076100,361.4,361.4,361.3,361.35,1379
1786076160,361.05,361.15,361.05,361.15,2088
1786076220,361.15,361.15,361.0,361.05,2704
1786076280,361.05,361.4,361.05,361.2,5712
1786076340,361.35,361.35,361.15,361.2,2632
1786076400,361.65,362.45,361.65,362.1,17461
1786076460,362.3,362.3,361.8,361.95,10505
1786076520,362.35,362.35,361.75,362.0,5887
1786076580,362.0,362.0,361.85,362.0,1699
1786076640,361.8,362.35,361.8,362.15,5929
1786076700,362.3,363.9,362.2,363.2,29346
1786076760,363.45,363.45,363.05,363.05,10624
1786076820,363.2,363.2,362.9,363.0,2724
1786076880,362.75,362.9,362.6,362.75,4364
1786076940,362.8,362.8,362.35,362.7,8727
1786077000,362.7,362.7,362.0,362.0,45987
1786077060,362.0,362.15,362.0,362.05,832
1786077120,362.05,362.25,361.85,361.85,43065
1786077180,361.95,362.0,361.85,361.95,27227
1786077240,362.0,362.0,361.9,362.0,6359
1786077300,362.05,362.65,362.05,362.65,65185
1786077360,362.65,362.95,362.65,362.65,6555
1786077420,363.0,363.25,362.7,362.7,17674
1786077480,362.6,362.9,362.6,362.65,606
1786077540,362.65,362.95,362.45,362.95,12799
1786077600,362.95,363.3,362.85,362.85,5932
1786077660,362.8,362.95,362.7,362.8,1744
1786077720,362.9,362.9,362.8,362.9,536
1786077780,362.9,362.9,362.05,362.3,4249
1786077840,362.15,362.45,362.15,362.25,25207
1786077900,362.4,362.5,362.1,362.1,6854
1786077960,362.3,362.5,362.1,362.3,12279
1786078020,362.4,362.7,362.3,362.3,3148
1786078080,362.35,362.5,362.1,362.1,3893
1786078140,362.25,362.25,362.05,362.15,4351
1786078200,362.1,362.25,362.1,362.25,3797
1786078260,362.2,363.2,362.2,363.0,6130
1786078320,363.05,364.05,363.05,364.05,30657
1786078380,363.85,363.95,363.75,363.75,6799
1786078440,363.75,364.0,363.75,364.0,3954
1786078500,364.0,364.0,363.75,363.75,6935
1786078560,363.85,364.3,363.8,364.0,18005
1786078620,364.15,364.2,363.05,363.25,25294
1786078680,363.05,363.2,362.85,362.85,1214
1786078740,362.65,362.95,362.6,362.95,3457
1786078800,362.85,362.95,362.65,362.65,1603
1786078860,362.65,362.8,362.3,362.5,16005
1786078920,362.5,362.65,362.4,362.5,1161
1786078980,362.4,362.7,362.4,362.6,2133
1786079040,362.6,362.8,362.6,362.6,1849
1786079100,362.8,362.8,362.05,362.05,1848
1786079160,362.3,362.3,362.1,362.15,1592
1786079220,362.15,362.2,362.05,362.1,438
1786079280,362.15,362.45,362.1,362.45,2517
1786079340,362.45,362.45,362.2,362.25,418
1786079400,362.25,362.3,362.2,362.3,1134
1786079460,362.45,362.6,362.25,362.55,1688
1786079520,362.5,362.65,362.25,362.25,3923
1786079580,362.45,362.45,362.2,362.2,349
1786079640,362.4,362.4,362.15,362.15,969
1786079700,362.3,362.35,362.2,362.2,1300
1786079760,362.35,362.5,362.2,362.5,1349
1786079820,362.5,362.5,362.4,362.45,1485
1786079880,362.5,363.0,362.5,362.95,6879
1786079940,362.85,363.2,362.75,362.75,5694
1786080000,362.55,362.65,362.45,362.45,257
1786080060,362.7,362.7,362.5,362.5,3395
1786080120,362.7,362.7,362.45,362.5,305
1786080180,362.65,363.0,362.45,363.0,8110
1786080240,362.8,362.8,362.5,362.55,3470
1786080300,362.7,362.7,362.45,362.45,265
1786080360,362.55,362.55,362.5,362.5,259
1786080420,362.65,363.3,362.65,362.95,14016
