time,open,high,low,close,volume
1786074300,498.0,498.0,493.45,494.3,17412
1786074360,496.85,499.25,496.85,498.2,9504
1786074420,498.8,498.8,496.55,496.55,4593
1786074480,496.35,497.75,496.35,497.75,7109
1786074540,498.0,500.4,498.0,499.05,26058
1786074600,498.8,499.4,498.55,499.2,2426
1786074660,499.6,500.8,499.2,500.3,4956
1786074720,499.85,502.8,499.85,502.2,13744
1786074780,502.25,502.25,501.25,501.75,3444
1786074840,501.8,502.0,501.7,502.0,3041
1786074900,502.0,502.0,500.6,500.7,5344
1786074960,500.8,500.8,499.0,499.0,6735
1786075020,498.4,498.8,498.0,498.0,5412
1786075080,498.3,498.3,498.05,498.05,717
1786075140,498.05,498.3,497.95,497.95,1983
1786075200,497.9,498.45,497.75,498.0,1954
1786075260,498.85,499.4,498.85,499.1,3149
1786075320,499.05,500.25,499.05,499.95,3361
1786075380,499.95,500.1,499.55,499.55,1374
1786075440,499.6,499.6,499.1,499.3,2226
1786075500,499.05,499.8,499.05,499.8,6131
1786075560,499.35,499.75,498.9,498.9,2360
1786075620,499.3,499.3,499.05,499.05,917
1786075680,499.3,499.55,499.0,499.55,1450
1786075740,499.2,499.55,499.2,499.2,143
1786075800,499.2,500.5,499.1,500.5,696
1786075860,500.0,500.0,499.5,499.95,411
1786075920,500.05,500.05,499.6,499.6,310
1786075980,499.65,499.65,499.6,499.6,219
1786076040,499.5,499.5,498.9,499.0,11091
1786076100,500.85,502.9,500.85,502.7,12838
1786076160,504.25,506.45,503.75,506.45,33637
1786076220,506.55,507.9,506.15,506.55,9615
1786076280,504.9,506.45,504.55,505.15,10766
1786076340,503.6,504.05,501.6,501.6,9435
1786076400,502.0,502.15,501.25,502.15,3072
1786076460,501.55,502.15,501.05,501.05,17300
1786076520,501.8,501.8,501.3,501.5,1129
1786076580,501.5,501.5,500.5,500.85,2921
1786076640,500.85,501.2,500.85,501.2,267
1786076700,501.0,501.2,501.0,501.2,533
1786076760,501.2,501.8,501.05,501.4,2238
1786076820,500.25,500.55,500.25,500.55,5655
1786076880,500.55,501.2,500.55,501.05,1536
1786076940,501.15,501.3,500.65,501.25,2736
