time,open,high,low,close,volume
1786074300,860.95,863.85,854.0,861.4,95601
1786074360,861.4,863.4,860.9,862.4,11316
1786074420,862.4,862.4,860.4,860.8,988
1786074480,860.5,861.4,860.5,861.3,2646
1786074540,861.25,861.65,861.15,861.5,2620
1786074600,861.85,862.0,861.4,861.4,3177
1786074660,861.65,861.75,861.35,861.35,1528
1786074720,861.3,861.3,859.5,860.05,3313
1786074780,858.7,860.0,858.35,860.0,6701
1786074840,859.7,859.7,858.5,858.5,2119
1786074900,858.5,858.8,858.5,858.7,1844
1786074960,858.8,859.0,858.55,858.95,1055
1786075020,858.9,859.0,858.45,859.0,5304
1786075080,859.65,860.2,859.65,860.0,3320
1786075140,859.9,859.9,859.7,859.8,2136
1786075200,859.8,859.8,859.35,859.35,1426
1786075260,859.3,859.3,858.75,859.2,4081
1786075320,859.1,859.3,858.75,859.0,8704
1786075380,858.95,859.3,858.9,859.2,1245
1786075440,859.45,859.45,859.1,859.25,258
1786075500,859.25,860.25,859.1,860.25,3119
1786075560,860.15,860.15,859.4,859.75,1003
1786075620,859.5,860.15,858.65,859.85,21388
1786075680,859.85,860.9,859.7,860.8,5913
1786075740,860.75,860.8,860.25,860.25,15614
1786075800,860.0,861.3,860.0,861.3,11138
1786075860,861.3,861.55,861.05,861.05,8433
1786075920,861.3,861.35,861.0,861.3,988
1786075980,861.3,861.45,861.05,861.45,1887
1786076040,861.45,861.55,861.4,861.55,2517
1786076100,861.65,861.65,861.55,861.55,533
1786076160,861.65,861.65,861.05,861.35,1189
1786076220,861.35,861.35,860.95,861.1,2030
1786076280,861.1,861.35,861.1,861.3,1136
1786076340,861.45,861.45,861.35,861.4,233
1786076400,861.45,861.55,861.4,861.55,1868
1786076460,861.55,861.55,861.5,861.5,611
1786076520,862.1,862.1,861.5,861.55,15048
1786076580,861.55,862.5,861.5,862.2,5756
1786076640,862.5,862.85,862.5,862.85,1798
1786076700,862.5,862.5,862.05,862.25,1186
1786076760,862.0,862.1,861.4,861.85,512
1786076820,861.7,863.95,861.7,863.15,8172
1786076880,863.35,863.35,863.15,863.15,802
1786076940,863.15,863.3,863.0,863.0,3441
1786077000,863.0,863.0,862.1,862.1,882
1786077060,862.35,862.75,862.25,862.25,4460
1786077120,862.35,862.35,861.5,861.8,1544
1786077180,861.5,861.8,861.5,861.7,359
1786077240,861.5,861.7,861.5,861.5,781
1786077300,861.6,861.8,861.5,861.8,1917
1786077360,861.9,861.95,861.9,861.9,1719
1786077420,861.8,861.9,861.6,861.7,1393
1786077480,861.65,861.7,861.4,861.5,733
1786077540,861.3,861.35,861.05,861.3,1058
1786077600,861.3,861.35,861.05,861.1,617
1786077660,861.3,861.35,861.1,861.3,1631
1786077720,861.3,861.3,861.1,861.3,568
1786077780,861.3,861.3,860.75,860.95,1472
1786077840,860.95,860.95,860.9,860.95,1987
1786077900,860.9,861.3,860.35,861.1,2156
1786077960,861.3,861.35,861.15,861.35,766
1786078020,861.15,861.35,861.15,861.35,571
1786078080,861.1,861.25,860.75,860.75,1825
1786078140,861.05,861.05,860.55,860.85,2221
1786078200,860.95,861.35,860.95,861.1,959
1786078260,861.35,861.85,861.1,861.85,616
1786078320,861.85,861.85,861.3,861.65,1601
1786078380,861.65,861.65,861.3,861.65,1843
1786078440,862.05,862.05,861.7,861.95,2426
1786078500,861.6,861.9,861.35,861.9,8009
1786078560,862.0,862.0,861.6,861.6,1661
1786078620,862.0,862.0,861.4,861.5,2391
1786078680,861.45,861.6,861.3,861.3,4972
1786078740,861.5,861.9,861.5,861.85,9337
1786078800,861.85,861.85,861.3,861.4,2319
1786078860,861.0,861.05,859.8,860.1,1491
1786078920,860.0,860.0,858.7,858.75,1171
1786078980,858.75,858.8,858.55,858.75,967
1786079040,858.8,859.35,858.75,859.3,2215
1786079100,859.3,859.3,858.85,858.85,822
1786079160,859.1,859.1,858.3,858.3,4364
1786079220,858.15,858.15,857.3,857.6,2572
1786079280,857.6,857.6,857.25,857.5,945
1786079340,857.55,857.55,857.5,857.55,845
1786079400,857.7,857.7,857.0,857.05,2037
1786079460,857.0,857.0,856.4,856.55,1958
1786079520,856.5,856.6,856.4,856.6,2525
1786079580,856.65,856.95,856.2,856.95,1869
1786079640,856.85,856.9,856.4,856.6,597
1786079700,856.65,858.0,856.6,857.95,5120
1786079760,857.9,857.9,857.55,857.6,388
1786079820,857.6,857.6,857.55,857.55,581
1786079880,857.6,857.6,857.25,857.25,1483
