time,open,high,low,close,volume
1786074300,2530.1,2542.7,2522.1,2538.7,61179
1786074360,2540.4,2544.9,2536.2,2539.9,36166
1786074420,2539.7,2544.2,2536.5,2542.0,30285
1786074480,2543.4,2551.9,2542.0,2551.9,39996
1786074540,2552.0,2558.0,2546.3,2547.7,29744
1786074600,2547.9,2552.7,2547.0,2549.6,12096
1786074660,2548.0,2549.0,2546.0,2546.0,7254
1786074720,2546.3,2546.4,2540.0,2541.3,11275
1786074780,2542.3,2543.0,2538.0,2538.0,5074
1786074840,2538.0,2539.9,2535.1,2537.0,9995
1786074900,2537.9,2537.9,2532.1,2533.7,9327
1786074960,2532.5,2533.3,2526.2,2526.2,10811
1786075020,2526.0,2526.0,2516.9,2520.0,18609
1786075080,2519.0,2519.1,2510.6,2510.6,16491
1786075140,2510.6,2524.3,2510.0,2516.2,20332
1786075200,2517.9,2520.8,2516.2,2520.0,6582
1786075260,2520.3,2521.4,2517.8,2519.0,3321
1786075320,2518.6,2521.9,2518.1,2520.8,3431
1786075380,2522.0,2522.0,2518.4,2518.4,3618
1786075440,2519.4,2519.4,2516.6,2517.3,2002
1786075500,2518.0,2518.0,2516.0,2517.6,2276
1786075560,2517.6,2517.6,2516.0,2516.5,2256
1786075620,2516.5,2517.5,2516.0,2516.0,1991
1786075680,2514.2,2517.0,2512.1,2516.1,6307
1786075740,2517.1,2517.5,2512.4,2513.9,3115
1786075800,2513.0,2517.4,2512.3,2515.3,4596
1786075860,2517.5,2517.5,2513.6,2514.0,4074
1786075920,2514.9,2517.2,2514.9,2516.0,1406
1786075980,2516.0,2518.5,2514.2,2518.5,3894
1786076040,2518.0,2519.2,2517.6,2519.1,1284
1786076100,2519.6,2521.9,2518.2,2520.0,5363
1786076160,2520.7,2520.9,2517.0,2517.8,2400
1786076220,2517.0,2517.0,2513.0,2513.0,2811
1786076280,2513.0,2513.0,2510.5,2511.1,3064
1786076340,2511.1,2514.6,2510.3,2513.6,2131
1786076400,2513.0,2515.8,2512.8,2515.7,2019
1786076460,2516.4,2519.0,2514.0,2518.4,2108
1786076520,2518.0,2518.0,2512.9,2513.8,1372
1786076580,2512.8,2514.6,2512.7,2513.3,946
1786076640,2514.8,2515.9,2512.0,2513.5,1862
1786076700,2513.7,2516.0,2512.4,2516.0,2164
1786076760,2514.9,2514.9,2513.4,2513.7,1750
1786076820,2513.7,2514.0,2512.2,2512.2,1300
1786076880,2512.7,2515.1,2512.0,2512.0,1649
1786076940,2512.8,2512.8,2510.3,2511.6,2336
1786077000,2511.0,2512.1,2510.1,2510.6,1208
1786077060,2511.0,2513.8,2511.0,2512.4,2837
1786077120,2512.0,2512.9,2511.0,2512.7,1605
1786077180,2511.4,2513.0,2511.1,2511.1,719
1786077240,2512.0,2512.0,2510.1,2510.9,3112
1786077300,2511.1,2512.7,2511.0,2512.0,1294
