time,open,high,low,close,volume
1786074300,2633.2,2657.0,2621.0,2645.1,40481
1786074360,2646.7,2661.8,2645.7,2660.0,21769
1786074420,2660.0,2664.9,2658.0,2660.6,11861
1786074480,2659.9,2670.4,2656.9,2668.8,27601
1786074540,2668.7,2679.6,2668.0,2670.1,42137
1786074600,2670.1,2678.3,2670.0,2674.9,22348
1786074660,2677.6,2678.0,2669.7,2677.5,20373
1786074720,2676.4,2677.0,2672.6,2675.2,10257
1786074780,2675.2,2676.3,2667.0,2667.0,21281
1786074840,2669.6,2676.0,2666.9,2674.2,31127
1786074900,2675.6,2681.9,2673.6,2675.7,50889
1786074960,2674.8,2676.9,2671.0,2671.5,8202
1786075020,2673.7,2679.9,2670.7,2679.0,20899
1786075080,2679.1,2684.5,2678.0,2679.2,23805
1786075140,2679.4,2684.5,2677.0,2682.7,15601
1786075200,2682.9,2682.9,2671.0,2674.4,20229
1786075260,2674.4,2681.7,2674.4,2679.0,16246
1786075320,2679.0,2679.8,2670.5,2676.4,16924
1786075380,2676.4,2677.1,2673.8,2674.6,7047
1786075440,2674.5,2676.2,2671.8,2676.0,9256
1786075500,2675.6,2675.6,2670.9,2671.3,6249
1786075560,2671.3,2671.3,2665.0,2665.0,15159
1786075620,2665.0,2665.6,2660.0,2661.1,26499
1786075680,2661.3,2661.7,2659.0,2661.7,9735
1786075740,2660.5,2661.0,2655.4,2655.4,6540
1786075800,2654.6,2660.2,2654.6,2658.2,9990
1786075860,2657.9,2659.4,2656.6,2657.8,4191
1786075920,2657.8,2659.5,2656.0,2659.3,3718
1786075980,2659.3,2662.7,2657.8,2662.0,4514
1786076040,2661.8,2661.8,2657.9,2658.5,3526
1786076100,2658.4,2661.9,2657.0,2661.7,4050
1786076160,2661.6,2661.6,2654.6,2656.2,9601
1786076220,2655.4,2656.0,2653.5,2654.3,2900
1786076280,2654.9,2655.2,2654.0,2654.8,3771
1786076340,2654.0,2656.6,2652.0,2653.0,5713
1786076400,2651.9,2652.5,2648.1,2652.5,8174
1786076460,2653.1,2660.0,2653.1,2660.0,2918
1786076520,2660.0,2662.4,2659.3,2661.9,9839
1786076580,2661.8,2663.0,2661.7,2663.0,2163
1786076640,2662.8,2663.7,2662.1,2662.1,2410
1786076700,2662.7,2666.0,2662.0,2666.0,5256
1786076760,2666.4,2667.0,2664.5,2665.4,3271
1786076820,2666.0,2666.1,2665.4,2666.0,2431
1786076880,2665.9,2666.0,2664.6,2665.0,2122
1786076940,2665.4,2668.7,2664.6,2667.0,9562
1786077000,2662.4,2664.9,2661.4,2664.0,8491
