time,open,high,low,close,volume
1786074300,281.95,283.55,281.2,283.2,34808
1786074360,283.35,284.4,282.0,282.45,14242
1786074420,282.15,282.5,282.15,282.2,1231
1786074480,282.5,282.5,281.5,281.95,6089
1786074540,282.45,282.6,282.15,282.15,1628
1786074600,282.0,282.5,282.0,282.5,807
1786074660,282.35,282.6,282.25,282.6,2443
1786074720,282.6,283.15,282.6,282.8,6779
1786074780,282.55,282.95,282.55,282.95,3473
1786074840,282.8,283.0,282.55,282.55,2503
1786074900,282.45,282.65,282.4,282.4,1465
1786074960,282.4,282.75,282.2,282.5,5329
1786075020,282.2,282.45,282.0,282.0,2540
1786075080,282.0,282.0,282.0,282.0,744
1786075140,282.0,282.1,282.0,282.1,230
1786075200,282.15,282.35,282.15,282.3,145
1786075260,282.3,282.35,282.0,282.35,2012
1786075320,282.3,282.35,282.3,282.3,18
1786075380,282.4,282.4,282.0,282.0,853
1786075440,282.0,282.2,282.0,282.2,261
1786075500,282.05,282.45,282.05,282.45,1129
1786075560,282.05,282.3,282.05,282.3,80
1786075620,282.3,282.3,282.0,282.15,997
1786075680,281.9,282.2,281.9,282.15,281
1786075740,282.2,282.2,281.85,282.1,2045
1786075800,282.1,282.25,282.1,282.25,146
1786075860,282.2,282.7,282.15,282.7,3859
1786075920,282.55,282.7,282.05,282.05,6335
1786075980,282.5,282.5,282.4,282.4,374
1786076040,282.35,283.15,282.35,283.15,3165
1786076100,283.25,284.2,283.05,283.6,12552
1786076160,283.8,283.8,283.25,283.25,3707
1786076220,283.4,283.4,282.95,283.0,962
1786076280,282.8,283.05,282.8,283.0,481
1786076340,282.85,283.4,282.85,283.4,1693
1786076400,283.5,284.2,283.5,283.75,3361
1786076460,283.75,284.4,283.75,284.0,4065
1786076520,284.0,284.05,283.75,283.95,3455
1786076580,284.0,284.0,283.4,283.7,1644
1786076640,283.7,283.8,283.55,283.55,1741
1786076700,283.8,283.8,283.75,283.8,2560
1786076760,283.5,283.5,283.45,283.5,326
1786076820,282.75,282.85,282.75,282.85,10492
1786076880,282.6,282.7,282.5,282.7,1452
1786076940,282.75,282.8,282.65,282.65,260
1786077000,282.95,283.0,282.65,282.65,3349
1786077060,282.6,282.75,282.25,282.75,3575
1786077120,282.45,283.2,282.45,283.0,8254
1786077180,283.0,283.7,283.0,283.7,3182
1786077240,283.75,283.75,283.5,283.6,493
1786077300,283.45,283.6,283.45,283.6,340
1786077360,283.35,283.65,282.85,283.0,6439
1786077420,282.8,282.85,282.7,282.7,313
1786077480,282.6,282.7,282.1,282.55,4767
1786077600,282.45,282.45,282.3,282.3,202
1786077660,282.55,282.6,282.55,282.6,225
1786077720,282.2,282.45,282.2,282.2,468
1786077780,282.15,282.3,282.0,282.0,388
1786077840,282.25,282.25,282.1,282.15,278
1786077900,282.45,282.45,282.45,282.45,176
1786077960,282.25,282.25,282.1,282.1,725
1786078020,282.45,282.45,282.15,282.15,21
1786078080,282.4,282.4,281.7,281.7,3895
1786078140,282.0,282.0,281.95,281.95,314
1786078200,281.8,281.8,281.8,281.8,2
1786078260,281.7,282.0,281.7,281.95,482
1786078320,282.0,282.3,282.0,282.2,1414
1786078380,282.2,282.2,282.2,282.2,73
1786078440,282.2,282.2,282.2,282.2,100
1786078500,282.0,282.0,281.85,281.85,233
1786078560,282.0,282.0,281.85,281.85,1002
1786078620,282.0,282.0,281.8,281.8,368
1786078680,281.95,281.95,281.9,281.9,35
1786078740,281.85,281.85,281.85,281.85,105
1786078800,282.0,282.0,281.85,282.0,995
1786078860,282.05,282.3,282.05,282.15,321
1786078920,282.15,282.15,282.15,282.15,1040
1786078980,282.15,282.4,282.15,282.4,106
1786079040,282.4,282.4,282.4,282.4,88
1786079100,282.2,282.45,282.2,282.45,510
1786079160,282.5,282.5,282.2,282.2,1037
1786079220,282.25,282.5,282.25,282.5,1450
1786079280,282.15,282.15,282.15,282.15,250
1786079340,282.5,282.5,282.3,282.3,248
1786079400,282.5,282.5,282.5,282.5,2
1786079460,282.3,282.3,282.25,282.25,1014
1786079520,282.45,282.5,282.2,282.5,1362
1786079580,282.5,282.5,282.3,282.5,72
1786079640,282.35,282.35,282.35,282.35,27
1786079700,282.35,282.35,282.35,282.35,142
1786079760,282.35,282.35,282.35,282.35,40
1786079820,282.1,282.15,282.1,282.15,7028
1786079880,282.25,282.25,282.25,282.25,296
1786079940,282.25,282.4,282.25,282.35,209
1786080000,282.45,282.5,282.15,282.15,665
1786080060,282.25,282.25,282.1,282.1,302
1786080120,282.2,282.2,282.05,282.05,153
1786080180,282.05,282.05,281.85,282.0,614
1786080240,282.05,282.05,282.05,282.05,100
1786080300,282.2,282.2,282.2,282.2,200
1786080360,282.25,282.25,282.25,282.25,1
1786080420,282.5,282.5,282.05,282.25,548
1786080480,282.0,282.0,281.9,281.9,490
1786080540,282.2,282.2,281.85,281.85,903
1786080600,281.75,281.85,281.75,281.85,1110
1786080660,281.9,281.9,281.75,281.85,56
1786080720,281.7,281.75,281.7,281.75,535
1786080780,281.4,281.65,281.4,281.65,684
1786080840,281.25,281.35,281.25,281.35,580
1786080900,281.3,281.4,281.3,281.3,1920
1786080960,281.65,281.65,281.6,281.6,1403
1786081020,281.7,281.7,281.7,281.7,439
1786081080,281.95,281.95,281.8,281.8,328
1786081140,281.85,281.85,281.7,281.7,21
1786081200,281.85,281.85,281.85,281.85,500
1786081260,281.85,281.9,281.85,281.85,308
1786081320,281.9,281.95,281.85,281.85,563
1786081380,282.0,282.05,282.0,282.05,507
1786081440,281.85,281.9,281.85,281.9,260
1786081500,282.35,282.35,282.35,282.35,5020
1786081560,282.05,282.05,282.0,282.0,148
1786081620,281.85,281.85,281.8,281.85,86
1786081680,281.85,281.95,281.85,281.95,132
1786081740,281.8,281.8,281.8,281.8,21
1786081800,281.8,281.8,281.8,281.8,6
1786081860,281.85,281.85,281.85,281.85,65
1786081920,281.9,282.05,281.9,282.0,117
1786081980,282.0,282.0,282.0,282.0,413
1786082040,281.9,281.9,281.9,281.9,319
1786082100,281.85,281.9,281.8,281.9,613
1786082160,281.95,281.95,281.95,281.95,14
1786082220,281.85,282.1,281.85,282.1,320
1786082280,282.05,282.05,281.85,281.85,43
1786082340,281.85,282.1,281.85,281.9,157
1786082400,282.15,282.15,281.9,281.9,145
1786082460,281.9,281.9,281.9,281.9,199
1786082520,281.85,281.85,281.85,281.85,100
1786082580,282.15,282.15,281.8,282.1,1068
1786082640,281.7,282.05,281.7,282.05,1710
1786082700,282.05,282.05,282.05,282.05,3
1786082820,282.05,282.05,282.0,282.0,171
1786082880,281.75,282.0,281.75,282.0,175
1786082940,281.75,281.75,281.75,281.75,1068
1786083000,282.1,282.1,282.1,282.1,100
1786083120,282.1,282.25,282.1,282.2,156
1786083180,281.95,281.95,281.95,281.95,75
1786083240,282.2,282.2,282.0,282.0,72
1786083420,282.15,282.15,281.95,281.95,113
1786083480,281.7,281.95,281.7,281.95,26
1786083540,281.75,281.75,281.7,281.75,784
1786083600,281.7,281.8,281.7,281.8,491
1786083660,281.8,281.8,281.8,281.8,35
1786083720,281.55,281.9,281.55,281.85,7880
1786083780,281.6,281.6,281.35,281.35,1500
1786083840,281.6,281.6,281.6,281.6,50
1786083900,281.6,281.6,281.6,281.6,2
1786083960,281.6,281.6,281.6,281.6,30
1786084020,281.6,281.6,281.6,281.6,25
1786084080,281.6,281.6,281.6,281.6,410
1786084140,281.6,281.7,281.6,281.7,128
1786084200,281.85,281.85,281.6,281.8,657
1786084380,281.8,281.8,281.8,281.8,1
1786084440,281.8,281.8,281.75,281.75,112
1786084500,281.95,281.95,281.65,281.65,1104
1786084620,281.6,281.65,281.6,281.65,3576
1786084680,281.65,281.8,281.65,281.8,302
1786084740,281.55,281.8,281.55,281.8,677
1786084800,281.8,281.8,281.55,281.8,79
1786084920,281.7,281.75,281.7,281.75,144
1786084980,281.75,281.8,281.65,281.65,75
1786085040,281.55,281.55,281.5,281.5,360
1786085100,281.6,281.65,281.35,281.65,295
1786085160,281.6,281.6,281.3,281.3,51
1786085220,281.55,281.55,281.2,281.2,495
1786085280,281.5,281.5,281.5,281.5,325
1786085340,281.25,281.5,281.25,281.5,922
1786085400,281.3,281.65,281.3,281.45,1118
1786085520,281.65,281.65,281.65,281.65,1
1786085580,281.65,281.65,281.5,281.5,41
1786085640,281.65,281.7,281.55,281.55,920
1786085700,281.6,281.6,281.6,281.6,65
1786085760,281.7,281.7,281.5,281.5,89
1786085820,281.7,281.7,281.7,281.7,800
1786085880,281.7,281.7,281.5,281.5,173
1786085940,281.5,281.7,281.5,281.7,130
1786086000,281.7,281.7,281.7,281.7,1
1786086060,281.7,281.7,281.7,281.7,68
1786086120,281.7,281.7,281.5,281.5,119
1786086180,281.4,281.45,281.2,281.45,1703
1786086240,281.45,281.45,281.4,281.4,1001
1786086300,281.2,281.4,281.2,281.4,462
1786086360,281.2,281.2,281.2,281.2,3
1786086420,281.2,281.3,281.2,281.3,1537
1786086480,281.45,281.45,281.35,281.35,420
1786086540,281.3,281.3,281.25,281.25,142
1786086600,281.25,281.45,281.15,281.45,1531
1786086660,281.4,281.4,281.4,281.4,102
1786086720,281.4,281.4,281.25,281.25,4
1786086780,281.4,281.4,281.2,281.4,300
1786086840,281.05,281.35,281.05,281.35,588
1786086900,281.4,281.4,281.15,281.15,213
1786086960,281.1,281.15,280.85,281.1,6975
1786087020,281.0,281.15,281.0,281.15,11
1786087080,281.15,281.15,281.1,281.1,81
