time,open,high,low,close,volume
1786074300,155.77,161.4,155.77,161.4,3428191
1786074360,161.52,163.22,160.89,163.22,1574771
1786074420,163.0,163.8,162.25,162.26,1260267
1786074480,162.31,162.31,161.45,162.31,927491
1786074540,162.44,162.48,162.0,162.17,513626
1786074600,162.13,162.48,161.62,161.67,683918
1786074660,161.59,161.98,161.47,161.9,363869
1786074720,161.96,162.18,161.76,161.93,542179
1786074780,161.99,162.05,161.25,161.93,493805
1786074840,162.0,162.05,161.17,161.27,389776
1786074900,161.28,161.7,161.15,161.31,507588
1786074960,161.24,161.5,160.96,161.18,459472
1786075020,161.17,161.6,161.17,161.47,250761
1786075080,161.41,161.75,161.34,161.51,204407
1786075140,161.6,161.89,161.51,161.55,185087
1786075200,161.34,161.98,161.34,161.41,257255
1786075260,161.33,161.44,161.2,161.3,116594
1786075320,161.3,161.5,161.25,161.28,153660
1786075380,161.33,161.39,161.21,161.3,100457
1786075440,161.3,161.95,161.29,161.6,246885
1786075500,161.61,161.76,161.25,161.3,434261
1786075560,161.36,161.7,161.35,161.64,86290
1786075620,161.63,162.35,161.63,162.06,500668
1786075680,162.13,162.45,161.96,162.28,409701
1786075740,162.28,162.3,162.03,162.05,190263
1786075800,162.02,163.18,162.02,162.94,865490
1786075860,162.94,163.29,162.67,162.72,543535
1786075920,162.71,162.84,162.56,162.6,276203
1786075980,162.66,163.0,162.46,162.95,322272
1786076040,162.9,163.24,162.9,163.2,333678
1786076100,163.26,163.39,163.0,163.1,353041
1786076160,163.13,163.34,163.03,163.23,289767
1786076220,163.23,163.45,163.22,163.43,203350
1786076280,163.36,163.5,163.02,163.05,507739
1786076340,163.0,163.18,162.96,163.1,322564
1786076400,163.11,163.28,163.0,163.08,270675
1786076460,163.1,163.13,162.81,163.0,261633
1786076520,163.06,163.26,163.03,163.17,247171
1786076580,163.23,163.29,163.1,163.2,153598
1786076640,163.15,163.78,163.12,163.59,503371
1786076700,163.54,163.99,163.54,163.87,515076
1786076760,163.88,163.95,163.8,163.87,312937
1786076820,163.82,163.94,163.8,163.89,329911
1786076880,163.95,164.5,163.89,164.5,1461144
1786076940,164.49,164.6,164.2,164.28,604661
1786077000,164.31,164.46,164.3,164.4,250322
1786077060,164.4,164.5,164.13,164.2,308492
1786077120,164.2,164.33,164.06,164.3,256833
1786077180,164.32,164.4,164.28,164.3,244627
1786077240,164.35,164.39,164.05,164.1,207312
1786077300,164.12,164.39,164.12,164.39,212748
1786077360,164.35,164.39,164.25,164.3,138613
1786077420,164.24,164.35,164.2,164.21,226629
1786077480,164.24,164.35,164.17,164.17,200700
1786077540,164.16,164.35,164.1,164.3,224412
1786077600,164.35,164.4,164.26,164.32,278648
1786077660,164.33,164.4,164.26,164.3,94129
1786077720,164.32,164.69,164.3,164.41,570444
1786077780,164.37,164.85,164.32,164.75,545971
1786077840,164.84,164.84,164.5,164.5,305251
1786077900,164.51,164.54,164.26,164.3,311623
1786077960,164.3,164.41,164.24,164.32,185146
1786078020,164.31,164.45,164.3,164.4,226190
1786078080,164.38,164.54,164.21,164.3,321408
1786078140,164.3,164.4,164.25,164.33,110728
1786078200,164.36,164.46,164.35,164.44,103076
1786078260,164.42,164.49,164.21,164.4,224116
1786078320,164.35,164.4,164.25,164.34,155363
1786078380,164.34,164.7,164.33,164.7,268384
1786078440,164.69,165.25,164.69,165.17,1894851
1786078500,165.13,165.4,165.12,165.35,399873
1786078560,165.39,165.99,165.34,165.99,1031721
1786078620,165.99,166.35,165.83,165.95,1352349
1786078680,166.0,166.26,165.93,166.23,472135
1786078740,166.23,166.39,165.82,166.36,961241
1786078800,166.39,166.5,166.07,166.25,632287
1786078860,166.26,166.33,166.1,166.28,389900
1786078920,166.25,166.3,166.01,166.29,310354
1786078980,166.24,166.24,165.85,165.97,628970
1786079040,165.92,165.99,165.8,165.8,264844
1786079100,166.13,166.13,165.9,166.04,299303
1786079160,166.11,166.25,166.06,166.2,235821
1786079220,166.22,166.23,166.0,166.1,417506
1786079280,166.1,166.49,166.09,166.4,576820
1786079340,166.4,166.79,166.4,166.6,724551
1786079400,166.6,166.72,165.98,166.33,714904
1786079460,166.25,166.28,166.0,166.1,322014
1786079520,166.17,166.59,166.1,166.59,198061
1786079580,166.57,166.72,166.57,166.63,307064
