time,open,high,low,close,volume
1786074300,2900.0,2903.3,2870.5,2883.3,73730
1786074360,2883.5,2899.4,2883.5,2897.1,8966
1786074420,2897.2,2906.0,2896.0,2903.3,8145
1786074480,2903.0,2912.4,2903.0,2912.4,10602
1786074540,2912.0,2914.0,2907.5,2907.5,8818
1786074600,2908.2,2912.0,2905.6,2912.0,6999
1786074660,2912.0,2913.0,2909.0,2911.1,6634
1786074720,2908.9,2910.0,2906.0,2907.3,5461
1786074780,2906.5,2908.0,2905.3,2906.9,1961
1786074840,2903.7,2907.4,2903.7,2906.2,5321
1786074900,2906.7,2908.0,2903.7,2908.0,3001
1786074960,2908.5,2910.0,2907.5,2908.5,1123
1786075020,2908.4,2908.4,2904.7,2907.9,3972
1786075080,2907.3,2907.9,2901.7,2902.1,4854
1786075140,2900.1,2903.0,2897.1,2897.5,5114
1786075200,2897.5,2897.5,2892.9,2893.1,3719
1786075260,2892.6,2895.7,2892.6,2894.1,2481
1786075320,2894.0,2896.8,2894.0,2896.3,1225
1786075380,2897.0,2897.0,2893.0,2893.0,2705
1786075440,2893.1,2893.1,2891.2,2891.7,2619
1786075500,2893.0,2895.4,2892.0,2895.4,1403
1786075560,2894.2,2895.0,2894.2,2895.0,712
1786075620,2895.5,2895.5,2890.9,2892.0,3792
1786075680,2891.4,2893.4,2890.2,2893.3,1731
1786075740,2893.9,2894.7,2893.0,2894.1,1048
1786075800,2894.1,2895.0,2894.1,2894.8,1501
1786075860,2894.7,2894.7,2892.3,2892.3,3196
1786075920,2892.7,2894.1,2892.7,2894.0,2209
1786075980,2893.4,2894.0,2892.1,2893.9,2263
1786076040,2893.8,2893.8,2891.2,2891.2,243
1786076100,2891.8,2892.2,2891.2,2891.2,1024
1786076160,2891.2,2893.0,2891.2,2892.8,627
1786076220,2891.8,2892.2,2888.6,2889.4,3043
1786076280,2889.2,2891.1,2888.3,2891.1,3803
1786076340,2891.6,2892.9,2890.5,2891.0,2199
1786076400,2891.4,2892.9,2890.2,2892.0,1413
1786076460,2893.8,2897.9,2893.0,2897.9,1798
1786076520,2897.5,2897.9,2896.1,2897.4,1467
1786076580,2896.9,2900.0,2896.9,2899.0,1646
1786076640,2898.9,2905.1,2898.9,2904.2,5377
1786076700,2904.6,2905.1,2901.4,2903.3,2553
1786076760,2902.9,2903.9,2901.4,2901.9,2052
1786076820,2901.4,2902.6,2898.1,2898.8,2923
1786076880,2899.3,2901.1,2898.5,2900.4,4280
1786076940,2899.5,2900.1,2898.8,2898.8,1407
1786077000,2899.9,2899.9,2899.1,2899.4,523
1786077060,2900.4,2901.0,2899.7,2901.0,2229
1786077120,2901.7,2902.4,2900.3,2902.4,947
1786077180,2902.4,2902.4,2901.4,2901.4,561
1786077240,2902.2,2902.2,2900.5,2900.5,1124
1786077300,2900.5,2902.0,2900.5,2900.6,972
1786077360,2900.6,2902.1,2900.5,2901.7,2070
1786077420,2901.5,2901.5,2900.9,2900.9,305
1786077480,2903.0,2906.0,2903.0,2905.7,5180
1786077540,2904.9,2905.7,2903.4,2904.1,226
1786077600,2904.2,2911.5,2904.2,2909.3,11208
1786077660,2909.4,2913.5,2908.1,2910.2,10787
1786077720,2910.0,2912.8,2910.0,2910.9,3659
1786077780,2910.6,2910.6,2906.7,2907.9,5317
1786077840,2907.9,2908.7,2906.8,2908.5,3298
1786077900,2908.8,2908.8,2907.5,2907.8,1648
1786077960,2907.5,2909.0,2906.6,2908.0,801
1786078020,2908.0,2909.8,2907.3,2909.5,1118
1786078080,2909.5,2909.5,2906.8,2906.8,1572
1786078140,2905.9,2909.5,2905.9,2907.7,1685
1786078200,2907.9,2910.8,2907.9,2908.0,3561
1786078260,2908.0,2909.5,2907.5,2909.1,1584
1786078320,2909.0,2910.6,2908.5,2910.6,1926
1786078380,2913.5,2913.5,2909.0,2909.1,3744
1786078440,2909.1,2910.1,2909.1,2909.7,1433
1786078500,2909.9,2910.0,2907.6,2908.0,1182
1786078560,2908.0,2910.1,2907.9,2908.8,1418
1786078620,2908.8,2909.1,2907.9,2908.7,217
1786078680,2907.3,2907.7,2907.0,2907.0,612
1786078740,2907.0,2907.4,2905.7,2906.4,1386
1786078800,2906.9,2906.9,2905.0,2905.0,735
1786078860,2905.2,2906.9,2904.4,2905.9,1746
1786078920,2905.7,2905.7,2904.8,2905.5,233
1786078980,2905.4,2906.7,2905.3,2906.4,1567
1786079040,2906.9,2908.0,2906.9,2908.0,962
1786079100,2908.1,2908.1,2906.9,2906.9,483
1786079160,2906.9,2906.9,2905.0,2905.0,297
1786079220,2904.5,2904.5,2900.0,2901.0,3345
1786079280,2900.3,2901.0,2900.0,2900.5,1070
1786079340,2902.6,2902.6,2901.0,2902.1,737
1786079400,2902.0,2902.0,2901.1,2901.3,920
1786079460,2901.9,2904.6,2901.6,2903.1,1416
1786079520,2903.7,2903.7,2892.3,2892.3,10017
1786079580,2893.7,2896.8,2892.4,2895.8,3340
