time,open,high,low,close,volume
1786074300,3413.9,3437.8,3402.1,3437.0,28139
1786074360,3438.9,3445.0,3431.0,3444.2,22305
1786074420,3445.2,3446.5,3436.5,3441.0,13319
1786074480,3438.4,3445.0,3436.1,3443.2,8703
1786074540,3443.4,3443.4,3434.0,3435.5,5770
1786074600,3435.9,3441.0,3435.3,3436.8,10664
1786074660,3436.7,3441.7,3434.7,3439.1,15995
1786074720,3439.1,3441.6,3437.4,3441.0,17159
1786074780,3439.7,3444.9,3438.1,3443.0,5839
1786074840,3443.8,3448.8,3442.2,3442.2,17648
1786074900,3443.5,3445.3,3441.4,3444.9,10003
1786074960,3445.1,3455.0,3444.6,3450.0,21949
1786075020,3449.0,3452.0,3449.0,3451.6,3052
1786075080,3450.4,3451.3,3446.9,3446.9,6412
1786075140,3445.4,3445.8,3439.8,3440.6,5402
1786075200,3440.9,3445.2,3439.8,3443.4,3988
1786075260,3444.3,3445.3,3443.3,3444.6,2639
1786075320,3444.6,3445.5,3444.0,3445.5,3247
1786075380,3446.1,3449.0,3445.7,3445.8,5393
1786075440,3446.0,3447.4,3443.8,3446.8,4259
1786075500,3446.7,3449.9,3445.0,3445.0,14250
1786075560,3445.0,3448.9,3443.7,3448.4,5408
1786075620,3447.5,3449.8,3445.6,3448.1,5130
1786075680,3448.0,3450.0,3446.5,3448.8,5942
1786075740,3452.0,3452.0,3447.7,3447.7,7242
1786075800,3448.4,3448.4,3447.0,3447.1,3790
1786075860,3449.1,3449.1,3447.2,3447.2,2849
1786075920,3447.3,3447.3,3444.1,3444.1,10696
1786075980,3445.8,3453.0,3445.0,3451.1,8352
1786076040,3452.3,3454.8,3451.1,3453.0,6747
1786076100,3453.2,3454.8,3451.0,3451.6,5348
1786076160,3451.6,3451.6,3447.5,3450.8,13001
1786076220,3450.0,3450.5,3448.0,3448.0,19395
1786076280,3449.2,3449.7,3448.0,3449.4,4983
1786076340,3449.7,3450.5,3448.7,3450.1,2292
1786076400,3450.9,3451.0,3449.0,3450.0,5156
1786076460,3449.9,3450.9,3447.0,3448.9,7731
1786076520,3450.0,3453.3,3449.1,3451.5,9761
1786076580,3452.5,3453.0,3450.6,3452.8,7441
1786076640,3452.8,3455.0,3451.2,3455.0,8760
1786076700,3455.9,3456.8,3454.1,3454.6,13327
1786076760,3455.3,3455.3,3453.5,3453.6,5434
1786076820,3453.5,3454.0,3450.0,3450.0,4230
1786076880,3450.2,3452.9,3449.2,3451.7,3937
1786076940,3451.7,3456.3,3451.1,3454.7,6783
1786077000,3454.7,3455.8,3453.5,3453.5,7346
1786077060,3454.2,3454.2,3451.2,3451.6,2829
1786077120,3451.6,3451.6,3449.5,3449.5,4876
1786077180,3448.8,3448.8,3442.6,3442.9,12770
1786077240,3442.1,3445.0,3441.5,3445.0,8853
1786077300,3445.0,3447.2,3445.0,3445.2,2573
1786077360,3445.7,3447.9,3445.0,3447.8,7063
1786077420,3448.3,3448.5,3446.8,3448.2,1988
1786077480,3447.9,3448.2,3445.3,3446.8,4060
1786077540,3447.7,3449.2,3446.7,3447.1,4480
1786077600,3447.7,3448.2,3445.2,3446.8,3780
1786077660,3448.0,3448.0,3446.0,3447.2,2094
1786077720,3447.3,3448.2,3445.5,3445.8,1091
1786077780,3446.8,3448.0,3445.7,3447.3,2473
1786077840,3447.3,3447.3,3445.6,3445.8,1361
1786077900,3445.6,3445.7,3440.0,3440.7,21197
1786077960,3441.3,3448.5,3441.3,3448.5,6262
1786078020,3448.4,3449.2,3444.6,3447.3,3470
1786078080,3447.6,3447.6,3441.0,3441.1,15517
1786078140,3441.3,3441.6,3440.0,3440.8,5966
1786078200,3441.6,3442.5,3441.1,3441.1,5104
1786078260,3441.2,3444.7,3441.2,3444.7,3011
1786078320,3443.1,3444.0,3443.1,3443.6,701
1786078380,3443.6,3443.6,3442.6,3442.9,1300
1786078440,3442.7,3443.2,3442.6,3443.2,2800
1786078500,3444.4,3449.9,3443.7,3449.9,11832
1786078560,3448.1,3448.2,3445.0,3446.8,3562
1786078620,3446.9,3446.9,3445.0,3445.4,1175
1786078680,3445.1,3446.5,3444.8,3446.0,3432
1786078740,3445.5,3445.5,3442.6,3443.0,4648
1786078800,3443.3,3447.9,3442.6,3447.9,6378
1786078860,3447.8,3447.8,3446.1,3446.7,2253
1786078920,3447.5,3447.8,3446.5,3447.0,1385
1786078980,3447.1,3447.1,3445.7,3445.8,1123
1786079040,3445.7,3446.0,3445.5,3445.7,2849
1786079100,3446.0,3446.0,3445.4,3445.4,846
1786079160,3445.2,3449.6,3445.2,3446.1,5689
1786079220,3446.6,3446.6,3445.2,3445.3,2458
1786079280,3445.4,3447.0,3445.2,3446.4,1295
1786079340,3446.7,3446.7,3445.9,3445.9,1176
1786079400,3446.0,3446.0,3444.4,3445.5,4195
1786079460,3445.2,3445.2,3443.9,3444.6,1425
1786079520,3444.0,3444.1,3439.8,3440.0,22607
1786079580,3440.1,3443.1,3440.1,3441.6,7576
1786079640,3441.7,3442.0,3439.8,3440.4,9356
1786079700,3440.2,3442.0,3440.1,3441.4,2100
