time,open,high,low,close,volume
1786074300,915.0,916.7,911.0,914.1,6285
1786074360,913.4,916.1,913.4,916.05,893
1786074420,916.05,917.6,916.0,917.15,713
1786074480,917.2,917.2,915.95,915.95,1302
1786074540,915.35,916.95,915.35,916.95,264
1786074600,916.65,916.65,915.0,915.6,1918
1786074660,916.5,917.0,916.05,916.15,444
1786074720,916.85,916.95,916.75,916.9,171
1786074780,916.3,917.0,916.0,916.4,1222
1786074840,916.25,917.0,916.25,916.4,863
1786074900,916.1,916.1,914.05,914.75,2396
1786074960,914.75,914.75,914.15,914.6,355
1786075020,914.55,914.55,913.4,913.6,882
1786075080,913.9,914.0,913.6,913.6,480
1786075140,913.55,913.9,913.45,913.55,115
1786075200,913.95,914.25,913.85,914.25,2158
1786075260,914.25,914.8,914.25,914.8,126
1786075320,914.8,914.8,914.15,914.6,316
1786075380,914.1,914.7,912.5,912.5,3294
1786075440,912.5,912.65,912.45,912.65,354
1786075500,912.65,913.05,912.65,913.05,759
1786075560,913.35,913.35,912.65,912.95,216
1786075620,912.95,913.2,912.65,912.95,184
1786075680,912.95,912.95,912.9,912.95,108
1786075740,912.5,912.85,912.45,912.85,154
1786075800,912.85,913.8,912.85,913.7,358
1786075860,913.6,913.6,912.0,912.9,1642
1786075920,913.0,913.85,913.0,913.85,1112
1786075980,913.8,913.8,912.2,912.2,1203
1786076040,912.7,912.7,912.0,912.35,199
1786076100,914.8,917.85,914.65,917.4,6652
1786076160,917.8,917.9,917.1,917.35,1906
1786076220,917.85,917.9,917.5,917.5,118
1786076280,917.65,917.95,917.3,917.95,2165
1786076340,917.75,917.85,917.4,917.75,135
1786076400,917.75,917.75,916.55,917.0,802
1786076460,916.75,917.05,915.95,917.05,1280
1786076520,917.1,917.2,916.85,916.85,352
1786076580,916.45,916.85,916.45,916.5,66
1786076640,916.85,917.2,916.55,917.2,196
1786076700,917.25,917.25,915.15,915.8,343
1786076760,915.55,915.55,913.4,913.4,1845
1786076820,913.6,914.4,913.6,914.4,668
1786076880,914.45,914.45,913.85,913.85,98
1786076940,913.85,913.85,913.4,913.8,87
1786077000,914.15,914.3,913.6,913.75,516
1786077060,913.9,914.4,913.9,914.4,31
1786077120,914.35,914.85,914.35,914.8,84
1786077180,914.8,914.8,914.15,914.45,363
1786077240,914.45,914.85,914.45,914.45,239
1786077300,914.85,914.9,914.7,914.7,62
1786077360,914.75,914.75,913.95,914.0,81
1786077420,914.65,914.85,914.3,914.3,105
1786077480,914.75,914.8,914.7,914.8,74
1786077540,914.6,915.0,914.6,914.75,442
