time,open,high,low,close,volume
1786074300,8530.0,8622.5,8506.0,8533.5,21051
1786074360,8531.5,8650.0,8531.5,8582.0,18818
1786074420,8581.5,8593.5,8562.5,8574.0,5645
1786074480,8570.5,8579.5,8546.5,8562.0,4420
1786074540,8561.5,8566.5,8548.0,8551.0,4378
1786074600,8550.5,8555.0,8520.5,8520.5,5513
1786074660,8520.0,8538.5,8520.0,8535.0,4167
1786074720,8534.5,8534.5,8521.0,8525.0,3771
1786074780,8530.5,8540.0,8522.0,8534.5,3332
1786074840,8534.0,8565.5,8534.0,8549.5,3566
1786074900,8550.0,8551.5,8535.5,8548.0,1884
1786074960,8543.5,8543.5,8535.0,8540.5,818
1786075020,8532.0,8545.0,8525.0,8545.0,1876
1786075080,8530.0,8544.5,8529.5,8541.5,959
1786075140,8535.0,8545.0,8531.0,8536.5,859
1786075200,8539.5,8540.0,8524.0,8529.0,2900
1786075260,8533.5,8540.0,8530.5,8535.5,485
1786075320,8535.0,8556.5,8535.0,8551.0,3227
1786075380,8544.5,8544.5,8521.5,8525.0,2504
1786075440,8529.5,8529.5,8508.5,8508.5,2016
1786075500,8509.5,8515.0,8509.5,8514.0,727
1786075560,8482.5,8504.5,8469.5,8488.0,19498
1786075620,8489.0,8489.0,8474.5,8483.5,3149
1786075680,8482.0,8486.0,8460.0,8460.0,3623
1786075740,8455.0,8460.5,8451.0,8457.0,4319
1786075800,8455.5,8466.0,8450.0,8461.5,2640
1786075860,8463.5,8463.5,8452.0,8456.0,1301
1786075920,8456.0,8477.5,8450.0,8474.0,4788
1786075980,8473.0,8489.0,8453.0,8480.0,3855
1786076040,8474.5,8481.5,8466.5,8477.5,1616
1786076100,8477.0,8484.5,8471.5,8481.5,1001
1786076160,8480.0,8480.0,8455.0,8461.5,2307
1786076220,8456.0,8459.0,8452.0,8459.0,1039
1786076280,8466.5,8470.5,8465.0,8465.0,936
1786076340,8462.5,8464.5,8439.0,8446.0,5035
1786076400,8452.0,8458.0,8443.5,8445.0,1110
1786076460,8443.5,8450.0,8438.0,8449.0,3204
1786076520,8450.0,8450.0,8430.0,8438.5,3288
1786076580,8437.0,8443.0,8435.0,8442.0,1315
1786076640,8441.5,8441.5,8431.0,8436.0,1809
1786076700,8424.0,8426.0,8380.0,8380.0,14464
1786076760,8380.0,8426.0,8375.0,8423.5,9466
1786076820,8422.0,8428.0,8376.5,8389.0,2885
1786076880,8389.5,8391.0,8384.5,8389.5,763
1786076940,8388.5,8391.5,8383.0,8391.5,1392
1786077000,8398.5,8403.5,8394.0,8394.0,3272
1786077060,8393.0,8399.5,8383.0,8397.0,1499
1786077120,8393.0,8398.5,8381.5,8394.5,2959
1786077180,8388.5,8396.0,8385.0,8385.0,1004
1786077240,8389.0,8389.0,8365.0,8370.0,7028
1786077300,8370.0,8370.5,8360.5,8370.0,2288
1786077360,8364.0,8373.0,8364.0,8373.0,1158
1786077420,8375.0,8376.0,8373.0,8375.0,2152
1786077480,8373.0,8399.5,8373.0,8395.0,3369
1786077540,8394.5,8395.0,8387.0,8392.0,1123
1786077600,8391.0,8395.0,8391.0,8393.0,575
1786077660,8393.0,8394.5,8386.0,8391.5,991
1786077720,8388.5,8390.0,8382.5,8383.0,653
1786077780,8383.5,8399.0,8383.5,8397.0,729
1786077840,8396.5,8398.5,8392.0,8398.0,796
1786077900,8393.5,8395.0,8385.0,8385.0,1156
1786077960,8384.5,8448.0,8384.5,8428.5,6002
1786078020,8429.5,8430.0,8414.0,8423.0,3891
1786078080,8419.0,8427.0,8411.5,8411.5,2638
1786078140,8410.5,8427.0,8409.5,8422.5,1382
1786078200,8425.0,8427.0,8416.0,8418.5,1207
1786078260,8419.5,8430.0,8419.5,8422.0,2585
1786078320,8422.0,8422.0,8411.0,8417.5,1409
1786078380,8411.0,8421.0,8411.0,8419.5,501
1786078440,8419.5,8420.5,8416.0,8420.5,510
1786078500,8417.0,8424.0,8416.0,8424.0,1110
1786078560,8427.0,8432.5,8427.0,8428.5,3773
1786078620,8425.0,8425.0,8420.0,8425.0,680
1786078680,8424.5,8426.0,8420.5,8425.0,679
1786078740,8424.5,8424.5,8418.0,8422.0,845
1786078800,8421.5,8422.0,8419.0,8420.0,299
1786078860,8421.0,8421.0,8402.5,8402.5,2161
1786078920,8408.5,8408.5,8398.5,8399.5,1241
1786078980,8398.5,8402.5,8392.5,8399.5,1253
1786079040,8399.5,8400.0,8390.0,8394.5,1258
1786079100,8394.5,8396.5,8390.0,8396.5,479
1786079160,8390.0,8397.0,8390.0,8392.0,603
1786079220,8393.0,8395.0,8387.0,8395.0,760
1786079280,8388.5,8395.5,8388.5,8389.0,388
1786079340,8389.5,8395.0,8388.0,8395.0,436
1786079400,8395.0,8398.0,8389.5,8398.0,372
1786079460,8392.0,8397.5,8387.0,8387.0,1574
1786079520,8388.5,8396.5,8387.5,8394.0,571
1786079580,8393.5,8402.0,8392.5,8399.5,8390
1786079640,8400.0,8400.0,8388.5,8388.5,830
1786079700,8388.5,8394.0,8387.0,8392.0,329
1786079760,8387.5,8396.0,8387.5,8391.5,429
1786079820,8391.0,8396.0,8389.0,8391.0,380
1786079880,8390.0,8397.0,8389.0,8396.5,289
1786079940,8392.0,8397.0,8388.5,8388.5,277
1786080000,8394.0,8396.0,8387.5,8394.5,432
1786080060,8390.0,8396.0,8385.0,8391.0,931
1786080120,8385.5,8392.5,8385.0,8392.5,575
1786080180,8387.0,8390.0,8383.5,8384.5,713
1786080240,8384.0,8400.0,8384.0,8399.5,1671
1786080300,8400.0,8400.0,8395.0,8400.0,1651
1786080360,8400.0,8419.5,8388.0,8415.0,6236
1786080420,8412.0,8414.5,8409.0,8409.0,1427
1786080480,8410.5,8446.0,8410.0,8446.0,2793
1786080540,8448.5,8459.5,8434.5,8450.0,4761
1786080600,8452.0,8458.0,8443.0,8455.0,2041
1786080660,8455.0,8457.5,8407.0,8417.0,3498
1786080720,8415.0,8420.0,8410.0,8416.5,3232
1786080780,8414.0,8417.5,8414.0,8415.0,763
1786080840,8414.5,8417.0,8410.0,8412.0,2553
1786080900,8412.0,8417.0,8410.0,8410.5,1205
1786080960,8414.5,8419.0,8410.0,8414.0,539
1786081020,8416.5,8418.5,8400.0,8405.5,2767
1786081080,8407.5,8415.0,8390.0,8400.0,4126
1786081140,8400.0,8400.0,8392.5,8392.5,989
1786081200,8388.5,8427.0,8388.5,8424.0,3977
1786081260,8418.5,8423.0,8405.0,8414.5,4457
1786081320,8415.0,8430.0,8415.0,8426.5,1231
1786081380,8427.0,8442.0,8426.5,8437.0,2011
1786081440,8441.5,8444.0,8415.0,8420.0,2627
1786081500,8421.0,8426.0,8415.0,8423.0,1929
1786081560,8414.0,8417.5,8408.0,8415.0,689
1786081620,8413.0,8423.0,8410.5,8411.5,518
1786081680,8411.0,8418.0,8410.0,8418.0,3936
1786081740,8418.0,8426.5,8410.0,8425.5,906
1786081800,8425.0,8425.0,8411.5,8418.0,668
1786081860,8417.0,8425.0,8415.5,8425.0,819
1786081920,8419.0,8425.0,8389.0,8389.0,3997
1786081980,8391.0,8401.5,8390.5,8396.0,1056
1786082040,8396.0,8404.5,8390.5,8395.5,2942
1786082100,8394.0,8407.0,8390.5,8390.5,1189
1786082160,8380.0,8380.0,8351.0,8362.5,5321
1786082220,8362.5,8370.0,8357.0,8365.0,1609
