time,open,high,low,close,volume
1786074300,29.79,29.79,29.57,29.69,26303
1786074360,29.69,29.69,29.62,29.63,5002
1786074420,29.63,29.64,29.56,29.57,18144
1786074480,29.6,29.6,29.52,29.57,113890
1786074540,29.57,29.61,29.57,29.6,62149
1786074600,29.6,29.63,29.54,29.54,38876
1786074660,29.59,29.61,29.59,29.61,1875
1786074720,29.64,29.67,29.61,29.61,25913
1786074780,29.67,29.69,29.64,29.68,5735
1786074840,29.67,29.67,29.62,29.65,6895
1786074900,29.65,29.65,29.6,29.6,6215
1786074960,29.6,29.64,29.6,29.64,1036
1786075020,29.6,29.64,29.59,29.64,5135
1786075080,29.65,29.65,29.63,29.65,10542
1786075140,29.61,29.61,29.61,29.61,297
1786075200,29.64,29.67,29.6,29.67,4510
1786075260,29.65,29.67,29.6,29.6,3955
1786075320,29.6,29.7,29.6,29.7,4173
1786075380,29.7,29.7,29.64,29.64,574
1786075440,29.64,29.64,29.64,29.64,2
1786075500,29.63,29.66,29.62,29.66,3063
1786075560,29.69,29.69,29.66,29.68,7042
1786075620,29.67,29.68,29.67,29.67,236
1786075680,29.65,29.7,29.65,29.65,14202
1786075740,29.66,29.7,29.66,29.66,453
1786075860,29.67,29.69,29.65,29.65,4306
1786075920,29.66,29.66,29.66,29.66,516
1786075980,29.66,29.66,29.66,29.66,824
1786076040,29.66,29.66,29.66,29.66,1221
1786076100,29.67,29.69,29.67,29.69,587
1786076160,29.69,29.69,29.66,29.68,1171
1786076220,29.68,29.68,29.64,29.64,3572
1786076280,29.68,29.68,29.63,29.64,2069
1786076340,29.64,29.64,29.63,29.63,159
1786076400,29.67,29.67,29.67,29.67,900
1786076460,29.67,29.67,29.67,29.67,35
1786076520,29.67,29.67,29.64,29.64,166
1786076580,29.68,29.68,29.63,29.64,1789
1786076640,29.64,29.67,29.63,29.67,1248
1786076700,29.67,29.68,29.67,29.68,431
1786076760,29.68,29.68,29.68,29.68,6000
1786076820,29.65,29.69,29.65,29.66,2758
1786076880,29.68,29.68,29.68,29.68,3
1786076940,29.68,29.74,29.68,29.74,10751
1786077000,29.7,29.74,29.7,29.74,1725
1786077060,29.74,29.74,29.72,29.74,5100
1786077120,29.69,29.69,29.69,29.69,14840
1786077180,29.69,29.7,29.67,29.67,8532
1786077240,29.67,29.7,29.67,29.69,36
1786077300,29.7,29.7,29.66,29.69,404
1786077360,29.67,29.69,29.66,29.66,2619
1786077420,29.69,29.69,29.67,29.69,150
1786077480,29.67,29.69,29.67,29.69,7
1786077540,29.69,29.69,29.69,29.69,199
1786077600,29.69,29.7,29.69,29.7,1167
1786077660,29.66,29.7,29.66,29.67,6152
1786077720,29.66,29.67,29.65,29.65,1839
1786077780,29.67,29.67,29.67,29.67,43
1786077840,29.67,29.67,29.63,29.63,417
1786077900,29.66,29.66,29.66,29.66,1143
1786077960,29.67,29.69,29.67,29.69,71
1786078020,29.67,29.67,29.67,29.67,191
1786078080,29.66,29.66,29.66,29.66,1088
1786078140,29.65,29.65,29.61,29.63,1481
1786078200,29.61,29.61,29.61,29.61,10573
1786078260,29.6,29.63,29.6,29.61,11262
1786078320,29.61,29.61,29.6,29.61,4130
1786078380,29.61,29.61,29.59,29.59,9019
1786078440,29.62,29.62,29.62,29.62,860
1786078500,29.6,29.6,29.6,29.6,1030
1786078560,29.61,29.61,29.6,29.61,470
1786078620,29.59,29.61,29.59,29.61,501
1786078680,29.6,29.61,29.6,29.61,510
1786078740,29.6,29.61,29.59,29.59,95
1786078800,29.57,29.61,29.57,29.61,577
1786078860,29.62,29.62,29.62,29.62,750
1786078920,29.61,29.62,29.59,29.61,314
1786078980,29.61,29.61,29.61,29.61,1027
1786079040,29.63,29.65,29.63,29.65,10006
1786079160,29.65,29.65,29.64,29.64,160
1786079220,29.64,29.64,29.64,29.64,506
1786079340,29.63,29.64,29.63,29.64,49
