time,open,high,low,close,volume
1786074300,77.45,77.56,77.21,77.55,170946
1786074360,77.6,77.68,77.59,77.65,52153
1786074420,77.65,77.69,77.59,77.59,87108
1786074480,77.5,77.55,77.47,77.54,80643
1786074540,77.5,77.54,77.44,77.44,68011
1786074600,77.43,77.44,77.32,77.35,112232
1786074660,77.39,77.45,77.38,77.45,40162
1786074720,77.45,77.49,77.4,77.42,73569
1786074780,77.4,77.42,77.34,77.34,71886
1786074840,77.3,77.35,77.17,77.17,279770
1786074900,77.24,77.29,77.2,77.29,56292
1786074960,77.28,77.3,77.28,77.29,13454
1786075020,77.23,77.26,77.18,77.21,70251
1786075080,77.21,77.22,77.19,77.19,32262
1786075140,77.15,77.17,77.07,77.1,163536
1786075200,77.13,77.17,77.13,77.16,7661
1786075260,77.14,77.15,77.07,77.07,21685
1786075320,77.05,77.15,77.05,77.15,34072
1786075380,77.13,77.13,77.09,77.11,22807
1786075440,77.12,77.12,77.09,77.1,16522
1786075500,77.11,77.13,77.09,77.13,16166
1786075560,77.13,77.15,77.11,77.12,22521
1786075620,77.15,77.15,77.12,77.12,9399
1786075680,77.11,77.16,77.09,77.16,63017
1786075740,77.15,77.17,77.13,77.15,29442
1786075800,77.14,77.15,77.14,77.14,12131
1786075860,77.14,77.15,77.12,77.14,19546
1786075920,77.14,77.19,77.13,77.16,39776
1786075980,77.17,77.22,77.17,77.2,15641
1786076040,77.22,77.22,77.19,77.2,11671
1786076100,77.22,77.29,77.22,77.25,26376
1786076160,77.23,77.25,77.23,77.24,14175
1786076220,77.2,77.22,77.19,77.19,32488
1786076280,77.16,77.16,77.16,77.16,17115
1786076340,77.16,77.16,77.11,77.11,27717
1786076400,77.14,77.16,77.11,77.16,11038
1786076460,77.16,77.2,77.16,77.2,12278
1786076520,77.2,77.22,77.18,77.19,9785
1786076580,77.15,77.21,77.15,77.16,14556
1786076640,77.18,77.18,77.11,77.11,30331
1786076700,77.16,77.21,77.15,77.21,16918
1786076760,77.22,77.22,77.17,77.19,13845
1786076820,77.19,77.19,77.14,77.14,17883
1786076880,77.13,77.14,77.1,77.14,4101
1786076940,77.14,77.14,77.11,77.11,40476
1786077000,77.11,77.11,77.07,77.07,30168
1786077060,77.07,77.11,77.07,77.08,13053
1786077120,77.08,77.11,77.06,77.08,28779
1786077180,77.08,77.11,77.06,77.11,34299
1786077240,77.1,77.12,77.1,77.1,17063
1786077300,77.08,77.1,77.07,77.08,16866
1786077360,77.1,77.1,77.08,77.1,23426
1786077420,77.08,77.14,77.08,77.14,16974
1786077480,77.15,77.15,77.13,77.13,9997
1786077540,77.13,77.13,77.1,77.11,8220
1786077600,77.13,77.13,77.1,77.12,8392
1786077660,77.12,77.12,77.08,77.12,18256
1786077720,77.1,77.1,77.05,77.06,76833
1786077780,77.02,77.07,77.02,77.03,44021
1786077840,77.03,77.09,77.03,77.09,25740
1786077900,77.09,77.09,77.03,77.05,3508
1786077960,77.06,77.08,77.04,77.07,6390
1786078020,77.03,77.07,77.03,77.07,11900
1786078080,77.07,77.07,77.03,77.04,89170
1786078140,77.02,77.04,77.01,77.04,78363
1786078200,77.04,77.04,77.02,77.02,12006
1786078260,77.02,77.14,77.0,77.09,54625
1786078320,77.1,77.1,77.07,77.1,3464
1786078380,77.08,77.12,77.08,77.11,9610
1786078440,77.1,77.12,77.1,77.1,4798
1786078500,77.1,77.11,77.07,77.09,6616
1786078560,77.09,77.09,77.06,77.08,5744
1786078620,77.06,77.06,77.02,77.02,11526
1786078680,77.03,77.03,77.0,77.02,23612
1786078740,77.03,77.07,77.02,77.06,18330
1786078800,77.06,77.06,77.04,77.04,5125
1786078860,77.04,77.06,77.02,77.06,6475
1786078920,77.05,77.06,77.02,77.05,3957
1786078980,77.05,77.05,77.04,77.05,4908
1786079040,77.05,77.05,77.03,77.05,9039
1786079100,77.05,77.05,77.04,77.05,10151
1786079160,77.05,77.06,77.02,77.06,10703
1786079220,77.03,77.06,77.03,77.03,5079
1786079280,77.03,77.09,77.01,77.09,10111
1786079340,77.09,77.12,77.09,77.11,8023
1786079400,77.07,77.14,77.07,77.14,1562
1786079460,77.11,77.13,77.09,77.12,3768
1786079520,77.12,77.12,77.1,77.11,6248
1786079580,77.09,77.15,77.08,77.14,36270
1786079640,77.13,77.13,77.07,77.09,17657
1786079700,77.07,77.09,77.07,77.07,8760
1786079760,77.09,77.09,77.07,77.08,3156
1786079820,77.08,77.14,77.08,77.14,5359
1786079880,77.14,77.15,77.11,77.13,26057
1786079940,77.15,77.15,77.13,77.14,8474
