time,open,high,low,close,volume
1786333500,392.65,404.2,352.9,356.5,64090
1786335300,357.4,369.0,355.0,367.1,38025
1786337100,365.85,401.2,365.85,399.75,64090
1786338900,399.2,408.5,391.25,405.6,17420
1786340700,404.3,410.5,394.0,396.2,31070
1786342500,394.0,406.5,389.65,405.0,29055
1786344300,403.45,414.0,401.75,402.0,30355
1786346100,401.0,404.25,389.05,389.35,23660
1786347900,389.35,406.4,388.3,404.9,33020
1786349700,404.25,406.45,393.0,393.0,7345
1786351500,391.0,394.25,377.7,381.15,18070
1786353300,379.6,387.85,370.55,385.0,33930
1786355100,385.0,387.5,379.0,379.15,32240
1786419900,351.55,381.6,296.5,302.75,234390
1786421700,302.75,306.5,292.1,297.75,151515
1786423500,297.0,302.9,292.75,296.25,55575
1786425300,296.4,298.0,279.4,285.45,108290
1786427100,285.45,289.65,279.4,286.6,114270
1786428900,286.5,289.95,276.65,282.2,123370
1786430700,282.5,286.95,279.0,286.8,64740
1786432500,286.0,292.65,280.65,286.3,125580
1786434300,286.0,294.9,282.7,289.05,86775
1786436100,289.3,291.5,280.05,287.75,84110
1786437900,287.6,289.45,278.0,281.65,126360
1786439700,282.7,297.4,282.7,288.95,218790
1786441500,289.85,290.25,279.35,279.4,186095
1786506300,289.95,294.0,248.0,258.2,813800
1786508100,258.2,258.2,221.65,222.35,831220
1786509900,222.5,236.6,220.1,225.1,403975
1786511700,225.7,225.7,196.6,199.0,776425
1786513500,199.0,205.0,189.4,194.75,485810
1786515300,194.1,195.0,185.2,186.9,259350
1786517100,186.65,196.0,186.65,190.35,207675
1786518900,190.35,190.9,185.25,189.95,205660
1786520700,190.15,195.9,187.05,188.7,362180
1786522500,188.7,189.5,181.0,183.25,260780
1786524300,183.1,213.0,183.1,209.05,491465
1786526100,209.3,246.7,206.45,230.0,973830
1786527900,230.55,234.0,225.8,232.95,322465
