time,open,high,low,close,volume
1786074300,86.0,86.0,85.1,85.59,482355
1786074360,85.59,85.59,85.12,85.12,267327
1786074420,85.16,85.31,85.15,85.23,136703
1786074480,85.25,85.5,85.2,85.5,50985
1786074540,85.5,85.54,85.33,85.33,107042
1786074600,85.38,85.41,85.15,85.21,64012
1786074660,85.23,85.23,85.17,85.23,85359
1786074720,85.23,85.23,85.17,85.21,76509
1786074780,85.21,85.22,85.08,85.1,149643
1786074840,85.13,85.18,85.13,85.16,41984
1786074900,85.16,85.2,85.12,85.2,43834
1786074960,85.21,85.26,85.21,85.23,32865
1786075020,85.18,85.22,85.16,85.17,30378
1786075080,85.17,85.18,85.11,85.12,38786
1786075140,85.15,85.25,85.11,85.25,25191
1786075200,85.17,85.2,85.15,85.2,21137
1786075260,85.2,85.21,85.17,85.2,32839
1786075320,85.2,85.28,85.17,85.2,48941
1786075380,85.2,85.2,85.05,85.05,106935
1786075440,85.08,85.08,85.01,85.07,44059
1786075500,85.06,85.08,85.04,85.08,15980
1786075560,85.08,85.09,85.02,85.09,69027
1786075620,85.08,85.12,85.08,85.12,7121
1786075680,85.1,85.1,85.07,85.09,18417
1786075740,85.12,85.12,85.08,85.08,12979
1786075800,85.06,85.12,85.06,85.11,20292
1786075860,85.11,85.12,85.08,85.12,22680
1786075920,85.11,85.19,85.08,85.16,35071
1786075980,85.11,85.17,85.07,85.07,37690
1786076040,84.95,85.03,84.94,85.03,393074
1786076100,85.07,85.1,85.05,85.05,9318
1786076160,85.06,85.1,85.05,85.06,22447
1786076220,85.07,85.09,85.05,85.09,9189
1786076280,85.06,85.08,85.05,85.07,26286
1786076340,85.09,85.09,85.05,85.09,9093
1786076400,85.06,85.1,85.06,85.1,4733
1786076460,85.1,85.25,85.08,85.25,37309
1786076520,85.26,85.26,85.2,85.2,46868
1786076580,85.13,85.15,85.1,85.1,18281
1786076640,85.15,85.17,85.1,85.1,17133
1786076700,85.13,85.17,85.13,85.17,4425
1786076760,85.16,85.17,85.08,85.08,32301
1786076820,85.08,85.1,85.05,85.06,34036
1786076880,85.05,85.08,85.05,85.08,45521
1786076940,85.05,85.12,85.05,85.12,15430
1786077000,85.12,85.12,85.07,85.1,14008
1786077060,85.06,85.1,85.05,85.07,11992
1786077120,85.09,85.09,85.0,85.0,30158
1786077180,84.95,85.05,84.95,85.01,173436
1786077240,85.01,85.04,84.97,85.0,6508
1786077300,84.97,85.0,84.97,84.97,17227
1786077360,84.97,85.03,84.97,85.03,5734
1786077420,85.0,85.03,84.99,85.0,9074
1786077480,85.0,85.04,85.0,85.04,4620
1786077540,85.04,85.07,85.03,85.06,9602
1786077600,85.06,85.06,85.01,85.04,13267
1786077660,85.02,85.07,85.02,85.05,21918
1786077720,85.06,85.07,85.0,85.0,26547
1786077780,85.01,85.01,84.96,84.99,38731
1786077840,84.97,85.06,84.97,85.01,7615
1786077900,85.0,85.06,85.0,85.03,15624
1786077960,85.06,85.07,85.03,85.07,1726
1786078020,85.07,85.07,85.02,85.04,6057
1786078080,85.03,85.03,84.97,84.97,82012
1786078140,84.91,84.96,84.9,84.92,61672
1786078200,84.94,85.02,84.94,84.97,10072
1786078260,85.0,85.07,85.0,85.05,18397
1786078320,85.02,85.05,84.96,85.0,27327
1786078380,85.0,85.0,84.93,84.93,21264
1786078440,84.96,84.99,84.96,84.99,12860
1786078500,85.03,85.03,84.98,84.99,11222
1786078560,85.0,85.04,84.99,85.0,11764
1786078620,85.03,85.04,85.0,85.01,12241
1786078680,85.03,85.03,84.98,84.99,6275
1786078740,84.99,85.04,84.99,85.02,8734
1786078800,85.02,85.11,85.02,85.11,22860
1786078860,85.09,85.11,85.09,85.1,4683
1786078920,85.1,85.11,85.06,85.06,24342
1786078980,85.11,85.15,85.09,85.1,45891
1786079040,85.11,85.23,85.11,85.23,21319
1786079100,85.17,85.21,85.17,85.18,13513
1786079160,85.16,85.2,85.16,85.18,5895
1786079220,85.18,85.2,85.18,85.18,33488
1786079280,85.2,85.21,85.16,85.21,7414
1786079340,85.22,85.26,85.21,85.25,27266
1786079400,85.23,85.23,85.15,85.2,26326
1786079460,85.16,85.18,85.12,85.14,19242
1786079520,85.14,85.15,85.1,85.15,8364
1786079580,85.15,85.17,85.11,85.16,2539
1786079640,85.17,85.19,85.13,85.15,17237
1786079700,85.14,85.17,85.12,85.17,6090
1786079760,85.13,85.16,85.12,85.16,4238
1786079820,85.12,85.16,85.12,85.15,3036
1786079880,85.13,85.16,85.13,85.16,7267
1786079940,85.16,85.19,85.1,85.1,57429
1786080000,85.08,85.15,85.08,85.11,13275
1786080060,85.11,85.13,85.05,85.09,14991
1786080120,85.1,85.1,85.06,85.07,7966
1786080180,85.06,85.11,85.06,85.06,9298
1786080240,85.06,85.1,85.06,85.07,3561
1786080300,85.07,85.1,85.07,85.1,9702
1786080360,85.1,85.13,85.1,85.13,7890
1786080420,85.13,85.16,85.12,85.12,24411
1786080480,85.11,85.15,85.1,85.1,8228
1786080540,85.07,85.07,85.01,85.07,26445
1786080600,85.08,85.08,85.0,85.0,131354
1786080660,85.04,85.05,85.01,85.01,5991
1786080720,85.01,85.02,84.98,85.01,5095
1786080780,85.01,85.05,84.95,84.96,28895
