time,open,high,low,close,volume
1786074300,346.45,346.45,344.15,345.65,81648
1786074360,345.75,346.15,345.55,346.15,40842
1786074420,346.2,346.2,345.85,346.0,20002
1786074480,345.7,346.0,345.7,345.9,16904
1786074540,346.1,346.4,346.0,346.05,11453
1786074600,346.45,346.45,346.3,346.45,19482
1786074660,346.35,346.8,346.35,346.6,65206
1786074720,346.5,346.6,346.4,346.45,26433
1786074780,346.55,346.75,346.5,346.5,47570
1786074840,346.5,346.55,346.2,346.2,26699
1786074900,346.35,346.6,346.2,346.6,13274
1786074960,346.6,347.0,346.6,346.75,52256
1786075020,346.7,346.75,346.55,346.65,24417
1786075080,346.6,346.6,346.4,346.6,20123
1786075140,346.5,346.65,346.45,346.65,5774
1786075200,346.75,346.8,346.7,346.75,13047
1786075260,346.7,346.8,346.6,346.65,14768
1786075320,346.65,346.75,346.65,346.7,11919
1786075380,346.7,346.7,345.55,345.85,177025
1786075440,345.45,345.45,345.15,345.35,20726
1786075500,345.3,345.6,345.15,345.6,17440
1786075560,345.45,345.6,345.45,345.6,6330
1786075620,345.6,345.6,345.45,345.6,6813
1786075680,345.65,345.85,345.55,345.85,22203
1786075740,345.85,345.85,345.6,345.6,5567
1786075800,345.6,345.8,345.6,345.8,5694
1786075860,345.8,345.8,345.6,345.75,5473
1786075920,345.6,345.75,345.6,345.6,4591
1786075980,345.75,345.85,345.6,345.85,7610
1786076040,345.7,345.85,345.65,345.85,6410
1786076100,345.65,345.8,345.6,345.75,4197
1786076160,345.6,345.7,345.6,345.65,6778
1786076220,345.6,345.6,345.4,345.45,15905
1786076280,345.4,345.45,345.25,345.25,5496
1786076340,345.4,345.4,345.2,345.25,4214
1786076400,345.35,345.35,345.15,345.2,8008
1786076460,345.35,345.45,345.35,345.45,6187
1786076520,345.55,345.55,345.3,345.3,10693
1786076580,345.5,345.5,345.3,345.5,4684
1786076640,345.35,345.5,345.3,345.35,4505
1786076700,345.35,345.45,345.3,345.45,5989
1786076760,345.45,345.5,345.3,345.3,6407
1786076820,345.35,345.35,345.25,345.35,5775
1786076880,345.2,345.35,345.2,345.35,4428
1786076940,345.2,345.35,345.2,345.35,7337
1786077000,345.35,345.35,345.15,345.2,17018
1786077060,345.25,345.25,345.15,345.15,5813
1786077120,345.1,345.25,345.05,345.25,4189
1786077180,345.2,345.2,345.05,345.05,5888
1786077240,345.2,345.2,344.9,345.0,20844
1786077300,344.9,345.0,344.85,344.9,9963
1786077360,344.9,345.0,344.8,345.0,9631
1786077420,345.0,345.0,345.0,345.0,1433
1786077480,345.0,345.0,345.0,345.0,12519
1786077540,344.95,345.0,344.8,344.85,4496
1786077600,344.85,345.0,344.8,345.0,2591
1786077660,345.0,345.0,344.85,345.0,2800
1786077720,345.0,345.0,344.85,344.85,2091
1786077780,344.85,345.0,344.85,345.0,9292
1786077840,345.0,345.05,344.95,345.0,5387
1786077900,345.15,345.15,344.95,345.0,5163
1786077960,345.0,345.0,344.8,345.0,1569
1786078020,345.0,345.0,344.8,344.8,1839
1786078080,344.95,344.95,344.65,344.65,9106
1786078140,344.7,344.7,344.55,344.7,7117
1786078200,344.7,344.7,344.45,344.5,9333
1786078260,344.5,344.55,344.4,344.4,5407
1786078320,344.5,344.5,344.4,344.5,3515
1786078380,344.4,344.5,344.3,344.3,17976
1786078440,344.3,344.45,344.3,344.3,3803
1786078500,344.4,344.4,344.3,344.4,3524
1786078560,344.4,344.45,344.3,344.35,4546
1786078620,344.5,344.5,344.3,344.5,5410
1786078680,344.5,344.5,344.45,344.5,2610
1786078740,344.45,344.45,344.3,344.4,3739
1786078800,344.4,344.4,344.35,344.35,510
1786078860,344.35,344.5,344.25,344.3,8259
1786078920,344.3,344.4,344.2,344.4,4436
1786078980,344.4,344.4,344.35,344.4,4541
1786079040,344.4,344.4,344.35,344.35,3081
1786079100,344.4,344.4,344.35,344.4,3730
1786079160,344.35,344.4,344.35,344.4,21512
1786079220,344.4,344.4,344.25,344.4,4318
1786079280,344.4,344.4,344.3,344.3,2504
1786079340,344.4,344.4,344.3,344.4,2011
1786079400,344.4,344.5,344.3,344.5,9570
1786079460,344.35,344.6,344.35,344.55,5003
1786079520,344.55,344.8,344.55,344.8,2684
1786079580,344.7,344.85,344.6,344.85,3121
1786079640,344.85,344.85,344.7,344.7,2858
1786079700,344.85,344.85,344.7,344.7,3058
1786079760,344.75,344.9,344.65,344.7,8967
1786079820,344.7,344.8,344.7,344.8,2787
1786079880,344.95,345.0,344.85,345.0,12117
1786079940,345.05,345.05,344.9,344.9,9205
1786080000,344.85,344.85,344.75,344.75,1906
1786080060,344.85,344.85,344.75,344.75,3102
1786080120,344.85,344.85,344.75,344.75,210
1786080180,344.85,344.85,344.8,344.85,845
1786080240,344.85,344.85,344.8,344.85,986
1786080300,344.85,344.85,344.65,344.8,2661
1786080360,344.8,345.2,344.7,345.0,70158
1786080420,345.0,345.65,345.0,345.25,209226
1786080480,345.25,345.35,345.05,345.1,7509
1786080540,345.25,345.25,345.1,345.2,7198
1786080600,345.2,345.5,345.05,345.5,17493
1786080660,345.5,345.5,345.05,345.25,11525
1786080720,345.25,345.25,345.0,345.0,11965
1786080780,345.3,345.3,345.1,345.15,15037
1786080840,345.25,345.35,345.1,345.3,12979
1786080900,345.3,345.3,345.0,345.2,6726
1786080960,345.2,345.3,345.1,345.2,14396
1786081020,345.2,345.2,345.0,345.2,7145
1786081080,345.2,345.2,345.0,345.0,6657
1786081140,345.15,345.2,344.95,345.2,23483
1786081200,345.2,345.25,345.05,345.2,8243
1786081260,345.2,345.2,345.0,345.05,18105
1786081320,345.05,345.05,345.0,345.0,7765
1786081380,345.05,345.05,345.0,345.0,8124
1786081440,345.05,345.05,344.85,344.9,96798
1786081500,344.9,344.9,344.65,344.65,12009
1786081560,344.75,344.75,344.6,344.6,2029
1786081620,344.5,344.55,344.35,344.55,9626
1786081680,344.55,344.55,344.35,344.4,10152
1786081740,344.55,344.55,344.3,344.55,5573
1786081800,344.55,344.55,344.4,344.5,2622
1786081860,344.5,344.95,344.5,344.95,89391
1786081920,344.95,344.95,344.75,344.95,83653
1786081980,344.9,344.9,344.75,344.85,1697
1786082040,344.85,344.9,344.8,344.85,3594
1786082100,344.85,344.95,344.8,344.95,3055
1786082160,345.0,345.0,344.65,344.7,12510
1786082220,344.7,344.8,344.55,344.8,185459
1786082280,344.75,344.8,344.6,344.75,10962
1786082340,344.75,344.75,344.75,344.75,517
1786082400,344.7,344.8,344.6,344.8,176459
1786082460,344.9,345.15,344.9,345.0,10776
1786082520,344.95,345.0,344.9,345.0,2216
1786082580,345.0,345.0,344.9,345.0,2203
1786082640,345.0,345.0,344.8,344.9,2135
1786082700,344.9,344.95,344.9,344.95,1372
1786082760,344.9,344.95,344.75,344.95,3790
1786082820,344.95,345.0,344.9,344.9,1449
1786082880,344.95,345.0,344.8,344.85,3299
1786082940,344.95,345.0,344.8,344.85,2080
1786083000,344.9,344.9,344.75,344.85,1264
1786083060,344.85,344.85,344.75,344.8,446
1786083120,344.8,344.8,344.7,344.8,827
1786083180,344.8,344.8,344.65,344.65,2044
1786083240,344.75,344.75,344.65,344.75,743
1786083300,344.75,344.75,344.65,344.65,1667
1786083360,344.65,344.65,344.6,344.65,359
1786083420,344.65,344.65,344.55,344.6,1730
1786083480,344.6,344.6,344.5,344.6,1967
1786083540,344.6,344.6,344.5,344.6,584
1786083600,344.55,344.6,344.5,344.55,1976
1786083660,344.55,344.55,344.5,344.5,1412
1786083720,344.55,344.55,344.5,344.5,5631
1786083780,344.55,344.55,344.3,344.35,4411
1786083840,344.4,345.0,344.4,345.0,68975
1786083900,344.8,344.95,344.8,344.85,3250
1786083960,344.9,344.95,344.75,344.95,2711
1786084020,344.95,344.95,344.75,344.85,3065
1786084080,344.95,344.95,344.8,344.95,1449
1786084140,344.95,345.1,344.75,344.95,93293
1786084200,345.0,345.6,344.95,345.6,15842
1786084260,345.5,345.6,345.5,345.6,6168
1786084320,345.55,345.6,345.5,345.6,15208
1786084380,345.55,345.55,345.4,345.45,5825
1786084440,345.45,345.45,345.3,345.3,5933
1786084500,345.3,345.3,345.2,345.2,5459
1786084560,345.3,345.4,345.2,345.35,2542
1786084620,345.4,345.4,345.2,345.35,4087
1786084680,345.35,345.35,345.2,345.35,6005
1786084740,345.35,345.35,345.2,345.3,3789
1786084800,345.3,345.3,345.1,345.1,4845
1786084860,345.15,345.2,345.05,345.2,16775
1786084920,345.2,345.25,345.1,345.1,11049
1786084980,345.25,345.25,345.1,345.1,1641
1786085040,345.2,345.45,345.05,345.4,19082
1786085100,345.4,345.4,345.25,345.3,4862
1786085160,345.3,345.3,345.0,345.15,22403
1786085220,345.05,345.15,345.0,345.15,5434
1786085280,345.15,345.15,344.85,345.0,31595
1786085340,344.95,345.05,344.95,345.0,105170
1786085400,345.0,345.05,345.0,345.0,10282
1786085460,345.05,345.15,345.0,345.1,33242
1786085520,345.1,345.1,344.95,345.0,5810
1786085580,345.0,345.15,345.0,345.05,6181
1786085640,345.1,345.15,345.0,345.15,3694
1786085700,345.05,345.2,345.05,345.2,7102
1786085760,345.15,345.2,345.0,345.15,6027
1786085820,345.1,345.15,345.0,345.0,6598
1786085880,345.0,345.15,345.0,345.15,3073
1786085940,345.15,345.15,345.0,345.15,5644
1786086000,345.0,345.15,345.0,345.15,7363
1786086060,345.05,345.2,345.0,345.05,3473
1786086120,345.0,345.2,345.0,345.2,10516
1786086180,345.05,345.15,345.0,345.15,11304
1786086240,345.15,345.15,345.0,345.1,7686
1786086300,345.1,345.15,345.0,345.15,7112
1786086360,345.0,345.15,345.0,345.15,3942
1786086420,345.1,345.15,345.0,345.15,7384
1786086480,345.05,345.15,345.0,345.1,10648
1786086540,345.0,345.15,345.0,345.05,5469
1786086600,345.15,345.15,345.0,345.0,6401
1786086660,345.15,345.15,345.0,345.1,4596
