time,open,high,low,close,volume
1786074300,238.64,239.26,238.05,238.93,395578
1786074360,238.93,238.94,238.11,238.39,133965
1786074420,238.47,238.78,238.4,238.78,101452
1786074480,238.7,239.04,238.63,238.75,77927
1786074540,238.75,238.91,238.65,238.91,24072
1786074600,238.9,238.9,238.62,238.76,27367
1786074660,238.9,239.0,238.75,238.88,46792
1786074720,239.17,239.3,239.04,239.04,87324
1786074780,239.03,239.23,238.99,239.2,49851
1786074840,239.18,240.15,239.18,240.0,313895
1786074900,240.12,240.12,239.66,239.92,62885
1786074960,240.02,240.02,239.78,239.78,43200
1786075020,239.78,239.95,239.74,239.85,19693
1786075080,239.93,240.07,239.81,240.07,82581
1786075140,240.2,240.83,240.05,240.78,257530
1786075200,240.73,240.96,240.66,240.76,130035
1786075260,240.82,241.08,240.7,240.95,194831
1786075320,240.9,241.25,240.87,241.15,94211
1786075380,241.11,241.11,240.88,240.96,117697
1786075440,240.94,240.94,240.8,240.91,27502
1786075500,240.91,240.99,240.89,240.99,75216
1786075560,240.99,241.69,240.77,241.49,274608
1786075620,241.44,241.46,241.21,241.28,30981
1786075680,241.33,241.39,241.2,241.27,48339
1786075740,241.3,241.39,241.21,241.31,18365
1786075800,241.31,241.4,241.2,241.4,36055
1786075860,241.39,241.39,241.15,241.17,25991
1786075920,241.15,241.37,241.15,241.3,32280
1786075980,241.29,241.29,241.08,241.08,24778
1786076040,241.18,241.23,241.1,241.15,23850
1786076100,241.19,241.26,241.14,241.26,54297
1786076160,241.34,241.49,241.23,241.43,65632
1786076220,241.4,241.4,241.15,241.15,25167
1786076280,241.14,241.25,241.1,241.22,41728
1786076340,241.18,241.23,241.13,241.23,11993
1786076400,241.18,241.19,241.12,241.13,48629
1786076460,241.22,241.26,241.11,241.23,36842
1786076520,241.2,241.41,241.18,241.33,32350
1786076580,241.33,241.35,241.29,241.29,9459
1786076640,241.29,241.35,241.26,241.27,9715
1786076700,241.3,241.35,241.14,241.35,35649
1786076760,241.29,241.38,241.29,241.35,9782
1786076820,241.35,241.4,241.25,241.25,45121
1786076880,241.29,241.3,240.94,241.06,59000
1786076940,241.09,241.2,241.01,241.11,9068
1786077000,241.12,241.12,241.04,241.04,8325
1786077060,241.07,241.2,241.07,241.2,12496
1786077120,241.14,241.2,241.14,241.2,7146
1786077180,241.2,241.23,241.2,241.2,9629
1786077240,241.25,241.27,241.11,241.17,14354
1786077300,241.18,241.24,241.05,241.14,29270
1786077360,241.21,241.24,241.14,241.24,7642
1786077420,241.23,241.24,241.15,241.2,6579
1786077480,241.2,241.2,241.04,241.1,8385
1786077540,241.15,241.15,241.1,241.1,3705
1786077600,241.1,241.25,241.06,241.24,22967
1786077660,241.23,241.25,241.18,241.25,13304
1786077720,241.24,241.24,241.19,241.24,8053
1786077780,241.22,241.33,241.22,241.29,27261
1786077840,241.3,241.49,241.29,241.46,47525
1786077900,241.4,241.44,241.32,241.32,11144
1786077960,241.38,241.38,241.25,241.31,17846
1786078020,241.25,241.25,241.15,241.15,6478
1786078080,241.1,241.14,241.01,241.01,20408
1786078140,241.01,241.15,241.0,241.15,60950
1786078200,241.14,241.15,241.13,241.15,13271
1786078260,241.27,241.39,241.27,241.39,21653
1786078320,241.39,241.39,241.22,241.36,10107
1786078380,241.35,241.36,241.28,241.34,16069
1786078440,241.33,241.35,241.27,241.27,13673
1786078500,241.3,241.36,241.26,241.26,11840
1786078560,241.3,241.3,241.2,241.25,8983
1786078620,241.22,241.28,241.21,241.25,11667
1786078680,241.25,241.28,241.25,241.27,2885
1786078740,241.27,241.28,241.1,241.14,22987
1786078800,241.2,241.23,241.16,241.22,10452
1786078860,241.21,241.22,241.1,241.22,12172
1786078920,241.25,241.3,241.25,241.3,14277
1786078980,241.3,241.34,241.25,241.33,8203
1786079040,241.32,241.34,241.3,241.3,5446
1786079100,241.31,241.31,241.17,241.3,9161
1786079160,241.23,241.3,241.23,241.23,5156
1786079220,241.23,241.29,241.2,241.26,22768
1786079280,241.26,241.26,241.11,241.14,10368
1786079340,241.14,241.14,241.05,241.05,8110
1786079400,241.1,241.12,241.06,241.1,7104
1786079460,241.14,241.23,241.14,241.22,7000
1786079520,241.17,241.43,241.12,241.43,49667
1786079580,241.41,241.42,241.24,241.24,11887
1786079640,241.17,241.22,241.16,241.2,3210
1786079700,241.16,241.22,241.16,241.22,12899
1786079760,241.27,241.4,241.27,241.4,13231
1786079820,241.38,241.38,241.3,241.35,9844
1786079880,241.38,241.38,241.29,241.3,8092
1786079940,241.35,241.38,241.25,241.25,6380
1786080000,241.3,241.33,241.25,241.33,5114
1786080060,241.33,241.33,241.14,241.14,44671
1786080120,241.15,241.25,241.15,241.19,12377
1786080180,241.23,241.25,241.09,241.11,20437
1786080240,241.1,241.1,240.85,240.93,33467
1786080300,240.95,241.0,240.85,240.85,18659
1786080360,240.82,240.92,240.79,240.84,21274
1786080420,240.85,240.85,240.53,240.58,36899
1786080480,240.58,240.62,240.5,240.51,29536
1786080540,240.58,240.58,240.51,240.55,17204
1786080600,240.52,240.58,240.44,240.5,74546
1786080660,240.5,240.55,240.45,240.45,15096
1786080720,240.53,240.53,240.45,240.51,6130
1786080780,240.52,240.59,240.43,240.59,26793
1786080840,240.57,240.57,240.31,240.38,32530
1786080900,240.38,240.46,240.35,240.35,13074
1786080960,240.35,240.46,240.33,240.41,12832
1786081020,240.49,240.5,240.38,240.38,15885
1786081080,240.38,240.46,240.38,240.46,6697
1786081140,240.46,240.46,240.38,240.44,8585
1786081200,240.44,240.46,240.44,240.46,5933
1786081260,240.44,240.44,240.35,240.39,14430
1786081320,240.39,240.43,240.38,240.38,7157
1786081380,240.38,240.38,240.3,240.33,15545
1786081440,240.33,240.33,240.26,240.32,43664
1786081500,240.3,240.4,240.3,240.39,11546
1786081560,240.42,240.5,240.37,240.45,6515
