time,open,high,low,close,volume
1786074300,1316.0,1320.0,1313.7,1317.7,18664
1786074360,1321.0,1324.5,1321.0,1322.4,22346
1786074420,1322.4,1330.1,1322.4,1324.1,26122
1786074480,1323.1,1326.0,1322.5,1326.0,4603
1786074540,1325.8,1325.8,1321.8,1321.8,5170
1786074600,1321.3,1327.9,1321.3,1327.9,4420
1786074660,1328.1,1330.9,1328.1,1330.0,9465
1786074720,1328.4,1328.4,1326.0,1326.0,1962
1786074780,1326.2,1326.7,1324.5,1325.6,3369
1786074840,1324.1,1325.9,1324.1,1324.1,2742
1786074900,1324.8,1324.8,1321.9,1321.9,3312
1786074960,1320.4,1321.0,1318.3,1318.5,7497
1786075020,1318.5,1319.5,1316.6,1319.1,3763
1786075080,1320.0,1320.4,1319.8,1319.8,3365
1786075140,1319.8,1321.8,1319.8,1320.4,3841
1786075200,1319.0,1322.0,1319.0,1322.0,1554
1786075260,1321.3,1323.1,1320.0,1321.4,2085
1786075320,1321.4,1322.8,1320.9,1322.8,646
1786075380,1322.8,1323.3,1321.3,1321.3,1096
1786075440,1322.4,1322.4,1320.2,1320.6,953
1786075500,1320.1,1321.2,1320.1,1321.2,849
1786075560,1322.0,1322.0,1320.0,1320.5,934
1786075620,1320.5,1321.8,1320.2,1321.0,2261
1786075680,1320.9,1320.9,1319.0,1319.9,4689
1786075740,1319.3,1319.3,1317.3,1317.5,2895
1786075800,1316.7,1319.5,1316.1,1319.5,5990
1786075860,1318.3,1318.8,1317.2,1317.6,3911
1786075920,1316.7,1319.0,1316.7,1318.4,3514
1786075980,1317.2,1320.2,1317.2,1320.2,1259
1786076040,1318.5,1319.8,1318.4,1319.2,1248
1786076100,1320.0,1320.3,1319.8,1320.0,745
1786076160,1320.1,1320.2,1319.1,1319.9,1080
1786076220,1319.8,1319.8,1315.8,1315.8,2033
1786076280,1315.5,1315.8,1312.0,1312.0,8415
1786076340,1313.0,1315.0,1311.8,1315.0,3384
1786076400,1313.9,1315.0,1313.9,1314.1,653
1786076460,1314.9,1315.9,1314.6,1315.0,1476
1786076520,1315.8,1317.1,1315.8,1315.8,1348
1786076580,1315.0,1316.1,1315.0,1315.1,558
1786076640,1315.1,1316.0,1315.0,1316.0,708
1786076700,1316.9,1318.4,1316.0,1317.2,2727
1786076760,1318.4,1318.9,1318.1,1318.8,2500
1786076820,1319.0,1319.1,1318.9,1319.0,1166
1786076880,1318.9,1319.0,1318.2,1319.0,1036
1786076940,1318.4,1320.0,1318.4,1319.5,1005
1786077000,1319.7,1319.7,1318.1,1318.1,1346
1786077060,1318.9,1319.1,1316.9,1318.0,917
1786077120,1318.8,1318.9,1317.5,1318.4,395
1786077180,1318.4,1318.4,1317.2,1318.0,824
1786077240,1317.6,1318.4,1317.6,1318.0,483
1786077300,1318.0,1318.0,1317.5,1317.5,214
1786077360,1317.2,1317.8,1317.0,1317.5,770
1786077420,1317.5,1317.5,1317.0,1317.5,250
1786077480,1318.0,1318.0,1317.0,1317.0,291
1786077540,1317.5,1317.5,1315.0,1315.0,1267
1786077600,1315.9,1315.9,1315.0,1315.0,942
1786077660,1315.8,1316.0,1315.1,1315.1,597
1786077720,1315.2,1315.9,1315.2,1315.9,227
1786077780,1315.2,1316.0,1315.1,1315.1,1315
1786077840,1315.2,1316.0,1315.2,1316.0,225
1786077900,1316.0,1316.0,1315.3,1315.3,649
1786077960,1315.9,1315.9,1315.1,1315.9,1900
1786078020,1315.9,1318.0,1315.2,1318.0,5395
1786078080,1317.4,1318.0,1317.0,1317.0,932
1786078140,1317.4,1317.4,1316.9,1317.0,940
1786078200,1317.1,1320.0,1317.1,1318.8,3246
1786078260,1321.5,1322.0,1321.5,1322.0,3006
1786078320,1320.9,1321.7,1320.6,1320.6,768
1786078380,1320.6,1321.3,1320.4,1321.0,564
