time,open,high,low,close,volume
1786074300,416.0,416.5,414.55,415.65,90139
1786074360,416.15,416.55,416.15,416.45,25480
1786074420,416.15,416.65,415.8,415.8,33565
1786074480,415.6,416.0,415.6,416.0,20026
1786074540,416.0,416.15,415.75,415.75,7988
1786074600,415.75,415.75,415.3,415.3,12203
1786074660,415.45,416.35,415.45,416.15,9568
1786074720,416.4,416.4,415.5,415.5,46469
1786074780,415.8,416.4,415.75,416.4,6392
1786074840,416.35,416.35,415.65,415.65,11984
1786074900,415.55,415.55,414.9,415.2,42325
1786074960,415.2,415.55,415.2,415.45,3487
1786075020,415.5,415.75,415.2,415.75,6253
1786075080,415.55,415.55,415.25,415.25,3286
1786075140,415.0,415.0,414.65,414.75,20532
1786075200,414.5,414.95,414.5,414.95,11389
1786075260,414.95,415.4,414.95,415.0,8599
1786075320,415.8,415.8,415.7,415.75,4729
1786075380,415.8,416.1,415.8,416.1,6199
1786075440,416.0,416.2,416.0,416.0,4096
1786075500,416.05,416.15,415.6,416.05,2759
1786075560,416.05,417.4,416.05,417.2,22562
1786075620,417.4,417.5,417.05,417.3,25069
1786075680,417.1,418.2,417.1,418.2,33054
1786075740,418.6,419.25,418.1,418.1,60846
1786075800,418.3,418.95,418.15,418.9,7500
1786075860,419.25,419.8,418.85,419.2,47949
1786075920,419.25,419.8,419.2,419.65,18906
1786075980,419.55,419.7,419.3,419.7,16208
1786076040,419.7,419.95,419.7,419.95,24778
1786076100,420.0,420.95,420.0,420.95,25855
1786076160,420.6,420.6,418.8,418.8,50016
1786076220,418.8,419.0,418.45,418.5,16469
1786076280,418.5,418.65,418.1,418.3,14156
1786076340,418.45,418.65,418.0,418.0,9101
1786076400,418.0,418.05,417.65,418.05,18069
1786076460,418.65,419.25,418.6,419.25,9202
1786076520,418.9,419.0,418.9,418.9,13571
1786076580,418.75,418.85,418.65,418.8,5305
1786076640,418.8,418.95,418.65,418.9,4790
1786076700,419.0,419.4,419.0,419.3,6604
1786076760,419.25,419.25,418.7,418.75,2139
1786076820,418.65,418.65,418.05,418.2,2752
1786076880,417.9,418.05,417.75,418.0,6811
1786076940,418.05,418.05,417.8,418.0,3461
1786077000,418.0,418.0,417.7,417.85,4982
1786077060,417.85,417.85,417.5,417.6,8999
1786077120,417.6,417.8,417.6,417.65,3504
1786077180,417.8,418.15,417.8,418.1,3116
1786077240,418.0,418.0,417.2,418.0,15855
1786077300,417.9,417.9,417.6,417.75,8517
1786077360,417.9,418.0,417.9,418.0,2587
1786077420,417.9,418.2,417.9,418.15,5799
1786077480,418.05,418.45,418.05,418.3,3706
1786077540,418.3,418.7,418.3,418.7,3601
1786077600,418.85,418.95,418.5,418.9,5664
1786077660,418.65,418.65,418.45,418.55,1986
1786077720,418.2,418.55,418.2,418.4,5201
1786077780,418.4,418.4,417.8,417.8,5758
1786077840,417.8,418.1,417.8,417.95,5343
1786077900,418.1,418.1,418.0,418.05,4167
1786077960,417.95,418.05,417.9,417.9,1278
1786078020,417.9,418.0,417.9,418.0,1987
1786078080,417.95,418.0,417.15,417.15,8702
1786078140,417.15,417.4,417.1,417.4,13995
1786078200,417.4,417.65,417.4,417.5,8877
1786078260,417.45,418.1,417.45,417.9,4544
1786078320,417.85,417.85,417.55,417.55,1947
1786078380,417.65,417.65,417.3,417.4,1562
1786078440,417.7,417.7,417.45,417.65,2658
1786078500,417.6,417.75,417.6,417.75,7025
1786078560,417.75,417.85,417.7,417.7,5290
1786078620,417.9,417.9,417.7,417.75,3975
1786078680,417.4,417.75,417.4,417.65,3837
1786078740,417.55,417.6,417.05,417.5,5337
1786078800,417.45,417.45,417.3,417.3,1591
1786078860,417.25,417.45,417.05,417.3,3618
1786078920,417.3,417.3,417.15,417.3,1634
1786078980,417.3,417.5,417.3,417.5,3791
1786079040,417.5,417.7,417.5,417.65,2143
1786079100,417.65,417.8,417.55,417.8,2489
1786079160,417.7,417.7,417.35,417.6,2098
1786079220,417.6,417.65,417.4,417.4,2974
1786079280,417.45,417.45,417.0,417.25,3213
1786079340,417.25,417.4,417.1,417.2,2442
1786079400,417.4,417.45,417.25,417.45,9046
1786079460,417.45,417.45,417.25,417.25,1876
1786079520,417.2,417.25,417.2,417.2,1623
1786079580,417.25,417.7,417.1,417.7,9311
1786079640,417.6,417.8,417.5,417.55,5503
1786079700,417.5,417.55,417.4,417.5,1613
1786079760,417.5,417.7,417.2,417.7,6562
1786079820,417.7,418.2,417.7,418.2,12466
1786079880,418.25,418.25,418.2,418.2,9833
1786079940,418.05,418.2,417.95,418.0,3634
1786080000,417.8,417.9,417.8,417.85,2892
1786080060,417.85,418.2,417.85,418.15,5087
1786080120,418.2,418.2,418.0,418.2,2978
1786080180,418.15,418.4,418.15,418.2,10721
1786080240,418.2,418.2,417.9,417.9,4472
1786080300,417.95,418.15,417.95,418.15,742
1786080360,418.05,418.15,418.0,418.05,1619
1786080420,418.05,418.15,417.9,418.0,3003
1786080480,417.95,417.95,417.65,417.9,1854
1786080540,417.9,417.9,417.7,417.7,2083
1786080600,417.65,417.65,417.65,417.65,1725
1786080660,417.65,417.75,417.3,417.5,2087
1786080720,417.5,417.65,417.45,417.65,3765
1786080780,417.7,417.9,417.7,417.9,4927
1786080840,417.9,418.3,417.9,418.3,13100
1786080900,418.3,418.5,418.3,418.5,4355
1786080960,418.75,418.8,418.75,418.75,5239
1786081020,418.75,418.95,418.75,418.95,3369
1786081080,418.95,419.3,418.95,419.3,4714
1786081140,419.3,419.4,419.3,419.35,5516
1786081200,419.4,419.4,419.4,419.4,4067
1786081260,419.35,419.35,419.1,419.1,5200
1786081320,419.1,419.45,419.1,419.45,9631
1786081380,419.45,420.0,419.45,420.0,121138
1786081440,419.95,420.0,419.95,420.0,70478
1786081500,419.7,419.7,419.55,419.6,13858
1786081560,419.6,419.75,419.5,419.75,17425
1786081620,419.75,419.8,419.55,419.7,8457
1786081680,419.7,419.9,419.7,419.85,7861
1786081740,419.85,419.95,419.85,419.95,4923
1786081800,419.95,420.0,419.9,420.0,3897
1786081860,419.9,419.95,419.8,419.8,6721
1786081920,419.8,419.8,419.55,419.65,5570
1786081980,419.65,421.15,419.6,419.95,555568
1786082040,419.95,420.0,419.4,419.6,12128
1786082100,419.9,419.95,419.7,419.7,15932
1786082160,419.7,419.75,419.7,419.7,3805
1786082220,419.7,419.7,419.55,419.6,11804
1786082280,419.6,419.7,419.5,419.55,17347
1786082340,419.55,419.9,418.9,418.9,17568
1786082400,418.8,418.8,418.4,418.5,2101
1786082460,418.6,419.7,418.45,419.35,172913
1786082520,419.25,419.45,418.95,419.15,5162
1786082580,419.25,419.7,418.95,419.7,14811
1786082640,419.4,419.55,418.95,419.3,19368
1786082700,419.45,419.5,419.35,419.35,30268
1786082760,419.3,419.6,419.25,419.25,66140
1786082820,419.25,419.75,419.25,419.75,8662
1786082880,419.75,420.0,419.75,419.95,80693
1786082940,420.0,420.0,420.0,420.0,16310
1786083000,420.0,420.0,419.0,419.0,65502
1786083060,419.0,419.1,418.95,419.0,21408
1786083120,419.0,419.1,418.9,419.1,7884
1786083180,419.1,419.8,419.0,419.8,6830
1786083240,419.6,419.75,419.4,419.75,14451
1786083300,419.75,419.8,419.45,419.45,14508
1786083360,419.9,420.05,419.85,419.85,113704
1786083420,419.85,420.2,419.75,420.05,14587
1786083480,420.0,420.05,420.0,420.0,11587
1786083540,420.0,420.05,420.0,420.0,9621
1786083600,419.9,419.9,419.5,419.6,40370
1786083660,419.6,419.65,419.35,419.4,11289
1786083720,419.5,419.65,419.5,419.65,7372
