time,open,high,low,close,volume
1786074300,1669.8,1671.7,1666.6,1670.8,33371
1786074360,1670.8,1671.5,1668.1,1669.0,7289
1786074420,1669.9,1672.3,1668.1,1672.3,4574
1786074480,1672.5,1674.1,1671.6,1671.6,3764
1786074540,1672.5,1674.7,1672.0,1672.0,4768
1786074600,1672.0,1673.4,1672.0,1673.4,5359
1786074660,1674.1,1674.1,1672.1,1672.1,5802
1786074720,1672.3,1673.7,1670.1,1673.7,5810
1786074780,1673.7,1674.9,1673.2,1674.3,3615
1786074840,1673.8,1674.4,1673.5,1673.5,1513
1786074900,1672.6,1673.5,1670.8,1673.5,3487
1786074960,1673.5,1673.5,1672.1,1673.4,2427
1786075020,1673.3,1673.4,1670.3,1671.6,4620
1786075080,1671.4,1672.2,1671.4,1672.2,1074
1786075140,1671.6,1671.8,1670.5,1670.5,1854
1786075200,1670.8,1672.2,1670.0,1671.6,2795
1786075260,1670.8,1671.4,1668.5,1669.5,2533
1786075320,1669.5,1670.1,1668.5,1668.5,1290
1786075380,1668.4,1668.6,1667.3,1667.7,7839
1786075440,1668.3,1668.4,1666.6,1667.8,2786
1786075500,1667.6,1668.0,1666.9,1666.9,2346
1786075560,1667.4,1668.0,1666.5,1666.8,1594
1786075620,1666.8,1666.8,1665.5,1666.2,903
1786075680,1665.1,1666.2,1664.6,1665.8,3937
1786075740,1666.2,1667.8,1664.9,1667.8,7281
1786075800,1669.5,1670.0,1669.0,1669.3,3715
1786075860,1669.8,1670.6,1669.7,1670.2,1885
1786075920,1670.0,1670.3,1669.9,1670.0,687
1786075980,1670.3,1670.4,1669.9,1670.3,1227
1786076040,1670.3,1670.5,1670.0,1670.5,1699
1786076100,1670.5,1671.8,1670.2,1670.2,1661
1786076160,1669.5,1670.1,1668.9,1669.0,1691
1786076220,1669.0,1669.2,1668.4,1668.6,1347
1786076280,1669.0,1669.6,1668.8,1669.6,970
1786076340,1669.7,1669.9,1668.9,1668.9,1036
1786076400,1668.9,1669.5,1668.7,1668.7,1435
1786076460,1668.7,1670.2,1668.7,1670.2,3492
1786076520,1669.9,1670.3,1669.6,1669.6,1095
1786076580,1669.6,1670.6,1669.5,1670.6,3998
1786076640,1670.4,1670.6,1668.6,1668.6,1776
1786076700,1668.4,1669.8,1668.4,1669.0,2945
1786076760,1669.9,1670.4,1668.7,1669.5,1688
1786076820,1668.9,1669.8,1668.6,1669.2,1226
1786076880,1669.2,1669.4,1668.2,1668.9,881
1786076940,1668.8,1669.5,1668.6,1669.4,1137
1786077000,1669.3,1669.4,1668.9,1669.3,425
1786077060,1669.4,1669.7,1669.3,1669.7,884
1786077120,1669.6,1669.6,1668.5,1669.1,2866
1786077180,1669.2,1669.8,1669.0,1669.6,878
1786077240,1669.6,1669.6,1667.2,1667.8,2416
1786077300,1668.5,1668.6,1668.4,1668.5,849
1786077360,1668.5,1668.5,1668.3,1668.4,729
1786077420,1668.6,1669.7,1668.5,1669.7,2565
1786077480,1669.6,1669.7,1668.7,1669.4,738
1786077540,1669.3,1669.4,1669.2,1669.4,964
1786077600,1669.3,1669.4,1668.9,1668.9,685
1786077660,1668.7,1669.4,1668.7,1669.3,1461
1786077720,1669.3,1669.4,1668.3,1668.3,846
1786077780,1668.1,1668.5,1667.8,1668.4,1032
1786077840,1668.5,1668.9,1668.5,1668.9,572
1786077900,1668.9,1668.9,1667.9,1668.2,871
1786077960,1668.2,1669.4,1668.2,1669.3,1927
1786078020,1669.3,1669.5,1669.2,1669.5,1068
1786078080,1669.5,1669.5,1669.2,1669.2,928
1786078140,1669.1,1670.0,1669.0,1670.0,1173
1786078200,1670.0,1670.8,1670.0,1670.1,950
1786078260,1670.0,1671.2,1670.0,1671.0,816
1786078320,1670.9,1670.9,1670.0,1670.1,1273
1786078380,1670.1,1670.1,1669.5,1669.8,945
1786078440,1669.9,1670.0,1669.6,1670.0,1029
1786078500,1670.0,1670.1,1669.7,1669.7,1206
1786078560,1669.8,1669.8,1669.2,1669.7,912
1786078620,1669.8,1669.8,1669.5,1669.8,1926
1786078680,1669.5,1670.0,1669.5,1670.0,766
1786078740,1670.0,1670.8,1670.0,1670.5,1681
1786078800,1670.5,1670.5,1669.6,1670.5,2629
1786078860,1671.0,1671.1,1670.0,1670.6,1082
1786078920,1669.9,1670.4,1669.4,1670.2,1525
1786078980,1669.2,1670.5,1669.2,1670.4,1639
1786079040,1670.3,1670.5,1669.5,1670.2,994
1786079100,1670.3,1670.3,1669.1,1670.2,1659
1786079160,1670.3,1670.6,1669.4,1670.5,980
1786079220,1670.5,1670.5,1669.5,1670.4,1259
1786079280,1670.9,1670.9,1670.1,1670.8,1220
1786079340,1670.8,1671.0,1670.8,1671.0,937
1786079400,1671.0,1671.2,1670.8,1671.0,1109
1786079460,1671.1,1671.4,1671.1,1671.2,981
1786079520,1671.3,1671.3,1670.7,1670.8,1197
1786079580,1671.2,1671.5,1670.6,1671.5,856
1786079640,1671.2,1671.3,1670.5,1671.1,991
1786079700,1670.9,1671.0,1670.0,1670.1,787
1786079760,1671.0,1671.9,1671.0,1671.8,838
1786079820,1671.8,1672.0,1671.7,1672.0,657
1786079880,1671.9,1672.2,1671.9,1672.0,796
1786079940,1672.3,1672.3,1672.1,1672.1,846
1786080000,1672.0,1672.4,1668.6,1668.6,10288
1786080060,1668.6,1669.1,1668.4,1669.1,1874
1786080120,1668.9,1669.1,1667.4,1667.8,7718
1786080180,1667.6,1668.0,1667.6,1668.0,838
1786080240,1668.0,1668.0,1666.3,1666.4,1875
1786080300,1666.5,1667.2,1666.4,1666.7,28442
1786080360,1666.7,1668.2,1666.3,1666.7,12260
1786080420,1667.0,1667.0,1664.4,1665.3,6029
1786080480,1665.4,1666.0,1665.1,1665.7,652
1786080540,1665.8,1665.8,1665.0,1665.3,1043
1786080600,1665.0,1665.3,1661.2,1662.0,4376
1786080660,1662.0,1662.1,1660.4,1660.8,3299
1786080720,1662.3,1662.9,1662.0,1662.8,57022
1786080780,1662.8,1662.9,1661.4,1662.0,1266
1786080840,1662.2,1662.2,1655.2,1656.9,40783
1786080900,1657.0,1658.0,1657.0,1657.8,1807
1786080960,1658.0,1658.0,1655.0,1655.9,24913
1786081020,1655.9,1658.0,1655.8,1658.0,1553
