time,open,high,low,close,volume
1786074300,2783.5,2783.5,2751.2,2755.6,13024
1786074360,2755.6,2758.0,2755.6,2755.6,952
1786074420,2757.0,2777.4,2757.0,2777.4,1104
1786074480,2776.2,2777.0,2771.1,2777.0,3824
1786074540,2776.6,2776.6,2774.1,2774.1,87
1786074600,2775.5,2775.5,2769.7,2772.3,509
1786074660,2773.7,2776.5,2773.7,2776.3,473
1786074720,2779.0,2779.0,2775.5,2779.0,491
1786074780,2779.2,2780.0,2777.0,2777.0,624
1786074840,2779.2,2779.2,2779.2,2779.2,3
1786074900,2778.9,2779.5,2776.2,2777.3,166
1786074960,2776.3,2777.7,2775.2,2777.7,1611
1786075020,2776.0,2776.0,2774.0,2775.0,107
1786075080,2774.0,2780.1,2773.8,2777.9,1883
1786075140,2775.9,2775.9,2775.1,2775.2,114
1786075200,2776.9,2776.9,2774.9,2774.9,17
1786075260,2774.9,2775.0,2774.9,2775.0,129
1786075320,2775.0,2777.9,2774.8,2777.9,251
1786075380,2777.9,2777.9,2776.1,2776.6,41
1786075440,2776.8,2777.5,2776.8,2777.5,32
1786075500,2775.3,2777.9,2775.3,2777.9,106
1786075560,2775.7,2779.0,2775.7,2779.0,146
1786075620,2777.6,2777.6,2777.5,2777.5,3
1786075680,2775.0,2775.2,2774.7,2774.7,79
1786075740,2775.6,2775.6,2772.4,2774.4,31
1786075800,2773.6,2773.6,2770.0,2770.0,180
1786075860,2770.0,2774.3,2769.2,2774.3,370
1786075920,2771.8,2772.4,2770.5,2772.0,147
1786075980,2771.9,2772.0,2770.8,2771.0,29
1786076040,2770.8,2770.9,2770.5,2770.5,29
1786076100,2771.0,2773.6,2771.0,2771.1,49
1786076160,2772.1,2772.1,2770.5,2770.5,84
1786076220,2770.5,2771.6,2770.0,2770.0,196
1786076280,2769.9,2769.9,2767.6,2767.6,104
1786076340,2768.9,2768.9,2768.0,2768.0,59
1786076400,2767.9,2767.9,2766.3,2766.3,32
1786076460,2767.0,2767.0,2762.7,2765.8,803
1786076520,2765.8,2767.0,2763.7,2763.7,335
1786076580,2766.0,2766.0,2764.2,2765.9,47
1786076640,2764.4,2765.9,2764.4,2765.9,44
1786076700,2767.5,2767.6,2767.5,2767.6,30
1786076760,2765.1,2767.3,2765.1,2766.5,161
1786076820,2767.3,2767.3,2766.0,2766.0,45
1786076880,2765.0,2765.0,2763.0,2763.0,80
1786076940,2763.0,2765.9,2763.0,2765.9,97
1786077000,2765.5,2766.5,2765.5,2766.5,111
1786077060,2765.4,2765.9,2763.8,2765.7,107
1786077120,2765.0,2765.0,2764.8,2764.8,16
1786077180,2764.4,2764.4,2764.4,2764.4,8
1786077240,2764.4,2764.4,2762.5,2762.5,76
1786077300,2764.4,2764.4,2763.5,2764.4,235
1786077360,2764.9,2764.9,2763.8,2764.9,167
1786077420,2765.2,2765.2,2765.1,2765.1,42
1786077480,2764.3,2764.3,2763.6,2763.8,80
1786077540,2763.7,2763.7,2763.2,2763.2,35
1786077600,2763.2,2764.2,2763.2,2764.2,73
1786077660,2764.2,2764.2,2763.0,2763.0,91
1786077720,2763.0,2763.0,2761.1,2761.6,254
1786077780,2761.9,2762.0,2761.4,2762.0,186
1786077840,2763.6,2765.1,2763.6,2765.1,797
1786077900,2764.2,2764.7,2764.1,2764.1,7
1786077960,2763.7,2764.3,2762.0,2764.3,29
1786078020,2763.6,2763.6,2761.9,2762.9,26
1786078080,2763.8,2763.8,2761.6,2762.6,236
1786078140,2762.3,2762.3,2762.3,2762.3,25
1786078200,2762.2,2762.2,2762.2,2762.2,11
1786078260,2762.3,2762.4,2762.3,2762.4,58
1786078320,2762.0,2762.9,2761.6,2762.9,14
1786078380,2760.8,2762.0,2760.8,2762.0,105
1786078440,2762.0,2762.0,2760.0,2762.0,912
1786078500,2763.0,2763.6,2763.0,2763.5,168
1786078560,2762.3,2763.3,2762.0,2763.3,50
1786078620,2762.8,2762.8,2760.5,2760.5,66
1786078680,2761.0,2761.3,2761.0,2761.3,6
1786078740,2761.3,2761.3,2761.3,2761.3,18
1786078800,2761.3,2761.3,2759.8,2759.8,196
1786078860,2759.9,2759.9,2759.9,2759.9,27
1786078920,2759.7,2759.7,2757.8,2758.0,134
1786078980,2758.9,2760.6,2758.9,2759.0,43
