time,open,high,low,close,volume
1786074300,114.1,114.22,113.6,114.08,351679
1786074360,114.09,114.1,113.98,113.98,84564
1786074420,114.05,114.05,113.98,113.98,74247
1786074480,114.0,114.0,113.95,113.98,31411
1786074540,114.05,114.1,114.05,114.08,77816
1786074600,114.06,114.06,113.92,113.92,56968
1786074660,113.95,114.02,113.89,113.98,52640
1786074720,114.01,114.06,114.01,114.06,42409
1786074780,114.07,114.08,114.02,114.06,28640
1786074840,114.03,114.08,114.03,114.06,38696
1786074900,114.03,114.03,113.96,113.98,33276
1786074960,113.98,114.08,113.98,114.05,73634
1786075020,114.05,114.15,114.01,114.15,30432
1786075080,114.12,114.12,114.08,114.12,17980
1786075140,114.1,114.12,114.04,114.04,30354
1786075200,114.1,114.16,114.1,114.12,26958
1786075260,114.12,114.15,114.08,114.08,23835
1786075320,114.06,114.14,114.06,114.1,21663
1786075380,114.1,114.12,114.03,114.12,44358
1786075440,114.06,114.1,114.05,114.05,11851
1786075500,114.09,114.14,114.08,114.14,13894
1786075560,114.13,114.14,114.11,114.14,14974
1786075620,114.14,114.15,114.06,114.06,19384
1786075680,114.06,114.09,114.06,114.09,13050
1786075740,114.09,114.09,113.91,113.91,39181
1786075800,113.89,113.93,113.89,113.91,48353
1786075860,113.91,113.91,113.9,113.9,7765
1786075920,113.9,113.91,113.85,113.85,33134
1786075980,113.85,113.85,113.83,113.84,17174
1786076040,113.85,113.98,113.85,113.98,15891
1786076100,113.99,113.99,113.94,113.97,9038
1786076160,113.98,113.98,113.95,113.96,9953
1786076220,113.96,113.96,113.91,113.91,11477
1786076280,113.93,113.93,113.87,113.87,16147
1786076340,113.86,113.94,113.86,113.94,16506
1786076400,113.94,114.0,113.9,113.99,16529
1786076460,113.99,114.15,113.99,114.15,30662
1786076520,114.15,114.15,114.07,114.12,13562
1786076580,114.1,114.15,114.08,114.15,14744
1786076640,114.2,114.25,114.17,114.24,59899
1786076700,114.22,114.24,114.19,114.23,28911
1786076760,114.22,114.22,114.16,114.16,22727
1786076820,114.17,114.19,114.17,114.17,11724
1786076880,114.08,114.08,114.05,114.08,28307
1786076940,114.03,114.1,114.03,114.06,36382
1786077000,114.1,114.15,114.1,114.15,20518
1786077060,114.14,114.15,114.08,114.08,54060
1786077120,114.08,114.17,114.06,114.17,31229
1786077180,114.16,114.3,114.16,114.25,62266
1786077240,114.25,114.25,114.17,114.19,14674
1786077300,114.2,114.2,114.1,114.1,10063
1786077360,114.12,114.12,114.1,114.12,8162
1786077420,114.13,114.17,114.13,114.15,7207
1786077480,114.14,114.14,114.1,114.13,17979
1786077540,114.1,114.1,114.04,114.04,10266
1786077600,114.04,114.1,114.04,114.07,5329
1786077660,114.07,114.1,114.07,114.09,9980
1786077720,114.09,114.09,114.02,114.02,34693
1786077780,114.02,114.02,113.97,113.97,27483
1786077840,114.0,114.06,114.0,114.01,9403
1786077900,114.03,114.03,114.0,114.0,2607
1786077960,114.02,114.02,114.0,114.02,37124
1786078020,114.02,114.05,113.92,113.96,63114
1786078080,113.92,113.92,113.76,113.76,91243
1786078140,113.8,113.8,113.76,113.79,7259
1786078200,113.79,113.85,113.77,113.85,26733
1786078260,113.81,113.95,113.81,113.95,18472
1786078320,113.95,113.96,113.89,113.93,13731
1786078380,113.93,113.93,113.87,113.91,5404
1786078440,113.9,113.91,113.87,113.88,7564
1786078500,113.85,113.89,113.85,113.89,8144
1786078560,113.89,113.89,113.85,113.85,4710
1786078620,113.85,113.85,113.77,113.77,74909
1786078680,113.8,113.8,113.77,113.78,15839
1786078740,113.75,113.79,113.67,113.74,126891
1786078800,113.75,113.75,113.71,113.75,6011
1786078860,113.79,113.79,113.73,113.73,9154
1786078920,113.71,113.74,113.71,113.71,6328
1786078980,113.71,113.81,113.71,113.81,16185
1786079040,113.77,113.81,113.76,113.76,10670
1786079100,113.77,113.81,113.77,113.81,16452
1786079160,113.81,113.85,113.81,113.85,3364
1786079220,113.85,113.94,113.85,113.94,10385
1786079280,113.93,113.95,113.9,113.95,11878
1786079340,113.99,113.99,113.9,113.93,36684
1786079400,113.92,113.94,113.85,113.89,14384
1786079460,113.87,113.89,113.87,113.88,5254
1786079520,113.87,113.88,113.81,113.81,16632
1786079580,113.82,113.89,113.82,113.89,7745
1786079640,113.87,113.88,113.84,113.85,6425
1786079700,113.82,113.84,113.73,113.79,35127
1786079760,113.78,113.8,113.7,113.8,8963
1786079820,113.75,113.89,113.75,113.89,3748
1786079880,113.85,113.89,113.85,113.89,2717
1786079940,113.89,113.89,113.86,113.88,18137
1786080000,113.86,113.87,113.82,113.82,6448
1786080060,113.81,113.84,113.76,113.8,10625
