time,open,high,low,close,volume
1786074300,9285.0,9295.5,9270.0,9288.0,5578
1786074360,9290.5,9294.5,9270.0,9279.0,1638
1786074420,9279.5,9282.5,9277.0,9277.5,661
1786074480,9277.0,9279.5,9267.0,9275.0,1192
1786074540,9276.0,9276.0,9271.5,9275.0,738
1786074600,9270.0,9274.5,9270.0,9274.0,749
1786074660,9274.0,9282.5,9267.0,9267.0,1511
1786074720,9275.5,9278.0,9268.5,9272.5,1132
1786074780,9272.0,9283.0,9261.0,9283.0,3105
1786074840,9279.5,9284.0,9279.5,9283.5,604
1786074900,9283.5,9285.5,9280.0,9282.5,453
1786074960,9280.0,9283.5,9280.0,9283.0,109
1786075020,9275.0,9275.0,9261.0,9265.0,987
1786075080,9266.0,9266.0,9256.0,9256.0,1086
1786075140,9255.5,9269.0,9255.5,9265.0,410
1786075200,9258.0,9263.0,9255.0,9261.0,550
1786075260,9260.5,9264.0,9259.5,9261.5,255
1786075320,9261.5,9269.0,9260.0,9265.0,180
1786075380,9265.0,9265.0,9263.5,9265.0,203
1786075440,9263.5,9267.5,9263.5,9267.5,212
1786075500,9267.0,9267.5,9267.0,9267.5,28
1786075560,9267.5,9275.0,9267.5,9275.0,388
1786075620,9274.0,9276.0,9266.0,9269.0,725
1786075680,9269.5,9271.5,9267.5,9271.5,151
1786075740,9276.0,9276.0,9266.0,9267.0,574
1786075800,9266.0,9270.0,9265.0,9267.5,379
1786075860,9270.0,9270.0,9267.0,9269.5,85
1786075920,9269.5,9271.5,9267.5,9271.5,191
1786075980,9274.0,9276.0,9274.0,9276.0,72
1786076040,9276.0,9279.0,9275.0,9279.0,572
1786076100,9279.0,9283.5,9279.0,9279.0,395
1786076160,9276.5,9280.5,9272.0,9280.5,215
1786076220,9279.5,9279.5,9270.0,9270.0,519
1786076280,9266.5,9266.5,9255.5,9256.5,712
1786076340,9256.5,9256.5,9255.0,9255.0,205
1786076400,9260.0,9265.0,9259.0,9265.0,483
1786076460,9261.0,9267.0,9261.0,9267.0,175
1786076520,9267.0,9273.5,9267.0,9270.0,637
1786076580,9266.0,9269.5,9265.5,9269.5,215
1786076640,9269.0,9276.5,9269.0,9276.5,254
1786076700,9276.0,9276.5,9271.5,9276.5,93
1786076760,9276.5,9276.5,9269.0,9269.0,500
1786076820,9269.0,9269.5,9267.0,9269.0,125
1786076880,9269.0,9269.5,9264.0,9269.5,381
1786076940,9269.5,9274.5,9269.5,9272.5,265
1786077000,9273.5,9275.5,9273.0,9273.0,146
1786077060,9275.5,9275.5,9270.5,9273.5,137
1786077120,9275.0,9275.0,9270.0,9270.5,122
1786077180,9274.0,9274.0,9267.0,9269.5,409
1786077240,9265.0,9266.5,9265.0,9266.5,150
1786077300,9265.0,9270.5,9265.0,9270.5,385
1786077360,9270.5,9274.0,9270.0,9273.0,212
1786077420,9270.5,9273.0,9270.5,9273.0,84
1786077480,9273.0,9273.0,9271.5,9272.5,30
1786077540,9269.0,9269.0,9267.5,9269.0,267
1786077600,9269.0,9271.5,9268.5,9271.5,98
1786077660,9271.0,9274.5,9271.0,9274.5,323
1786077720,9275.5,9275.5,9271.5,9274.0,428
1786077780,9274.5,9274.5,9270.5,9272.0,79
1786077840,9271.5,9272.0,9270.0,9270.0,186
1786077900,9272.0,9272.0,9272.0,9272.0,61
1786077960,9272.0,9272.0,9271.5,9272.0,127
1786078020,9272.0,9272.0,9271.5,9272.0,286
1786078080,9272.0,9272.0,9266.0,9266.5,374
1786078140,9266.5,9266.5,9252.0,9257.0,1493
1786078200,9257.0,9257.0,9254.5,9256.0,114
1786078260,9255.0,9263.5,9255.0,9263.5,636
1786078320,9261.0,9273.5,9261.0,9273.5,2065
1786078380,9272.0,9274.0,9269.0,9269.0,78
1786078440,9268.5,9268.5,9265.0,9266.0,73
1786078500,9265.0,9266.0,9262.5,9266.0,91
1786078560,9266.0,9266.0,9251.5,9257.5,1146
1786078620,9256.5,9261.0,9252.5,9261.0,220
1786078680,9261.0,9261.0,9257.5,9260.0,65
1786078740,9260.0,9261.0,9258.0,9261.0,176
1786078800,9265.0,9267.5,9265.0,9267.5,391
1786078860,9267.5,9267.5,9264.0,9265.5,308
1786078920,9265.5,9265.5,9263.0,9265.5,558
1786078980,9265.5,9268.0,9262.5,9262.5,644
1786079040,9262.5,9265.0,9259.0,9259.0,286
1786079100,9263.5,9266.5,9263.5,9266.0,277
1786079160,9264.0,9264.0,9263.5,9264.0,195
1786079220,9264.0,9264.0,9262.5,9263.5,150
1786079280,9268.0,9270.0,9264.0,9270.0,364
1786079340,9270.0,9270.0,9267.0,9268.5,128
