time,open,high,low,close,volume
1786074300,1578.0,1590.0,1577.9,1586.6,2785
1786074360,1586.0,1589.0,1583.6,1589.0,1416
1786074420,1592.4,1597.2,1591.7,1597.0,6705
1786074480,1599.4,1599.8,1594.0,1595.7,2380
1786074540,1595.9,1596.0,1590.7,1590.7,649
1786074600,1591.4,1593.0,1590.9,1592.4,588
1786074660,1591.8,1595.9,1591.8,1595.9,519
1786074720,1595.0,1596.6,1594.3,1594.7,1710
1786074780,1594.6,1594.6,1591.0,1591.7,123
1786074840,1591.8,1591.9,1589.5,1590.1,998
1786074900,1587.6,1590.4,1587.6,1590.2,483
1786074960,1590.4,1590.4,1586.3,1589.5,1196
1786075020,1588.5,1591.8,1588.5,1591.8,1517
1786075080,1590.3,1590.7,1589.3,1590.1,496
1786075140,1587.7,1588.8,1586.7,1587.5,624
1786075200,1588.4,1588.7,1586.6,1586.6,313
1786075260,1584.5,1585.0,1581.7,1582.9,683
1786075320,1582.0,1590.4,1582.0,1589.8,1911
1786075380,1590.8,1590.8,1589.0,1589.8,1040
1786075440,1589.6,1594.2,1588.6,1592.2,1942
1786075500,1593.4,1594.1,1592.1,1592.1,478
1786075560,1592.3,1592.6,1592.3,1592.3,133
1786075620,1593.2,1594.0,1589.6,1589.6,134
1786075680,1588.9,1589.0,1588.0,1588.1,50
1786075740,1588.3,1589.1,1588.1,1588.1,7
1786075800,1588.1,1588.1,1586.1,1587.1,893
1786075860,1587.3,1587.7,1584.8,1587.7,726
1786075920,1589.0,1591.7,1589.0,1590.8,266
1786075980,1591.4,1591.4,1591.0,1591.3,14
1786076040,1592.0,1592.0,1591.2,1591.8,372
1786076100,1592.1,1593.4,1589.8,1589.8,843
1786076160,1590.6,1590.6,1589.6,1589.6,131
1786076220,1589.6,1590.1,1589.6,1590.1,13
1786076280,1588.6,1588.6,1587.9,1588.1,430
1786076340,1588.0,1588.6,1587.0,1588.3,842
1786076400,1587.6,1588.8,1587.6,1588.8,173
1786076460,1588.7,1591.4,1588.4,1590.2,1153
1786076520,1589.6,1590.6,1588.3,1589.5,347
1786076580,1589.0,1591.9,1589.0,1590.7,163
1786076640,1590.6,1593.8,1590.6,1593.8,191
1786076700,1594.6,1595.7,1594.4,1595.6,485
1786076760,1595.9,1595.9,1592.4,1593.3,966
1786076820,1593.4,1594.3,1592.4,1594.0,625
1786076880,1593.4,1594.0,1593.0,1593.1,1575
1786076940,1593.8,1593.8,1592.9,1592.9,323
1786077000,1593.4,1593.5,1592.9,1592.9,65
1786077060,1590.8,1592.9,1588.0,1588.0,3235
1786077120,1587.1,1588.2,1584.1,1585.0,3049
1786077180,1585.6,1585.9,1585.6,1585.7,189
1786077240,1585.8,1587.0,1585.8,1585.8,437
1786077300,1585.8,1585.8,1585.7,1585.7,105
1786077360,1584.6,1584.8,1583.7,1584.8,999
1786077420,1584.8,1585.0,1584.7,1585.0,121
1786077480,1584.7,1584.7,1584.7,1584.7,85
1786077540,1585.0,1585.0,1584.7,1584.7,460
1786077600,1584.1,1584.7,1584.1,1584.2,77
1786077660,1585.0,1585.0,1584.9,1584.9,93
1786077720,1583.9,1583.9,1582.0,1582.8,990
1786077780,1582.2,1585.0,1582.2,1585.0,9067
1786077840,1585.0,1586.8,1585.0,1586.8,294
1786077900,1587.6,1588.5,1586.4,1587.3,1221
1786077960,1585.7,1586.4,1585.6,1586.4,495
1786078020,1585.7,1585.7,1585.7,1585.7,71
1786078080,1585.7,1586.2,1585.0,1585.0,433
1786078140,1585.0,1587.2,1585.0,1587.2,1997
1786078200,1588.0,1588.2,1585.8,1586.6,2798
1786078260,1586.7,1587.0,1586.7,1587.0,380
1786078320,1587.4,1587.4,1587.0,1587.0,14
1786078380,1587.0,1587.4,1584.5,1584.5,1010
1786078440,1584.5,1584.5,1584.5,1584.5,104
1786078500,1584.9,1585.0,1584.6,1585.0,227
1786078560,1585.0,1585.0,1580.3,1580.3,9170
1786078620,1581.0,1581.2,1581.0,1581.2,329
1786078680,1581.2,1582.0,1581.2,1582.0,177
1786078740,1582.0,1582.6,1582.0,1582.5,106
1786078800,1582.6,1583.0,1582.3,1582.3,614
1786078860,1582.1,1582.3,1582.1,1582.2,282
1786078920,1582.0,1582.0,1582.0,1582.0,528
1786078980,1582.1,1583.7,1582.1,1583.1,1118
1786079040,1583.1,1583.2,1579.4,1579.4,2191
1786079100,1580.0,1580.0,1576.1,1576.2,4188
1786079160,1576.2,1577.1,1575.6,1576.5,3829
1786079220,1577.2,1577.2,1576.1,1576.1,919
1786079280,1576.1,1577.6,1576.1,1577.6,1234
1786079340,1577.6,1578.4,1577.6,1577.6,301
1786079400,1576.0,1576.0,1575.8,1576.0,7313
1786079460,1576.1,1577.7,1576.1,1576.1,2004
1786079520,1576.1,1577.2,1575.3,1576.5,2055
1786079580,1576.5,1577.5,1576.5,1576.6,1252
1786079640,1576.6,1576.6,1575.8,1575.8,718
1786079700,1575.8,1575.8,1575.1,1575.1,962
1786079760,1575.3,1575.9,1573.0,1573.9,4507
1786079820,1575.0,1576.0,1575.0,1575.0,776
1786079880,1575.1,1576.5,1575.0,1575.1,1333
1786079940,1575.1,1575.1,1572.0,1572.0,5615
1786080000,1572.0,1572.6,1572.0,1572.4,2558
1786080060,1572.9,1574.1,1572.5,1573.8,5683
1786080120,1573.0,1573.0,1572.8,1573.0,1725
1786080180,1572.9,1574.0,1572.8,1573.0,11692
1786080240,1572.8,1574.6,1572.5,1574.6,1285
1786080300,1574.7,1575.2,1574.1,1574.1,694
1786080360,1574.8,1574.8,1572.4,1572.4,1901
1786080420,1572.1,1572.1,1571.8,1572.0,462
1786080480,1572.0,1572.1,1571.1,1571.9,603
1786080540,1571.9,1571.9,1568.7,1569.1,7825
1786080600,1569.8,1569.8,1568.5,1569.0,789
