time,open,high,low,close,volume
1786074300,1135.0,1146.2,1135.0,1143.2,991
1786074360,1144.0,1148.2,1144.0,1146.6,4518
1786074420,1144.9,1146.6,1144.5,1146.5,186
1786074480,1145.1,1147.2,1145.1,1147.2,296
1786074540,1146.8,1148.7,1146.3,1146.8,698
1786074600,1145.5,1145.5,1143.2,1143.2,347
1786074660,1144.3,1145.5,1144.0,1145.5,194
1786074720,1146.7,1149.6,1146.7,1149.6,168
1786074780,1149.0,1150.0,1146.4,1148.0,758
1786074840,1148.0,1148.4,1148.0,1148.4,9
1786074900,1148.0,1154.8,1147.8,1153.6,1920
1786074960,1155.0,1157.9,1155.0,1157.9,2846
1786075020,1157.3,1158.0,1156.1,1157.1,540
1786075080,1159.2,1160.0,1155.5,1156.0,1804
1786075140,1155.4,1156.9,1155.4,1156.9,473
1786075200,1156.0,1157.3,1156.0,1157.2,128
1786075260,1156.0,1156.0,1154.0,1154.8,902
1786075320,1155.3,1156.7,1155.3,1156.7,229
1786075380,1157.4,1157.4,1157.0,1157.1,115
1786075440,1157.0,1157.8,1157.0,1157.6,233
1786075500,1156.1,1157.0,1155.7,1156.6,190
1786075560,1156.6,1156.6,1156.0,1156.5,201
1786075620,1156.0,1156.1,1155.0,1155.0,113
1786075680,1155.2,1155.3,1154.3,1154.6,74
1786075740,1154.6,1155.5,1154.6,1155.3,204
1786075800,1155.1,1155.3,1154.0,1155.2,101
1786075860,1154.1,1155.0,1151.6,1153.4,461
1786075920,1154.7,1161.8,1154.7,1159.4,2319
1786075980,1159.5,1159.5,1156.6,1157.0,159
1786076040,1157.1,1157.1,1156.9,1157.0,131
1786076100,1157.0,1163.0,1157.0,1162.5,1126
1786076160,1162.5,1166.8,1162.5,1166.0,1397
1786076220,1166.0,1168.9,1166.0,1168.0,1848
1786076280,1167.1,1168.0,1167.0,1167.8,762
1786076340,1167.5,1167.7,1166.6,1167.7,1315
1786076400,1167.0,1168.0,1167.0,1168.0,687
1786076460,1168.0,1168.0,1167.4,1167.4,226
1786076520,1163.2,1163.8,1161.0,1161.0,1685
1786076580,1161.0,1162.3,1161.0,1162.3,322
1786076640,1162.0,1162.0,1161.3,1162.0,341
1786076700,1162.0,1162.0,1161.3,1161.3,59
1786076760,1161.3,1161.3,1160.6,1160.6,192
1786076820,1160.8,1160.9,1160.0,1160.3,353
1786076880,1161.0,1162.0,1161.0,1161.8,248
1786076940,1162.0,1162.2,1162.0,1162.0,14
1786077000,1162.0,1162.7,1162.0,1162.3,308
1786077060,1163.1,1163.1,1162.3,1162.4,78
1786077120,1163.1,1163.4,1162.4,1163.4,256
1786077180,1163.6,1163.6,1162.5,1163.3,772
1786077240,1163.6,1163.8,1163.2,1163.8,105
1786077300,1163.7,1163.7,1162.8,1162.8,27
1786077360,1163.4,1166.0,1162.8,1166.0,587
1786077420,1165.5,1165.5,1163.6,1165.1,812
1786077480,1164.9,1164.9,1163.7,1163.7,213
1786077540,1164.9,1165.0,1164.9,1165.0,213
1786077600,1164.1,1164.9,1164.1,1164.1,57
1786077660,1163.1,1163.6,1163.1,1163.6,674
1786077720,1163.4,1163.4,1162.5,1162.5,38
1786077780,1162.5,1162.9,1162.3,1162.9,274
1786077840,1162.3,1162.9,1162.3,1162.3,43
1786077900,1162.5,1164.3,1159.9,1164.3,2268
1786077960,1164.3,1164.9,1164.3,1164.9,22
1786078020,1164.9,1164.9,1164.1,1164.1,386
1786078080,1162.8,1164.0,1162.1,1162.1,254
1786078140,1161.7,1161.7,1157.0,1157.0,588
1786078200,1158.1,1158.1,1153.1,1153.1,258
1786078260,1153.0,1153.7,1153.0,1153.0,199
1786078320,1153.4,1153.4,1152.2,1152.2,27
1786078380,1153.4,1154.0,1152.0,1152.0,669
1786078440,1152.0,1155.0,1152.0,1155.0,1442
1786078500,1154.5,1154.5,1153.1,1153.3,1246
1786078560,1154.3,1154.3,1154.3,1154.3,30
1786078620,1154.4,1154.4,1153.2,1153.2,156
1786078680,1154.0,1154.1,1154.0,1154.1,84
1786078740,1154.2,1154.2,1153.3,1153.3,115
1786078800,1153.9,1154.0,1153.9,1153.9,49
1786078860,1154.3,1154.3,1154.0,1154.3,26
1786078920,1154.0,1154.0,1154.0,1154.0,90
1786078980,1154.0,1154.8,1154.0,1154.8,204
1786079040,1155.1,1155.1,1154.5,1154.5,52
1786079100,1154.6,1154.6,1154.6,1154.6,7
1786079160,1154.6,1155.1,1154.6,1154.6,122
1786079220,1154.6,1155.4,1154.6,1154.6,38
1786079280,1154.6,1155.3,1154.6,1154.6,20
1786079340,1154.6,1155.6,1154.6,1155.5,187
1786079400,1155.2,1156.9,1155.2,1156.9,86
1786079460,1158.3,1159.3,1158.1,1158.1,380
1786079580,1157.0,1157.0,1157.0,1157.0,40
1786079640,1156.1,1156.1,1153.2,1153.2,769
1786079700,1153.7,1154.9,1153.7,1154.9,44
1786079760,1154.1,1154.1,1154.1,1154.1,11
1786079820,1154.1,1156.0,1154.1,1156.0,410
1786079880,1156.7,1156.7,1156.6,1156.6,100
1786079940,1157.0,1157.0,1157.0,1157.0,8
1786080060,1157.2,1157.2,1156.1,1156.1,49
1786080240,1154.4,1154.4,1154.4,1154.4,11
1786080300,1153.8,1153.9,1153.8,1153.9,70
1786080360,1155.6,1155.6,1155.6,1155.6,143
1786080480,1156.8,1156.8,1156.8,1156.8,27
1786080540,1156.8,1157.0,1156.8,1157.0,13
1786080600,1157.0,1157.0,1156.0,1156.0,18
1786080660,1156.1,1156.1,1155.6,1155.6,61
1786080780,1157.0,1157.8,1156.2,1156.2,563
