time,open,high,low,close,volume
1786074300,4460.1,4464.7,4432.5,4439.2,6067
1786074360,4431.7,4447.1,4431.7,4446.4,2196
1786074420,4445.5,4453.4,4444.5,4452.9,1278
1786074480,4449.4,4452.8,4449.4,4450.2,588
1786074540,4447.3,4449.2,4446.2,4449.0,1158
1786074600,4449.0,4449.4,4446.9,4449.0,297
1786074660,4448.5,4448.5,4439.6,4444.1,1013
1786074720,4444.1,4449.0,4444.1,4448.0,410
1786074780,4448.0,4457.2,4447.9,4455.5,4737
1786074840,4455.4,4463.4,4453.7,4463.4,1894
1786074900,4462.5,4464.0,4448.5,4448.5,1123
1786074960,4450.6,4450.6,4447.9,4447.9,254
1786075020,4445.5,4447.4,4445.5,4446.0,276
1786075080,4445.9,4447.4,4445.9,4447.4,262
1786075140,4447.5,4448.1,4444.7,4445.0,403
1786075200,4446.9,4447.7,4444.7,4445.1,139
1786075260,4445.4,4445.4,4441.8,4443.0,372
1786075320,4441.8,4443.0,4441.8,4443.0,90
1786075380,4443.0,4444.7,4443.0,4444.0,102
1786075440,4441.3,4444.0,4441.3,4443.9,644
1786075500,4443.4,4448.6,4443.4,4447.6,776
1786075560,4446.9,4448.2,4446.2,4446.2,210
1786075620,4447.8,4448.3,4445.7,4445.7,346
1786075680,4446.3,4448.6,4446.3,4448.6,98
1786075740,4448.1,4448.1,4445.4,4447.1,434
1786075800,4446.6,4448.0,4445.5,4447.0,162
1786075860,4447.5,4447.6,4443.0,4443.0,263
1786075920,4444.6,4444.6,4442.3,4442.4,255
1786075980,4443.8,4446.1,4443.7,4446.1,257
1786076040,4445.0,4447.7,4443.9,4447.7,184
1786076100,4448.8,4453.8,4448.8,4453.8,1798
1786076160,4452.8,4452.8,4450.1,4450.5,286
1786076220,4451.0,4452.7,4450.0,4452.2,384
1786076280,4452.2,4453.3,4450.4,4453.3,155
1786076340,4453.3,4453.3,4450.5,4452.5,535
1786076400,4450.5,4450.9,4450.5,4450.9,179
1786076460,4449.4,4452.0,4449.4,4450.7,1643
1786076520,4451.5,4452.0,4450.7,4450.7,128
1786076580,4452.0,4452.5,4450.2,4452.5,614
1786076640,4452.0,4453.2,4449.0,4451.0,1020
1786076700,4450.5,4450.5,4445.4,4448.0,475
1786076760,4448.2,4448.6,4447.9,4448.6,86
1786076820,4448.0,4449.8,4448.0,4449.5,98
1786076880,4448.0,4450.4,4448.0,4450.4,635
1786076940,4450.4,4450.6,4448.6,4449.8,218
1786077000,4448.9,4450.0,4445.7,4445.7,593
1786077060,4445.7,4446.7,4444.3,4446.7,68
1786077120,4445.7,4446.6,4444.2,4446.6,102
1786077180,4446.6,4446.6,4443.8,4443.8,354
1786077240,4444.5,4446.6,4444.5,4446.6,65
1786077300,4446.4,4446.4,4446.0,4446.0,42
1786077360,4445.5,4446.8,4445.5,4446.8,182
1786077420,4446.3,4448.8,4446.3,4448.8,37
1786077480,4448.8,4448.8,4446.2,4447.9,281
