time,open,high,low,close,volume
1786074300,937.1,944.0,930.05,930.05,5363
1786074360,932.3,932.3,928.0,928.8,1893
1786074420,931.4,931.4,927.1,928.15,1142
1786074480,930.5,930.65,930.2,930.2,104
1786074600,928.15,928.15,927.0,927.0,2153
1786074660,929.35,929.35,929.35,929.35,52
1786074720,929.85,930.45,929.85,930.45,12
1786074780,930.45,930.45,928.0,928.0,109
1786074840,927.0,928.35,925.0,926.0,2853
1786074900,925.0,927.85,925.0,927.85,866
1786074960,927.3,927.3,927.3,927.3,182
1786075020,926.45,926.45,924.0,925.0,2208
1786075080,924.5,924.8,924.0,924.0,2668
1786075140,924.45,924.45,923.1,924.45,2815
1786075200,924.45,924.45,924.4,924.4,102
1786075260,924.4,924.65,924.4,924.65,177
1786075320,923.05,925.85,923.05,925.85,667
1786075380,926.45,926.45,925.25,925.25,115
1786075440,924.4,925.45,924.4,925.45,605
1786075500,925.4,925.4,925.4,925.4,3
1786075560,925.95,925.95,924.85,924.85,207
1786075620,925.05,925.05,925.05,925.05,159
1786075680,925.9,925.9,924.25,924.25,28
1786075800,924.1,924.1,924.1,924.1,19
1786075860,924.55,924.55,923.55,923.55,1043
1786075920,923.65,924.0,923.65,924.0,17
1786075980,923.8,923.8,923.8,923.8,18
1786076040,925.05,925.1,925.05,925.1,27
1786076100,925.15,925.15,925.15,925.15,1014
1786076160,925.0,925.0,923.85,923.85,504
1786076280,924.0,924.0,923.0,923.0,500
1786076340,923.75,923.75,923.75,923.75,16
1786076400,923.4,923.6,922.4,922.4,153
1786076460,923.5,924.6,923.5,924.6,744
1786076520,924.6,924.6,924.6,924.6,52
1786076580,924.0,924.0,924.0,924.0,50
1786076640,924.65,924.65,923.15,923.15,125
1786076700,924.5,924.5,924.5,924.5,1
1786076820,923.75,925.3,923.35,925.3,878
1786076880,925.6,925.6,924.85,924.85,152
1786076940,924.85,924.85,924.85,924.85,54
1786077000,924.0,924.0,924.0,924.0,158
1786077120,923.45,923.75,922.0,922.0,2550
1786077240,923.45,923.45,923.45,923.45,1
1786077360,924.15,924.15,923.45,923.45,3
1786077480,923.45,923.45,923.45,923.45,1
1786077600,923.45,923.45,923.45,923.45,1
1786077660,923.45,924.15,923.45,924.15,2
1786077780,923.45,923.45,923.45,923.45,13
1786077840,923.45,923.45,923.45,923.45,10
1786077900,923.45,923.45,923.45,923.45,1
1786077960,923.45,923.45,923.45,923.45,702
1786078020,922.6,922.6,922.6,922.6,110
1786078080,922.25,922.65,921.15,922.65,4948
1786078140,922.9,922.95,922.9,922.95,116
1786078200,922.95,922.95,922.95,922.95,1
1786078260,923.65,923.65,923.65,923.65,5
1786078320,922.95,922.95,922.95,922.95,1
1786078380,922.45,923.65,922.45,923.65,178
1786078440,923.65,924.6,923.65,924.6,22
1786078500,924.45,924.45,923.8,923.8,7
1786078560,925.7,925.9,925.7,925.9,477
1786078620,925.8,925.8,925.8,925.8,11
1786078740,925.15,925.15,925.15,925.15,2
1786078800,925.35,925.35,925.35,925.35,77
1786078860,925.25,926.5,925.25,926.2,73
1786078980,925.0,925.35,924.1,924.1,993
1786079040,927.2,927.2,926.7,926.7,1098
1786079100,925.0,925.0,923.85,923.85,698
1786079220,925.4,925.4,925.4,925.4,12
1786079280,925.55,925.55,925.55,925.55,1
1786079340,926.4,926.4,926.4,926.4,111
1786079400,925.55,925.55,925.55,925.55,1
1786079460,926.35,926.35,926.35,926.35,1
1786079520,925.55,925.55,925.55,925.55,101
1786079640,926.3,926.5,926.3,926.5,5
1786079700,926.0,926.2,926.0,926.2,17
1786079760,925.55,925.55,925.55,925.55,1
1786079940,925.55,926.45,925.55,926.45,10
1786080000,926.0,926.0,926.0,926.0,15
1786080060,925.6,925.6,925.6,925.6,1
1786080120,925.4,925.4,925.4,925.4,10
1786080180,925.35,925.35,925.35,925.35,1
1786080300,925.45,925.45,925.45,925.45,1
1786080420,925.5,925.5,925.5,925.5,5
1786080480,925.4,925.4,925.4,925.4,9
1786080540,925.35,925.35,925.35,925.35,6
1786080600,925.3,925.3,924.85,924.85,19
1786080660,926.05,926.05,925.8,925.8,309
1786080720,925.4,925.4,925.4,925.4,1
1786080780,926.7,927.1,926.7,927.1,228
1786080840,927.15,927.15,926.4,926.4,3
1786080900,928.25,928.25,928.25,928.25,3430
1786080960,929.4,929.85,929.4,929.85,26
1786081020,929.05,929.5,928.0,929.5,1107
1786081080,928.45,928.45,928.45,928.45,507
1786081140,927.5,928.8,927.5,928.8,21
1786081260,927.9,927.9,927.85,927.85,2
1786081320,927.85,927.85,927.85,927.85,30
1786081380,927.65,927.65,927.65,927.65,1
1786081440,927.65,927.65,927.65,927.65,19
1786081500,927.65,927.65,927.65,927.65,333
1786081560,927.65,929.45,927.65,928.65,1325
1786081620,928.65,928.65,928.1,928.1,34
1786081680,928.1,928.95,927.7,928.5,260
1786081740,928.5,928.5,928.5,928.5,34
1786081800,928.5,928.5,928.5,928.5,43
1786081860,928.5,929.05,928.2,929.05,88
1786081920,929.15,929.15,928.15,928.15,37
1786081980,928.15,928.15,928.15,928.15,34
1786082040,928.15,928.2,926.4,926.4,2221
1786082100,927.65,928.0,927.4,928.0,3037
1786082160,927.85,927.85,927.65,927.65,219
1786082220,927.65,927.65,927.65,927.65,6188
1786082280,927.65,927.65,927.65,927.65,1768
