time,open,high,low,close,volume
1786074300,362.05,363.55,361.5,363.55,58209
1786074360,363.35,364.15,363.35,363.65,23814
1786074420,363.9,364.15,363.3,363.3,10602
1786074480,363.15,363.15,362.8,362.8,8904
1786074540,362.7,363.35,362.7,363.0,20389
1786074600,363.05,363.15,362.95,362.95,5223
1786074660,363.0,363.8,362.75,363.8,27732
1786074720,363.8,363.8,363.65,363.65,1400
1786074780,363.7,363.8,363.4,363.8,22905
1786074840,363.85,363.85,362.55,362.55,33733
1786074900,362.6,362.8,362.6,362.8,27540
1786074960,362.7,362.95,362.7,362.75,3471
1786075020,362.7,362.9,362.35,362.6,30816
1786075080,362.85,362.85,362.5,362.5,2454
1786075140,362.55,362.55,362.0,362.15,33941
1786075200,362.05,362.15,362.05,362.15,2175
1786075260,362.2,362.7,362.2,362.55,5553
1786075320,362.65,362.8,362.55,362.7,1836
1786075380,362.6,363.4,362.6,363.35,2992
1786075440,363.4,363.7,363.4,363.5,2297
1786075500,363.7,364.2,363.4,364.1,23642
1786075560,363.95,364.7,363.95,364.7,6776
1786075620,364.8,365.25,364.7,365.25,36340
1786075680,365.3,366.4,365.15,366.3,64939
1786075740,366.45,367.0,366.3,366.5,14345
1786075800,366.7,367.75,366.7,367.75,35897
1786075860,367.5,367.9,367.35,367.6,21370
1786075920,367.7,368.25,367.5,368.15,18750
1786075980,368.15,368.3,367.7,368.0,46490
1786076040,367.95,368.45,367.85,368.0,32494
1786076100,368.0,368.7,368.0,368.25,18143
1786076160,368.45,368.45,367.4,367.5,8501
1786076220,367.4,367.45,366.75,366.8,10627
1786076280,366.75,366.85,366.45,366.45,7422
1786076340,366.45,366.6,366.45,366.5,10951
1786076400,366.5,366.5,366.0,366.2,6741
1786076460,366.4,366.75,366.4,366.75,2059
1786076520,366.5,366.8,366.5,366.6,3131
1786076580,366.65,366.85,366.6,366.85,5079
1786076640,366.85,366.85,366.7,366.7,1818
1786076700,366.75,367.2,366.6,367.2,6648
1786076760,367.25,367.25,366.7,366.9,2583
1786076820,366.85,366.85,366.5,366.65,3713
1786076880,366.4,366.45,366.3,366.35,2251
1786076940,366.45,366.5,366.25,366.5,2410
1786077000,366.65,366.7,366.5,366.5,4088
1786077060,366.5,366.55,366.35,366.55,9554
1786077120,366.4,366.5,366.2,366.2,7890
1786077180,366.2,366.75,366.2,366.5,5475
1786077240,366.5,366.6,366.25,366.4,1298
1786077300,366.3,366.6,366.3,366.5,1219
1786077360,366.35,366.5,366.35,366.5,2034
1786077420,366.4,366.55,366.4,366.55,13666
1786077480,366.55,367.5,366.55,367.4,18467
1786077540,367.35,367.65,367.15,367.45,4829
1786077600,367.65,367.7,367.45,367.6,27553
1786077660,367.6,367.6,367.2,367.4,1454
1786077720,367.2,367.4,367.0,367.0,5628
1786077780,367.05,367.05,366.5,366.5,7331
1786077840,366.5,366.6,366.45,366.45,870
1786077900,366.5,366.5,366.25,366.4,1276
1786077960,366.25,366.4,366.25,366.4,2114
1786078020,366.3,366.95,366.3,366.75,6783
1786078080,366.6,366.6,366.15,366.15,2881
1786078140,366.1,366.1,366.0,366.1,2168
1786078200,366.05,366.85,366.0,366.85,557237
1786078260,366.7,366.8,366.45,366.7,9437
1786078320,366.75,366.75,366.3,366.45,266356
1786078380,366.3,366.3,366.1,366.15,3523
1786078440,366.15,366.15,366.0,366.0,549
1786078500,366.0,366.1,365.65,365.65,5913
1786078560,365.75,365.75,365.65,365.7,1935
1786078620,365.7,365.75,365.5,365.5,2813
1786078680,365.5,365.95,365.5,365.5,355675
1786078740,365.6,365.6,365.25,365.35,5357
1786078800,365.45,365.6,365.3,365.6,1826
1786078860,365.6,365.75,365.55,365.55,5386
1786078920,365.4,365.5,365.4,365.4,358
1786078980,365.35,365.7,365.35,365.55,1696
1786079040,365.55,365.9,365.55,365.8,1947
1786079100,365.95,365.95,365.8,365.8,490
1786079160,365.7,365.9,365.65,365.9,1647
1786079220,365.9,365.9,365.55,365.8,746
1786079280,365.7,365.7,365.55,365.7,438
1786079340,365.6,365.7,365.55,365.55,579
1786079400,365.55,365.8,365.5,365.55,3759
1786079460,365.6,365.75,365.55,365.7,863
1786079520,365.7,365.7,365.55,365.55,145
1786079580,365.55,365.85,365.5,365.85,3389
1786079640,365.75,365.95,365.65,365.95,3645
1786079700,365.95,365.95,365.5,365.85,52610
1786079760,365.8,365.85,365.65,365.85,2349
1786079820,365.85,366.4,365.85,366.25,3304
1786079880,366.25,366.4,366.05,366.1,2154
1786079940,365.95,366.2,365.95,366.0,3374
1786080000,366.35,366.35,366.15,366.25,1915
1786080060,366.25,366.25,366.2,366.2,907
1786080120,366.15,366.15,366.0,366.0,1849
1786080180,366.0,366.2,366.0,366.0,7694
1786080240,366.0,366.05,365.95,365.95,3995
1786080300,365.8,365.8,365.65,365.8,704
1786080360,366.0,366.0,365.8,366.0,767
1786080420,366.05,366.05,365.8,366.0,511
1786080480,365.95,365.95,365.75,365.85,4054
1786080540,365.85,365.85,365.5,365.5,12837
1786080600,365.5,365.85,365.5,365.7,16012
1786080660,365.6,365.7,365.35,365.35,865
1786080720,365.5,365.65,365.5,365.5,1020
1786080780,365.5,365.8,365.4,365.65,13319
1786080840,366.0,366.1,366.0,366.1,32552
1786080900,366.1,366.5,366.1,366.5,8060
1786080960,366.8,366.8,366.55,366.65,967
1786081020,366.5,366.5,366.2,366.2,1178
1786081080,366.2,366.4,366.15,366.35,4454
1786081140,366.2,366.55,366.2,366.55,113599
1786081200,366.45,366.75,366.45,366.7,37207
1786081260,366.7,367.1,366.25,367.1,52787
1786081320,367.0,367.1,367.0,367.1,15191
1786081380,367.25,367.7,367.25,367.55,5633
1786081440,367.75,367.9,367.75,367.8,2222
1786081500,367.75,368.05,367.65,368.0,122734
1786081560,367.7,367.75,367.4,367.45,3579
1786081620,367.4,367.45,367.35,367.4,6056
1786081680,367.45,367.95,367.45,367.6,24627
1786081740,367.6,367.8,367.55,367.65,4659
1786081800,367.65,367.8,367.6,367.8,1772
1786081860,367.95,367.95,367.7,367.85,16648
1786081920,367.85,367.85,367.3,367.3,19983
1786081980,367.4,367.85,367.4,367.7,9641
1786082040,367.7,368.0,367.5,367.7,70822
1786082100,367.65,367.75,367.5,367.75,2387
1786082160,367.75,367.9,367.6,367.75,10808
1786082220,368.0,368.05,367.95,368.0,27388
1786082280,368.0,368.1,367.55,368.0,87749
1786082340,368.0,368.1,367.35,367.35,48368
1786082400,367.45,367.55,367.1,367.1,13925
1786082460,367.3,367.65,367.15,367.55,4003
1786082520,367.5,367.6,367.45,367.45,1670
1786082580,367.35,367.5,367.35,367.4,983
1786082640,367.5,367.5,367.35,367.5,2535
1786082700,367.35,367.5,367.35,367.45,5247
1786082760,367.5,367.5,367.4,367.4,2541
1786082820,367.4,367.5,367.35,367.5,1227
1786082880,367.65,367.95,367.65,367.95,1362
1786082940,367.8,367.95,367.8,367.95,309
1786083000,367.75,367.75,367.35,367.55,3573
1786083060,367.55,367.55,367.0,367.0,18137
1786083120,367.0,367.1,366.9,367.0,5301
1786083180,367.0,367.5,367.0,367.5,1418
1786083240,367.4,367.4,367.25,367.25,1779
1786083300,367.3,367.6,367.25,367.6,2868
1786083360,367.7,367.7,367.3,367.4,3138
1786083420,367.4,367.5,367.25,367.25,931
1786083480,367.25,367.25,367.25,367.25,170
1786083540,367.2,367.35,367.05,367.05,1795
1786083600,367.05,367.1,366.85,367.1,4795
1786083660,367.1,367.15,367.0,367.0,215
1786083720,367.05,367.15,367.05,367.1,1978
1786083780,367.0,367.1,367.0,367.0,3168
1786083840,367.0,367.1,367.0,367.1,2325
1786083900,367.1,367.1,367.0,367.0,855
1786083960,367.1,367.1,367.0,367.0,346
1786084020,367.7,367.9,367.2,367.4,113204
1786084080,367.25,367.4,367.15,367.4,2572
1786084140,367.2,367.4,367.15,367.4,2418
1786084200,367.4,367.4,367.3,367.4,4192
1786084260,367.45,367.6,367.25,367.35,1780
