time,open,high,low,close,volume
1786074300,176.23,176.8,175.0,176.77,271723
1786074360,176.88,176.88,176.24,176.24,51688
1786074420,176.24,176.43,176.24,176.41,48836
1786074480,176.36,176.76,176.36,176.76,32449
1786074540,176.75,176.75,176.5,176.58,30144
1786074600,176.5,176.51,176.3,176.32,58633
1786074660,176.34,176.5,176.34,176.46,14327
1786074720,176.5,176.5,176.42,176.5,10154
1786074780,176.46,176.48,176.35,176.43,30934
1786074840,176.45,176.45,176.2,176.2,25080
1786074900,176.25,176.57,176.2,176.55,13760
1786074960,176.56,176.56,176.5,176.5,14710
1786075020,176.5,176.5,176.23,176.41,19022
1786075080,176.48,176.48,176.22,176.29,13728
1786075140,176.29,176.4,176.2,176.2,13716
1786075200,176.33,176.38,176.22,176.37,15917
1786075260,176.26,176.36,175.91,176.09,68906
1786075320,176.09,176.2,175.93,175.93,14163
1786075380,175.98,175.99,175.88,175.89,22498
1786075440,175.87,176.14,175.8,176.14,36586
1786075500,176.14,176.26,176.14,176.22,19148
1786075560,176.22,176.22,176.04,176.04,16411
1786075620,176.09,176.16,176.01,176.06,23539
1786075680,176.02,176.26,176.0,176.26,21685
1786075740,176.23,176.37,176.23,176.34,67360
1786075800,176.34,176.47,176.34,176.47,41740
1786075860,176.52,176.52,176.22,176.22,43000
1786075920,176.26,176.41,176.26,176.4,82257
1786075980,176.4,176.43,176.25,176.25,17826
1786076040,176.34,176.61,176.23,176.55,54123
1786076100,176.63,176.85,176.58,176.65,79585
1786076160,176.65,176.75,176.6,176.63,35121
1786076220,176.62,176.62,176.48,176.56,28958
1786076280,176.52,176.53,176.36,176.36,13599
1786076340,176.5,176.52,176.4,176.4,10890
1786076400,176.42,176.47,176.41,176.47,7455
1786076460,176.5,176.7,176.47,176.64,46779
1786076520,176.69,176.7,176.55,176.55,18864
1786076580,176.6,176.64,176.51,176.52,31892
1786076640,176.57,176.57,176.41,176.51,12681
1786076700,176.42,176.69,176.42,176.69,9868
1786076760,176.65,176.8,176.65,176.71,21322
1786076820,176.76,176.77,176.65,176.65,36042
1786076880,176.64,176.64,176.55,176.55,26437
1786076940,176.55,176.55,176.52,176.52,11521
1786077000,176.52,176.53,176.47,176.47,15359
1786077060,176.52,176.52,176.46,176.51,15770
1786077120,176.46,176.48,176.46,176.46,7904
1786077180,176.4,176.4,176.27,176.3,39546
1786077240,176.36,176.47,176.36,176.41,3252
1786077300,176.46,176.49,176.39,176.39,10502
1786077360,176.44,176.44,176.38,176.38,4775
1786077420,176.43,176.43,176.32,176.38,8225
1786077480,176.43,176.45,176.36,176.45,4170
1786077540,176.45,176.49,176.41,176.49,4802
1786077600,176.45,176.45,176.3,176.31,21691
1786077660,176.33,176.37,176.31,176.35,16164
1786077720,176.39,176.39,176.26,176.26,13630
1786077780,176.24,176.24,176.08,176.09,19409
1786077840,176.25,176.34,176.16,176.34,50631
1786077900,176.39,176.39,176.2,176.2,9083
1786077960,176.2,176.2,176.1,176.1,11036
1786078020,176.1,176.14,176.08,176.14,24191
1786078080,176.14,176.14,175.8,175.81,49505
1786078140,175.86,175.86,175.73,175.73,60829
1786078200,175.74,175.87,175.74,175.85,11981
1786078260,175.86,175.89,175.78,175.89,8341
1786078320,175.85,175.85,175.74,175.75,40850
1786078380,175.74,175.74,175.65,175.74,18554
1786078440,175.75,175.9,175.74,175.8,21849
1786078500,175.77,175.89,175.75,175.89,12431
1786078560,175.9,176.0,175.9,175.95,19776
1786078620,175.93,176.01,175.89,175.89,18458
1786078680,175.87,175.91,175.78,175.78,12275
1786078740,175.77,175.82,175.77,175.81,28512
