time,open,high,low,close,volume
1786074300,526.85,527.35,522.8,523.7,9442
1786074360,522.4,526.75,522.4,526.75,4361
1786074420,528.3,528.3,527.0,527.0,4169
1786074480,527.5,527.5,526.5,526.75,2243
1786074540,527.05,527.35,527.0,527.35,1228
1786074600,527.3,527.7,527.0,527.4,1055
1786074660,529.05,533.1,529.0,533.1,10377
1786074720,532.15,533.7,531.65,532.05,7767
1786074780,532.55,532.55,530.7,530.7,5128
1786074840,530.75,530.75,527.65,527.65,4619
1786074900,527.65,529.3,527.65,528.45,3028
1786074960,528.5,529.0,528.2,528.2,1300
1786075020,527.1,527.9,527.1,527.6,373
1786075080,527.85,528.3,527.7,527.7,1723
1786075140,528.0,528.6,527.9,528.6,616
1786075200,528.55,528.55,528.2,528.55,370
1786075260,528.3,528.7,528.2,528.55,311
1786075320,528.85,530.2,528.85,530.2,1476
1786075380,530.2,530.2,529.25,529.85,800
1786075440,529.75,530.5,529.75,530.5,1256
1786075500,530.0,530.0,528.7,528.8,1455
1786075560,529.15,529.15,528.8,529.0,909
1786075620,529.35,529.35,527.7,527.7,1394
1786075680,527.9,528.65,527.9,528.25,302
1786075740,528.8,529.45,528.65,529.45,1546
1786075800,529.5,529.7,529.3,529.7,525
1786075860,529.0,529.0,528.6,529.0,1717
1786075920,528.75,529.8,528.75,529.8,237
1786075980,529.4,530.35,529.25,529.25,8195
1786076040,529.3,529.4,529.05,529.05,56
1786076100,529.4,536.95,529.4,536.2,14034
1786076160,536.3,538.5,536.3,537.35,9381
1786076220,537.5,539.95,537.5,539.55,9384
1786076280,539.2,539.55,537.35,537.35,14341
1786076340,537.5,537.5,536.15,536.3,4718
1786076400,536.7,536.95,536.35,536.45,1403
1786076460,536.95,537.0,536.45,536.75,1892
1786076520,536.6,537.2,535.0,535.0,2903
1786076580,534.45,534.85,533.6,534.45,2699
1786076640,534.45,534.85,534.4,534.85,1946
1786076700,535.15,535.5,534.6,534.65,2289
1786076760,534.65,534.65,530.6,530.6,6058
1786076820,530.8,530.95,529.35,529.65,1240
1786076880,529.4,529.4,528.9,529.3,3654
1786076940,529.55,530.7,529.55,530.7,829
1786077000,530.3,530.7,530.3,530.4,132
1786077060,530.4,530.4,528.55,529.45,3685
1786077120,529.2,529.2,528.35,529.0,1069
1786077180,528.5,529.25,528.5,529.25,602
1786077240,529.2,529.3,529.0,529.05,743
1786077300,529.05,529.55,529.05,529.55,62
1786077360,529.6,529.85,529.4,529.4,208
1786077420,530.15,531.4,530.15,531.1,1784
1786077480,531.65,532.45,531.6,531.6,6998
1786077540,532.8,533.2,532.8,533.2,3970
1786077600,533.95,533.95,532.7,532.7,1679
1786077660,532.05,532.75,532.05,532.1,1082
1786077720,532.4,532.85,532.4,532.4,466
1786077780,532.4,532.4,532.4,532.4,2096
1786077840,532.5,532.8,532.5,532.8,233
1786077900,532.6,532.6,532.4,532.6,311
1786077960,532.85,532.85,532.6,532.6,80
1786078020,532.6,532.85,532.6,532.85,569
1786078080,532.6,532.85,532.4,532.4,379
1786078140,532.4,532.85,532.4,532.85,152
1786078200,532.5,533.0,532.5,533.0,478
1786078260,533.1,533.1,532.85,532.85,584
1786078320,532.3,532.3,532.3,532.3,55
1786078380,532.75,532.75,532.15,532.2,348
1786078440,532.85,532.85,532.2,532.5,308
1786078500,532.85,532.85,532.3,532.3,872
1786078560,532.4,532.7,532.2,532.2,158
1786078620,532.2,532.5,532.2,532.5,22
1786078680,532.15,532.7,532.15,532.7,378
1786078740,532.8,532.8,532.8,532.8,31
1786078800,532.75,532.75,532.5,532.5,223
1786078860,532.4,532.4,532.4,532.4,8
1786078920,532.25,532.25,531.5,531.6,340
1786078980,531.6,531.6,531.1,531.6,184
1786079040,531.55,531.55,531.05,531.05,1180
1786079100,531.05,531.25,531.05,531.25,354
1786079160,531.55,531.55,531.5,531.5,168
1786079220,531.15,531.15,530.7,530.7,422
1786079280,531.15,531.15,530.2,530.85,1748
1786079340,530.75,531.3,530.75,530.8,291
1786079400,531.15,531.15,531.15,531.15,2
1786079460,530.9,531.5,530.9,530.9,503
1786079520,531.45,531.5,531.45,531.5,226
1786079640,531.5,531.5,531.4,531.4,127
1786079700,531.5,531.95,531.5,531.95,301
1786079760,531.5,531.55,531.5,531.55,148
1786079820,531.95,531.95,531.55,531.8,201
1786079880,531.55,531.55,531.5,531.5,185
1786079940,531.5,531.85,531.5,531.85,366
1786080000,531.75,531.75,531.75,531.75,4
1786080120,531.3,531.3,530.9,531.2,1604
1786080180,530.95,531.6,530.9,531.6,1283
1786080240,531.6,531.6,531.15,531.15,309
1786080300,531.55,531.55,531.55,531.55,40
1786080360,531.2,532.05,531.2,532.05,477
1786080420,532.15,532.15,532.15,532.15,150
1786080480,532.15,532.15,531.15,531.15,1657
1786080600,531.2,531.2,531.2,531.2,13
1786080660,531.2,531.25,530.5,530.5,1912
1786080720,530.65,531.1,530.65,530.75,162
1786080780,530.65,530.7,530.3,530.3,239
1786080840,530.3,530.4,530.05,530.4,716
1786080900,530.7,530.8,530.4,530.4,351
1786080960,530.8,531.0,530.5,530.85,320
1786081020,530.85,530.85,530.85,530.85,30
1786081080,530.85,530.85,530.6,530.6,41
1786081140,531.2,531.3,531.2,531.3,836
1786081200,531.25,531.25,531.25,531.25,124
1786081260,531.15,531.15,530.9,530.9,35
1786081320,530.35,530.35,530.35,530.35,24
1786081380,530.75,530.75,529.9,530.2,887
1786081440,530.25,530.55,530.1,530.55,93
1786081500,530.5,530.5,530.5,530.5,13
1786081560,530.5,530.5,530.5,530.5,10
1786081620,531.3,531.85,531.3,531.85,1207
1786081680,531.6,532.35,531.6,532.35,2769
1786081740,531.7,531.7,530.15,530.15,530
1786081800,529.9,529.9,529.55,529.55,315
1786081860,530.0,532.1,530.0,531.4,1973
1786081920,531.5,531.5,531.0,531.0,24
1786081980,531.5,531.5,531.0,531.0,525
1786082040,531.0,531.0,531.0,531.0,23
1786082100,531.0,531.25,531.0,531.25,486
1786082160,531.0,531.05,531.0,531.05,23
1786082220,531.05,531.4,531.05,531.15,46
1786082280,531.15,531.15,531.15,531.15,60
1786082340,531.15,531.65,530.35,530.35,714
1786082400,530.2,531.8,530.2,531.3,345
1786082460,531.3,531.8,531.3,531.8,133
1786082520,531.5,531.5,531.5,531.5,35
1786082580,531.3,531.7,531.3,531.7,61
1786082640,531.65,531.65,530.95,531.05,564
1786082700,531.05,531.45,531.05,531.1,189
1786082760,531.65,531.65,531.65,531.65,18
1786082880,531.4,531.4,531.2,531.2,2
1786082940,531.2,531.2,531.2,531.2,30
1786083000,531.4,531.4,531.4,531.4,79
1786083060,531.5,531.65,531.5,531.65,127
1786083120,531.4,531.4,531.4,531.4,17
1786083240,531.4,531.6,531.4,531.4,12
1786083300,531.6,531.65,531.6,531.65,61
1786083360,531.45,531.45,531.45,531.45,27
1786083420,531.7,531.7,531.7,531.7,100
1786083480,531.5,531.85,531.5,531.85,389
1786083540,531.5,531.85,531.5,531.85,60
1786083600,531.85,531.85,531.85,531.85,1
1786083660,531.85,531.9,531.85,531.9,261
1786083720,531.15,531.7,531.15,531.7,1144
1786083780,531.25,531.25,531.25,531.25,25
1786083840,531.65,531.65,531.65,531.65,48
1786083900,531.85,531.85,530.7,530.7,11368
1786083960,530.9,530.9,530.7,530.7,371
1786084020,530.65,530.65,530.65,530.65,354
1786084080,530.9,531.55,530.9,531.15,894
1786084140,531.3,531.5,531.3,531.5,78
1786084200,529.2,529.2,528.15,528.15,5290
1786084260,528.05,529.2,528.05,529.2,1529
1786084320,528.5,528.5,528.5,528.5,520
1786084380,528.65,528.65,528.5,528.5,58
1786084440,528.5,528.65,528.5,528.65,118
1786084500,528.65,528.65,528.65,528.65,31
1786084560,528.45,528.45,528.45,528.45,118
1786084620,528.5,528.55,528.5,528.55,51
1786084680,528.15,528.6,528.15,528.3,544
1786084740,528.9,528.9,528.7,528.7,625
1786084800,527.9,528.0,527.15,527.95,7860
1786084860,528.1,528.7,528.1,528.55,1188
1786084920,528.45,528.6,528.45,528.6,212
1786084980,528.65,529.05,528.05,528.05,729
