time,open,high,low,close,volume
1786074300,1134.0,1134.0,1118.5,1122.4,73011
1786074360,1122.3,1123.6,1120.2,1120.9,64784
1786074420,1120.7,1123.0,1117.2,1117.7,61695
1786074480,1116.9,1121.4,1116.9,1121.4,39434
1786074540,1121.5,1122.1,1120.1,1121.0,15256
1786074600,1120.6,1120.6,1118.8,1119.2,16823
1786074660,1120.8,1120.8,1117.4,1117.9,18558
1786074720,1117.8,1119.7,1116.4,1117.0,70256
1786074780,1116.5,1118.0,1115.5,1117.6,32702
1786074840,1117.6,1118.5,1116.7,1116.7,14316
1786074900,1116.3,1116.6,1115.0,1116.6,28179
1786074960,1117.0,1118.0,1117.0,1117.4,11088
1786075020,1117.0,1117.6,1116.3,1117.6,11947
1786075080,1117.6,1117.7,1116.0,1117.6,17244
1786075140,1117.1,1117.7,1116.9,1117.1,11037
1786075200,1117.1,1117.1,1116.5,1117.1,11037
1786075260,1117.0,1118.5,1117.0,1118.4,12632
1786075320,1118.8,1120.5,1118.8,1120.5,8355
1786075380,1120.0,1120.4,1119.8,1120.4,16169
1786075440,1120.5,1120.5,1118.5,1119.1,9298
1786075500,1119.0,1120.1,1119.0,1119.5,8922
1786075560,1119.4,1119.8,1119.2,1119.6,4817
1786075620,1119.7,1119.7,1119.0,1119.0,5041
1786075680,1119.2,1119.4,1117.9,1118.4,7496
1786075740,1118.6,1119.6,1118.6,1118.8,11833
1786075800,1118.6,1119.6,1118.6,1119.6,2454
1786075860,1119.9,1119.9,1118.7,1119.1,7863
1786075920,1118.8,1123.0,1118.8,1122.8,27836
1786075980,1123.0,1126.0,1121.5,1125.2,54295
1786076040,1125.9,1125.9,1124.4,1125.3,18365
1786076100,1125.5,1126.5,1125.5,1126.5,13278
1786076160,1125.6,1125.6,1125.1,1125.5,10584
1786076220,1124.3,1125.2,1123.7,1124.8,5819
1786076280,1124.5,1124.9,1124.0,1124.5,8071
1786076340,1124.9,1125.5,1124.8,1125.5,18491
1786076400,1125.5,1125.5,1125.1,1125.5,5557
1786076460,1125.8,1126.2,1125.7,1126.2,8063
1786076520,1126.3,1126.3,1125.9,1125.9,5752
1786076580,1125.9,1126.0,1125.9,1126.0,3449
1786076640,1125.9,1126.7,1125.9,1126.5,12416
1786076700,1127.0,1127.3,1126.9,1127.3,5219
1786076760,1127.1,1128.6,1127.1,1127.5,25365
1786076820,1127.5,1127.5,1126.0,1126.0,6202
1786076880,1126.5,1128.4,1125.7,1128.4,16022
1786076940,1128.3,1128.4,1128.0,1128.1,6680
1786077000,1127.9,1128.7,1127.1,1127.3,16509
1786077060,1128.0,1128.0,1126.6,1126.8,6255
1786077120,1126.8,1127.0,1126.8,1126.9,3310
1786077180,1126.8,1126.9,1126.5,1126.7,4403
1786077240,1126.2,1126.2,1125.3,1125.7,3775
1786077300,1125.5,1125.5,1125.3,1125.3,14449
1786077360,1125.2,1125.9,1125.2,1125.9,6785
1786077420,1125.8,1126.1,1125.8,1126.1,3676
1786077480,1126.2,1126.9,1126.1,1126.3,7238
