time,open,high,low,close,volume
1786074300,3980.5,3984.5,3955.1,3976.9,8316
1786074360,3972.6,3975.4,3952.0,3953.9,3359
1786074420,3954.3,3958.6,3942.1,3943.0,3685
1786074480,3943.0,3949.2,3942.1,3949.0,946
1786074540,3949.0,3963.4,3945.4,3958.7,1775
1786074600,3958.7,3963.0,3952.2,3963.0,2113
1786074660,3960.9,3965.0,3957.5,3961.8,1493
1786074720,3961.1,3961.1,3951.7,3956.6,1207
1786074780,3957.9,3958.0,3950.5,3951.9,678
1786074840,3951.9,3958.9,3951.4,3953.8,1049
1786074900,3954.7,3954.7,3944.8,3950.0,1840
1786074960,3949.9,3964.8,3945.2,3961.0,3788
1786075020,3959.4,3964.8,3956.4,3961.2,1929
1786075080,3963.3,3963.3,3947.2,3947.2,2701
1786075140,3949.0,3953.6,3949.0,3951.7,539
1786075200,3955.8,3959.0,3950.3,3958.1,430
1786075260,3958.0,3961.5,3954.5,3955.3,2099
1786075320,3957.8,3962.9,3956.0,3962.9,453
1786075380,3962.9,3964.0,3957.5,3961.6,2020
1786075440,3958.7,3962.8,3950.1,3953.6,1523
1786075500,3945.6,3946.6,3935.1,3937.0,3368
1786075560,3937.1,3938.4,3930.0,3933.5,2386
1786075620,3933.6,3939.9,3930.0,3934.0,1413
1786075680,3934.1,3940.0,3931.0,3940.0,873
1786075740,3939.3,3943.1,3938.0,3943.1,389
1786075800,3940.8,3944.2,3936.0,3944.2,480
1786075860,3944.0,3946.4,3942.2,3946.2,308
1786075920,3946.7,3954.8,3945.3,3951.8,821
1786075980,3952.8,3959.0,3950.1,3959.0,739
1786076040,3960.0,3961.7,3958.0,3960.9,1230
1786076100,3960.5,3963.1,3957.6,3957.6,3709
1786076160,3959.3,3959.3,3953.3,3954.9,875
1786076220,3954.8,3956.9,3952.3,3953.5,989
1786076280,3950.4,3950.4,3941.5,3945.0,2104
1786076340,3945.9,3949.2,3945.9,3949.0,134
1786076400,3949.2,3949.2,3946.1,3948.5,629
1786076460,3948.9,3954.0,3947.8,3953.9,632
1786076520,3952.6,3954.2,3947.3,3947.3,363
1786076580,3948.5,3951.4,3947.5,3951.1,473
1786076640,3951.0,3953.7,3949.1,3953.7,233
1786076700,3952.2,3960.0,3952.2,3959.7,709
1786076760,3960.0,3960.0,3955.6,3955.6,604
1786076820,3957.0,3959.9,3955.0,3955.5,781
1786076880,3955.1,3956.0,3954.0,3955.0,69
1786076940,3957.3,3957.3,3954.6,3955.3,72
1786077000,3957.6,3959.0,3955.5,3959.0,439
1786077060,3960.9,3961.0,3957.0,3957.0,574
