time,open,high,low,close,volume
1786074300,68.6,68.84,68.55,68.84,43462
1786074360,68.97,69.11,68.58,68.58,78904
1786074420,68.67,68.67,68.53,68.53,11270
1786074480,68.55,68.6,68.52,68.6,8449
1786074540,68.55,68.62,68.51,68.51,6684
1786074600,68.57,68.58,68.51,68.53,4766
1786074660,68.53,68.65,68.53,68.62,11920
1786074720,68.64,68.64,68.56,68.58,1116
1786074780,68.55,68.63,68.43,68.48,43331
1786074840,68.48,68.48,68.4,68.44,4290
1786074900,68.45,68.46,68.32,68.45,9465
1786074960,68.43,68.43,68.4,68.41,2647
1786075020,68.35,68.39,68.31,68.32,2957
1786075080,68.39,68.4,68.3,68.32,7661
1786075140,68.25,68.3,68.25,68.3,16309
1786075200,68.26,68.32,68.26,68.27,1519
1786075260,68.26,68.3,68.26,68.3,2951
1786075320,68.3,68.39,68.26,68.36,2967
1786075380,68.39,68.41,68.32,68.33,3842
1786075440,68.38,68.38,68.34,68.38,470
1786075500,68.34,68.36,68.32,68.32,2946
1786075560,68.36,68.41,68.31,68.41,3045
1786075620,68.34,68.39,68.34,68.38,11126
1786075680,68.35,68.41,68.34,68.41,1463
1786075740,68.41,68.44,68.38,68.42,4450
1786075800,68.42,68.42,68.33,68.34,2441
1786075860,68.39,68.42,68.35,68.42,1712
1786075920,68.42,68.42,68.36,68.42,1017
1786075980,68.37,68.43,68.37,68.4,519
1786076040,68.4,68.43,68.34,68.36,6159
1786076100,68.4,68.52,68.37,68.52,13509
1786076160,68.62,68.65,68.62,68.65,13074
1786076220,68.68,68.68,68.63,68.67,846
1786076280,68.67,68.67,68.63,68.63,206
1786076340,68.63,68.65,68.63,68.63,2333
1786076400,68.75,68.75,68.72,68.75,6311
1786076460,68.75,68.75,68.73,68.73,2405
1786076520,68.73,68.73,68.72,68.73,134
1786076580,68.72,68.72,68.71,68.71,4457
1786076640,68.72,68.72,68.7,68.7,7280
1786076700,68.72,68.75,68.71,68.73,2045
1786076760,68.75,68.76,68.73,68.73,4543
1786076820,68.78,68.79,68.78,68.79,17488
1786076880,68.78,68.81,68.78,68.79,20303
1786076940,68.79,68.8,68.75,68.79,285
1786077000,68.79,68.79,68.75,68.78,400
1786077060,68.75,68.75,68.7,68.7,8697
1786077120,68.7,68.72,68.7,68.7,7798
1786077180,68.7,68.72,68.7,68.72,1924
1786077240,68.7,68.72,68.7,68.72,210
1786077300,68.72,68.72,68.7,68.7,1436
1786077360,68.72,68.72,68.7,68.72,8316
1786077420,68.72,68.72,68.7,68.71,1552
1786077480,68.71,68.71,68.71,68.71,541
1786077540,68.71,68.71,68.7,68.71,3101
1786077600,68.69,68.69,68.62,68.65,7250
1786077660,68.65,68.68,68.65,68.68,4272
1786077720,68.68,68.69,68.65,68.65,553
1786077780,68.65,68.65,68.58,68.6,2086
1786077840,68.57,68.61,68.54,68.6,7661
1786077900,68.6,68.6,68.5,68.5,3746
1786077960,68.5,68.57,68.5,68.57,2362
1786078020,68.56,68.56,68.45,68.45,12726
1786078080,68.5,68.5,68.46,68.49,2833
1786078140,68.49,68.49,68.49,68.49,102
1786078200,68.48,68.48,68.47,68.48,173
1786078260,68.46,68.48,68.45,68.45,1550
1786078320,68.45,68.46,68.44,68.44,1312
1786078380,68.43,68.49,68.43,68.49,962
