time,open,high,low,close,volume
1786074300,1519.0,1520.1,1519.0,1519.0,86
1786074360,1516.8,1517.3,1516.8,1517.3,34
1786074420,1520.0,1522.0,1520.0,1522.0,54
1786074540,1522.0,1522.0,1520.3,1520.3,49
1786074600,1523.4,1523.4,1523.4,1523.4,163
1786074660,1525.0,1525.0,1525.0,1525.0,76
1786074720,1526.1,1528.7,1525.9,1528.7,73
1786074780,1528.7,1528.7,1528.6,1528.6,47
1786074840,1527.0,1527.0,1527.0,1527.0,39
1786074900,1527.0,1527.0,1525.0,1526.0,52
1786074960,1526.0,1528.2,1526.0,1528.2,17
1786075020,1525.9,1525.9,1525.9,1525.9,2
1786075080,1527.8,1527.8,1525.0,1525.0,112
1786075140,1524.4,1524.4,1524.3,1524.3,12
1786075200,1522.5,1525.0,1522.5,1524.8,33
1786075260,1525.0,1525.0,1522.2,1522.2,24
1786075320,1525.0,1525.0,1525.0,1525.0,21
1786075380,1525.0,1525.0,1525.0,1525.0,10
1786075440,1524.5,1525.0,1524.5,1525.0,106
1786075500,1524.9,1524.9,1524.7,1524.8,17
1786075680,1524.6,1524.9,1524.6,1524.9,40
1786075740,1522.5,1522.5,1522.5,1522.5,5
1786075860,1524.7,1524.7,1523.6,1523.6,110
1786075920,1522.0,1524.4,1522.0,1524.4,30
1786075980,1525.2,1526.1,1525.2,1526.1,137
1786076040,1526.0,1526.0,1524.1,1524.1,9
1786076100,1530.5,1536.0,1530.5,1535.0,1542
1786076160,1535.3,1539.0,1535.3,1539.0,165
1786076280,1538.0,1545.6,1538.0,1543.9,6185
1786076340,1544.0,1545.0,1543.2,1545.0,325
1786076400,1545.0,1548.5,1543.0,1546.3,781
1786076460,1546.0,1549.6,1546.0,1549.0,199
1786076520,1550.0,1551.0,1542.0,1542.0,1184
1786076580,1539.1,1539.8,1538.3,1538.3,229
1786076640,1538.3,1541.6,1538.3,1541.6,95
1786076700,1541.6,1546.3,1541.6,1546.3,263
1786076760,1546.7,1546.7,1544.7,1546.3,284
1786076820,1547.4,1547.4,1528.0,1530.6,4835
1786076880,1532.1,1534.2,1528.7,1534.2,1129
1786076940,1532.6,1532.6,1532.4,1532.4,325
1786077000,1531.5,1531.5,1530.0,1530.0,226
1786077060,1530.0,1530.6,1530.0,1530.4,99
1786077120,1534.1,1534.4,1532.3,1532.3,1100
1786077180,1533.0,1533.0,1532.2,1532.2,10
1786077240,1531.6,1532.5,1531.6,1532.5,111
1786077300,1532.1,1532.5,1532.1,1532.5,75
1786077360,1533.9,1533.9,1532.3,1532.3,220
1786077480,1532.0,1532.0,1531.3,1531.4,115
1786077540,1533.2,1534.9,1532.3,1534.9,115
1786077600,1535.4,1535.4,1535.3,1535.3,75
1786077660,1534.4,1534.4,1533.5,1533.6,148
1786077720,1533.6,1533.6,1533.6,1533.6,2
1786077780,1530.0,1530.0,1529.9,1529.9,522
1786077840,1534.0,1535.7,1534.0,1535.7,1210
1786077900,1533.0,1533.0,1532.5,1532.5,210
1786077960,1533.0,1533.0,1531.7,1531.7,360
1786078020,1532.6,1532.6,1532.6,1532.6,3
1786078080,1532.6,1532.7,1532.4,1532.4,26
1786078140,1531.0,1531.0,1531.0,1531.0,1
1786078200,1529.2,1530.9,1529.2,1530.9,70
1786078260,1530.5,1531.0,1530.0,1531.0,123
1786078320,1534.8,1534.8,1533.4,1533.4,25
1786078380,1536.0,1536.0,1535.4,1536.0,249
1786078440,1532.8,1534.8,1532.8,1534.0,1048
1786078500,1533.8,1534.2,1533.8,1534.2,54
1786078560,1533.5,1534.8,1533.5,1534.6,53
1786078620,1534.1,1534.7,1533.2,1534.6,40
1786078680,1534.0,1534.9,1534.0,1534.9,146
1786078740,1534.0,1534.0,1534.0,1534.0,59
1786078800,1533.2,1533.2,1533.2,1533.2,32
1786078860,1534.0,1534.0,1534.0,1534.0,71
1786078920,1534.9,1534.9,1534.9,1534.9,97
1786078980,1534.6,1534.6,1534.6,1534.6,3
1786079040,1533.4,1533.5,1533.4,1533.5,15
1786079160,1534.0,1534.0,1534.0,1534.0,46
1786079220,1534.0,1534.0,1533.2,1533.2,17
1786079280,1533.8,1533.8,1533.8,1533.8,3
1786079340,1534.0,1534.0,1534.0,1534.0,50
1786079400,1534.0,1535.0,1534.0,1535.0,103
