time,open,high,low,close,volume
1786074300,1355.9,1356.0,1350.1,1350.1,800
1786074360,1350.1,1352.1,1350.1,1352.1,154
1786074420,1351.8,1353.8,1351.8,1353.8,114
1786074480,1353.9,1354.8,1353.9,1354.8,30
1786074540,1352.9,1355.6,1352.8,1355.6,159
1786074660,1355.7,1357.8,1355.7,1356.7,110
1786074720,1358.1,1358.1,1358.0,1358.0,266
1786074780,1358.0,1358.0,1358.0,1358.0,15
1786074840,1359.7,1360.2,1358.0,1358.0,500
1786074900,1358.6,1358.6,1356.2,1357.4,40
1786074960,1356.5,1356.5,1355.1,1356.5,961
1786075020,1356.9,1356.9,1356.7,1356.7,190
1786075140,1354.3,1354.3,1353.2,1353.2,65
1786075200,1355.7,1355.7,1355.5,1355.5,53
1786075260,1355.8,1355.8,1354.3,1354.3,19
1786075320,1354.3,1355.9,1354.3,1355.9,33
1786075380,1355.4,1355.4,1355.4,1355.4,66
1786075440,1355.6,1355.6,1353.1,1353.1,176
1786075500,1353.1,1353.1,1353.1,1353.1,102
1786075560,1354.3,1355.2,1354.3,1355.2,24
1786075620,1354.1,1354.1,1352.0,1352.0,573
1786075680,1351.8,1351.8,1351.4,1351.6,334
1786075740,1351.7,1352.2,1351.7,1352.0,45
1786075800,1352.0,1353.1,1352.0,1353.1,26
1786075860,1353.0,1353.0,1353.0,1353.0,30
1786075920,1352.2,1354.9,1352.2,1354.9,48
1786075980,1354.7,1354.7,1353.8,1353.8,5
1786076040,1354.8,1354.8,1353.9,1354.4,53
1786076160,1355.2,1355.2,1355.2,1355.2,17
1786076280,1354.5,1354.5,1354.0,1354.0,216
1786076340,1354.0,1354.0,1354.0,1354.0,10
1786076460,1353.4,1353.4,1353.4,1353.4,9
1786076520,1353.0,1353.7,1352.8,1353.7,133
1786076580,1353.5,1353.5,1353.5,1353.5,3
1786076640,1355.1,1355.1,1355.1,1355.1,833
1786076700,1355.5,1355.5,1353.9,1353.9,220
1786077000,1354.5,1354.5,1354.5,1354.5,2
