time,open,high,low,close,volume
1786074300,322.0,327.2,321.8,327.2,155029
1786074360,328.15,330.45,327.4,330.45,88517
1786074420,330.6,330.6,327.65,327.65,21328
1786074480,329.45,331.0,329.35,331.0,19152
1786074540,331.9,334.3,331.55,332.4,43441
1786074600,332.8,334.75,331.8,334.4,24010
1786074660,334.9,336.1,334.35,335.55,28203
1786074720,336.4,337.65,336.15,336.15,25784
1786074780,336.35,336.5,334.6,335.0,27596
1786074840,335.1,336.5,335.1,335.9,17051
1786074900,335.15,335.15,333.85,334.6,36429
1786074960,334.3,334.7,333.1,334.7,27302
1786075020,333.65,334.35,333.15,333.15,20596
1786075080,333.8,334.25,333.4,334.25,3825
1786075140,334.0,334.0,333.5,333.65,3734
1786075200,333.3,333.85,333.3,333.4,2173
1786075260,333.4,334.15,333.35,334.15,5201
1786075320,333.5,334.8,333.5,334.75,7813
1786075380,334.4,334.5,334.0,334.2,5564
1786075440,334.25,334.45,333.35,333.35,1902
1786075500,333.25,333.25,332.25,332.25,17092
1786075560,332.25,332.75,331.75,332.5,11764
1786075620,331.8,332.0,330.1,330.1,12038
1786075680,330.45,331.0,330.2,330.5,22325
1786075740,330.05,330.5,329.55,330.05,11438
1786075800,330.25,331.4,330.05,331.4,2493
1786075860,331.4,331.4,330.4,330.4,3927
1786075920,330.6,330.7,330.35,330.45,1458
1786075980,330.55,330.7,329.9,330.3,4299
1786076040,330.25,330.25,329.85,330.0,3014
1786076100,330.3,331.3,330.3,331.3,9666
1786076160,330.8,330.8,330.1,330.25,3966
1786076220,330.65,330.7,330.35,330.4,3500
1786076280,330.4,330.4,330.0,330.1,929
1786076340,330.1,330.5,329.6,329.75,2458
1786076400,329.6,329.8,329.6,329.8,1999
1786076460,330.15,330.15,329.85,330.0,685
1786076520,329.75,329.75,329.15,329.2,3040
1786076580,329.2,329.5,329.2,329.45,1594
1786076640,329.35,329.35,328.75,329.2,8335
1786076700,329.5,329.5,329.15,329.15,1214
1786076760,329.45,329.45,329.15,329.3,712
1786076820,329.35,329.5,329.0,329.5,2083
1786076880,330.05,330.05,329.45,329.45,4975
1786076940,329.9,329.95,329.9,329.95,680
1786077000,329.9,330.35,329.8,330.25,2695
1786077060,330.3,330.3,329.6,329.8,1174
1786077120,329.85,329.9,329.6,329.9,758
1786077180,329.9,329.9,329.3,329.35,1602
1786077240,329.35,329.35,329.1,329.1,2861
1786077300,329.15,329.35,329.15,329.35,38
1786077360,329.35,329.45,329.15,329.15,1793
1786077420,329.4,329.4,329.1,329.25,1084
1786077480,329.0,329.35,329.0,329.35,2024
1786077540,329.15,329.45,329.15,329.15,538
1786077600,329.15,329.15,328.45,328.5,1866
1786077660,328.5,329.0,328.5,328.55,2227
1786077720,328.85,328.85,328.3,328.45,1344
1786077780,328.3,328.3,327.95,328.25,4363
1786077840,328.3,328.7,328.2,328.7,1132
1786077900,328.65,328.65,328.4,328.4,425
1786077960,328.25,328.45,328.1,328.45,571
1786078020,328.25,328.45,328.05,328.15,2736
1786078080,328.25,328.25,327.75,327.75,918
1786078140,327.75,327.85,327.6,327.85,316
1786078200,327.8,327.8,327.5,327.5,1824
1786078260,327.5,327.75,327.5,327.75,923
1786078320,327.8,327.8,327.5,327.5,1334
1786078380,327.3,327.45,327.1,327.35,5951
1786078440,327.35,327.35,327.1,327.15,2951
1786078500,327.35,327.4,326.8,326.8,5702
1786078560,326.8,326.8,324.65,324.65,28368
1786078620,324.5,324.75,324.35,324.35,9816
1786078680,324.75,324.75,324.2,324.5,2878
1786078740,324.5,324.65,324.3,324.3,2251
1786078800,324.3,324.45,324.15,324.45,2414
1786078860,324.45,324.5,324.1,324.4,2251
1786078920,324.7,324.7,324.0,324.3,10774
1786078980,324.0,324.35,324.0,324.2,464
1786079040,324.55,324.7,324.35,324.7,2514
1786079100,324.75,324.75,324.25,324.25,3307
1786079160,324.45,324.7,324.3,324.6,2061
1786079220,324.55,324.65,322.7,322.8,19613
1786079280,322.8,322.95,322.1,322.2,9445
1786079340,322.3,322.5,321.1,321.45,43875
1786079400,321.15,321.35,319.35,319.75,63907
1786079460,319.75,320.25,319.65,319.65,7554
1786079520,320.05,320.05,318.4,318.75,27671
1786079580,318.8,319.7,318.05,319.5,61241
1786079640,319.5,319.7,318.55,318.9,9821
1786079700,318.95,319.7,318.9,319.7,6373
1786079760,319.65,319.75,319.15,319.6,4155
1786079820,319.6,319.9,319.55,319.9,7462
1786079880,319.9,320.0,319.1,319.1,7349
1786079940,319.35,319.35,319.05,319.05,913
1786080000,319.25,319.25,318.4,318.8,10725
1786080060,318.65,318.65,318.45,318.65,5887
1786080120,318.9,318.9,318.65,318.65,2370
1786080180,318.7,319.05,318.7,319.05,2196
1786080240,319.05,319.35,318.95,319.35,4908
1786080300,319.45,319.8,319.4,319.8,5862
1786080360,319.55,319.8,319.5,319.8,3209
1786080420,319.9,319.9,318.7,318.8,24973
1786080480,319.0,319.0,318.7,319.0,2968
1786080540,319.0,319.0,318.75,318.9,1954
1786080600,318.9,318.95,318.65,318.65,5857
1786080660,318.9,318.9,318.35,318.7,5263
1786080720,318.7,319.55,318.7,319.55,33033
1786080780,319.55,319.55,319.05,319.4,2615
1786080840,319.1,319.35,318.8,319.15,2301
1786080900,319.2,319.2,318.8,318.8,1849
1786080960,319.2,319.2,318.45,318.45,10074
1786081020,318.45,318.8,318.3,318.8,12368
1786081080,319.05,319.3,319.0,319.05,2057
1786081140,319.35,319.35,318.85,318.95,1275
1786081200,318.95,319.1,318.5,318.85,5352
1786081260,318.9,318.9,318.8,318.8,974
