time,open,high,low,close,volume
1786074300,2629.9,2629.9,2620.6,2620.6,4008
1786074360,2621.2,2623.9,2621.0,2622.8,615
1786074420,2628.0,2633.0,2628.0,2632.7,1274
1786074480,2634.4,2638.4,2633.6,2637.7,772
1786074540,2638.7,2638.7,2635.1,2635.5,347
1786074600,2637.9,2638.2,2635.8,2637.0,704
1786074660,2640.0,2640.6,2637.4,2637.4,3418
1786074720,2638.8,2638.8,2636.4,2638.7,493
1786074780,2639.0,2639.0,2636.0,2637.1,433
1786074840,2635.0,2637.3,2635.0,2635.2,557
1786074900,2635.0,2635.3,2634.4,2635.3,754
1786074960,2635.8,2635.8,2632.5,2634.6,244
1786075020,2633.0,2634.4,2633.0,2634.2,93
1786075080,2634.7,2634.7,2631.3,2631.3,147
1786075140,2632.3,2632.3,2630.9,2631.8,225
1786075200,2632.2,2632.2,2629.5,2631.2,1095
1786075260,2630.0,2631.2,2629.5,2630.7,68
1786075320,2630.0,2632.5,2630.0,2632.5,129
1786075380,2632.9,2633.9,2632.9,2633.9,272
1786075440,2632.4,2633.9,2632.1,2633.9,238
1786075500,2633.9,2634.3,2633.1,2633.9,39
1786075560,2634.5,2634.8,2632.8,2634.8,179
1786075620,2634.9,2634.9,2630.0,2630.0,90
1786075680,2631.7,2633.1,2631.5,2633.1,389
1786075740,2630.6,2633.0,2630.6,2632.3,470
1786075800,2632.3,2633.3,2632.3,2633.1,184
1786075860,2632.3,2633.5,2629.0,2629.0,1320
1786075920,2629.5,2630.0,2628.4,2628.4,614
1786075980,2628.9,2630.0,2628.9,2629.6,121
1786076040,2629.8,2630.0,2629.7,2630.0,119
1786076100,2630.0,2630.0,2626.5,2626.5,776
1786076160,2627.7,2627.7,2622.2,2625.0,2015
1786076220,2623.1,2624.9,2623.1,2624.8,253
1786076280,2624.8,2626.3,2624.2,2626.3,330
1786076340,2626.5,2626.5,2624.2,2624.7,956
1786076400,2625.0,2626.8,2625.0,2625.0,277
1786076460,2625.9,2626.4,2625.9,2626.3,94
1786076520,2626.3,2627.3,2625.2,2625.2,279
1786076580,2626.3,2626.5,2625.0,2625.0,436
1786076640,2625.0,2625.0,2624.3,2625.0,1129
1786076700,2625.0,2625.0,2625.0,2625.0,1123
1786076760,2625.0,2625.0,2623.8,2623.8,460
1786076820,2624.0,2625.0,2624.0,2624.0,204
1786076880,2624.0,2624.9,2624.0,2624.9,222
1786076940,2624.9,2624.9,2624.1,2624.9,69
1786077000,2624.5,2625.0,2624.1,2625.0,3745
1786077060,2625.0,2625.0,2624.6,2624.7,400
1786077120,2624.8,2624.8,2623.4,2623.4,150
1786077180,2623.9,2624.1,2623.1,2624.1,67
1786077240,2624.0,2624.6,2623.2,2623.2,96
1786077300,2623.3,2625.0,2623.3,2625.0,180
1786077360,2625.0,2625.0,2625.0,2625.0,1362
1786077420,2625.0,2625.0,2625.0,2625.0,156
1786077480,2625.0,2625.0,2623.0,2623.2,263
1786077540,2624.9,2625.0,2623.6,2623.6,220
1786077600,2625.0,2625.0,2624.8,2624.8,55
1786077660,2624.6,2625.0,2623.9,2624.6,39
1786077720,2624.6,2624.7,2622.5,2624.3,287
1786077780,2624.0,2624.7,2624.0,2624.2,294
1786077840,2624.6,2624.6,2622.7,2622.7,331
1786077900,2624.1,2624.7,2624.1,2624.6,63
1786077960,2624.7,2624.7,2622.7,2624.0,236
1786078020,2624.0,2624.0,2624.0,2624.0,18
1786078080,2624.0,2624.0,2622.1,2622.1,160
1786078140,2622.6,2622.8,2622.5,2622.8,95
1786078200,2622.7,2623.9,2622.7,2623.9,39
1786078260,2623.9,2624.0,2623.9,2624.0,23
1786078320,2624.0,2624.0,2622.5,2623.9,183
