time,open,high,low,close,volume
1786074300,303.9,303.9,300.5,300.5,1650
1786074360,300.8,300.9,300.2,300.5,1407
1786074420,300.0,300.3,299.95,300.0,3938
1786074480,300.0,300.95,300.0,300.2,396
1786074540,300.2,300.25,300.1,300.25,1162
1786074600,299.85,300.2,299.6,300.2,5167
1786074660,300.2,300.5,299.0,300.5,4745
1786074720,300.2,300.65,300.2,300.65,1967
1786074780,300.7,300.75,300.05,300.05,837
1786074840,300.3,300.3,300.3,300.3,236
1786074900,300.0,300.0,300.0,300.0,500
1786074960,300.35,300.35,300.0,300.0,532
1786075020,300.0,300.1,300.0,300.1,31
1786075080,300.0,300.1,299.9,300.1,332
1786075140,300.0,300.1,300.0,300.1,98
1786075200,299.45,300.05,299.45,300.05,1004
1786075260,299.8,300.3,299.8,300.3,476
1786075320,300.1,300.4,300.0,300.15,199
1786075380,300.0,300.0,300.0,300.0,60
1786075500,300.0,300.0,300.0,300.0,1
1786075560,299.85,299.85,299.5,299.85,489
1786075620,300.0,300.2,300.0,300.05,280
1786075680,300.1,300.1,300.1,300.1,26
1786075740,300.1,300.1,300.05,300.05,99
1786075800,300.05,300.45,300.05,300.45,40
1786075860,300.3,300.6,300.3,300.3,1204
1786075920,300.3,300.3,300.3,300.3,61
1786075980,300.15,300.15,300.15,300.15,15
1786076100,300.45,300.5,300.3,300.3,396
1786076160,300.55,300.55,300.55,300.55,23
1786076220,300.55,300.55,300.3,300.3,529
1786076280,300.3,300.3,300.3,300.3,862
1786076340,300.65,300.65,300.65,300.65,47
1786076400,300.65,300.65,300.65,300.65,215
1786076460,300.65,300.7,300.65,300.7,104
1786076520,300.65,300.65,300.65,300.65,1
1786076580,300.65,300.65,300.65,300.65,18
1786076640,300.65,300.7,300.65,300.7,12
1786076700,300.9,300.9,300.55,300.55,287
1786076820,300.6,300.9,300.6,300.9,88
1786076880,301.45,301.45,300.75,300.75,4241
1786077000,300.75,301.1,300.75,301.0,1321
1786077060,300.55,300.55,300.55,300.55,1
1786077120,300.9,300.9,300.9,300.9,1
1786077180,300.9,300.9,300.35,300.4,246
1786077240,300.85,300.85,300.15,300.15,474
1786077300,300.6,300.6,300.2,300.6,1179
1786077360,300.2,300.2,300.2,300.2,50
1786077480,300.55,300.55,300.55,300.55,15
1786077540,300.55,300.6,300.55,300.6,101
1786077600,300.25,300.25,300.0,300.0,2877
1786077660,300.0,300.0,300.0,300.0,1
1786077720,300.0,300.0,300.0,300.0,5
1786077780,300.0,300.0,299.55,300.0,1677
1786077840,299.6,299.6,299.6,299.6,66
1786077900,299.7,299.7,299.7,299.7,41
1786077960,299.7,299.9,299.7,299.9,22
1786078020,300.0,300.0,300.0,300.0,200
1786078080,299.95,299.95,299.65,299.65,1175
1786078140,299.8,299.8,299.8,299.8,3
1786078200,299.9,299.9,299.9,299.9,135
1786078260,299.4,299.9,299.4,299.9,212
1786078320,299.9,299.9,299.9,299.9,51
1786078380,299.85,299.85,299.85,299.85,5
1786078440,299.45,299.45,299.45,299.45,150
1786078500,299.5,299.5,299.5,299.5,26
1786078560,299.8,299.8,299.8,299.8,5
1786078620,299.5,299.5,299.5,299.5,450
1786078680,299.7,299.7,299.7,299.7,145
1786078740,299.05,299.05,299.05,299.05,1254
1786078800,299.45,299.45,299.45,299.45,4056
1786078860,299.8,299.9,299.3,299.3,237
1786078920,299.8,299.8,299.8,299.8,1
1786078980,299.65,299.65,299.4,299.4,259
1786079040,299.45,299.45,299.45,299.45,1
1786079100,299.85,299.85,299.85,299.85,5
1786079160,299.85,299.85,299.85,299.85,36
1786079280,299.5,299.5,299.5,299.5,14
1786079340,299.85,299.85,299.85,299.85,6
1786079400,299.9,299.9,299.9,299.9,13
1786079460,299.9,299.9,299.9,299.9,12
1786079520,299.5,299.9,299.5,299.9,53
1786079580,299.9,299.9,299.5,299.9,54
1786079640,299.5,299.5,299.5,299.5,300
1786079700,299.55,299.95,299.55,299.95,569
1786079760,299.95,300.0,299.95,300.0,53
1786079820,299.9,299.95,299.9,299.95,381
1786079880,299.95,299.95,299.95,299.95,20
1786080000,299.9,299.9,299.9,299.9,190
1786080060,299.95,299.95,299.95,299.95,350
1786080180,299.9,299.9,299.9,299.9,5
1786080240,299.6,299.6,299.6,299.6,10
1786080300,299.9,299.9,299.9,299.9,210
1786080360,300.0,300.0,300.0,300.0,43
1786080420,300.0,300.0,299.9,299.9,56
1786080600,299.75,299.75,299.75,299.75,115
1786080660,299.75,299.75,299.75,299.75,14
1786080720,299.85,299.85,299.85,299.85,10
1786080780,299.9,299.9,299.65,299.65,201
1786080840,299.6,299.6,299.6,299.6,195
1786080900,299.8,299.8,299.8,299.8,50
1786080960,299.6,299.6,299.6,299.6,6
1786081080,299.9,299.9,299.9,299.9,83
1786081200,299.9,300.0,299.6,299.6,2068
1786081260,299.95,299.95,299.5,299.5,424
1786081320,299.7,299.7,299.7,299.7,109
1786081440,299.85,299.85,299.85,299.85,1
1786081500,299.85,299.85,299.85,299.85,1
