time,open,high,low,close,volume
1786074300,491.95,491.95,488.2,488.2,2608
1786074360,488.25,489.0,487.0,487.0,7966
1786074420,487.25,488.65,487.25,487.65,1758
1786074480,487.65,487.65,486.2,487.25,6564
1786074540,487.55,487.65,486.7,486.75,656
1786074600,487.45,487.45,486.75,487.0,459
1786074660,486.3,487.15,486.3,486.55,925
1786074720,487.35,487.5,486.55,486.9,545
1786074780,486.9,487.8,486.9,487.0,443
1786074840,486.85,487.55,486.85,487.55,372
1786074900,488.1,488.1,487.5,487.5,103
1786074960,487.85,487.85,487.0,487.5,1473
1786075020,487.05,487.7,487.05,487.35,404
1786075080,487.7,487.7,487.1,487.1,51
1786075140,487.25,487.5,487.1,487.2,1702
1786075200,487.2,487.65,487.2,487.25,36
1786075260,487.6,487.6,486.7,486.8,1726
1786075320,486.9,487.6,486.9,487.6,300
1786075380,487.9,487.9,487.25,487.25,327
1786075440,487.15,487.8,487.15,487.8,5
1786075500,487.75,487.9,487.4,487.4,79
1786075560,487.4,488.25,487.4,487.65,481
1786075620,487.95,488.0,487.25,487.25,1381
1786075680,487.7,487.7,487.15,487.15,120
1786075740,487.2,487.6,487.15,487.2,31
1786075800,487.65,487.65,487.0,487.35,39
1786075860,487.0,487.0,487.0,487.0,1
1786075920,487.1,487.25,487.1,487.25,20
1786075980,487.25,487.25,487.25,487.25,30
1786076040,487.25,487.6,487.25,487.3,43
1786076100,488.6,488.9,488.45,488.85,1555
1786076160,489.0,489.7,489.0,489.15,398
1786076220,489.2,490.0,489.2,489.8,1853
1786076280,489.25,489.85,489.2,489.3,868
1786076340,489.3,489.3,489.3,489.3,18
1786076400,490.0,490.0,490.0,490.0,3522
1786076460,490.0,490.4,490.0,490.1,954
1786076520,490.05,490.15,490.05,490.15,204
1786076580,490.15,490.15,490.15,490.15,8
1786076640,490.15,490.15,490.15,490.15,994
1786076700,489.75,490.5,489.75,490.4,681
1786076760,490.5,490.5,490.4,490.4,286
1786076820,490.3,490.4,490.3,490.4,295
1786076880,490.4,491.0,490.4,491.0,35
1786076940,490.6,490.95,490.6,490.65,13
1786077000,490.65,490.85,490.6,490.6,137
1786077060,490.6,490.6,490.6,490.6,30
1786077120,490.6,490.65,490.45,490.65,479
1786077180,490.45,490.6,490.45,490.5,58
1786077240,490.5,490.5,490.5,490.5,1
1786077300,490.55,490.55,490.55,490.55,158
1786077360,490.55,490.55,490.55,490.55,53
1786077420,490.8,490.8,490.6,490.65,159
1786077480,490.6,490.65,490.6,490.65,282
1786077540,490.7,490.7,490.7,490.7,325
1786077600,490.7,491.1,490.7,490.95,7375
1786077660,491.0,491.1,489.65,489.65,2292
1786077720,489.6,489.6,489.0,489.45,1246
1786077780,489.0,489.15,489.0,489.15,265
1786077840,489.35,489.35,489.35,489.35,10
1786077900,489.35,489.4,489.1,489.4,62
1786077960,489.1,489.4,489.1,489.1,12
1786078020,488.9,488.95,488.35,488.8,620
1786078080,488.35,488.65,488.15,488.25,355
1786078140,488.3,488.3,488.0,488.25,751
1786078200,488.2,488.55,488.2,488.55,7
1786078260,488.4,488.4,488.3,488.3,63
1786078320,488.3,488.3,488.25,488.25,34
1786078380,488.55,488.55,488.25,488.25,2
1786078440,488.2,488.6,488.2,488.2,77
1786078500,488.2,488.6,488.2,488.3,346
1786078560,488.7,488.7,488.25,488.25,11
1786078680,488.25,488.25,488.2,488.2,35
1786078740,488.55,488.75,488.5,488.75,263
1786078800,488.55,488.75,488.55,488.65,22
1786078860,488.65,488.65,488.6,488.6,3
1786078920,488.6,488.6,488.5,488.5,8
1786078980,488.6,488.6,488.6,488.6,2
1786079040,488.9,488.9,488.75,488.75,416
1786079100,488.75,488.75,488.75,488.75,1
1786079160,489.05,489.1,488.8,488.8,88
1786079220,488.75,489.1,488.7,488.7,32
1786079280,489.1,489.1,488.25,488.25,537
1786079340,488.25,488.65,488.25,488.65,9
1786079400,488.25,488.25,488.25,488.25,17
1786079460,488.25,488.25,488.25,488.25,6
1786079520,488.25,488.25,488.25,488.25,25
1786079580,488.55,488.55,488.25,488.3,86
1786079640,488.55,488.55,488.3,488.3,20
1786079700,488.3,488.3,488.3,488.3,15
1786079820,488.9,489.4,488.9,488.9,605
1786079880,488.9,488.9,488.9,488.9,1
1786080000,488.6,488.65,488.3,488.3,388
1786080060,488.3,488.3,488.3,488.3,1
1786080120,488.55,488.55,488.5,488.5,256
1786080180,488.3,488.55,488.3,488.55,79
1786080240,488.6,488.65,488.3,488.3,143
1786080300,488.6,488.65,488.3,488.3,26
1786080360,488.3,489.0,488.3,488.6,1500
1786080420,488.6,488.85,488.3,488.3,227
1786080480,488.3,488.3,488.3,488.3,17
1786080540,488.5,489.0,488.5,489.0,98
