time,open,high,low,close,volume
1786074300,678.85,684.0,675.4,681.15,101171
1786074360,680.5,689.0,680.5,683.2,118228
1786074420,683.6,688.0,683.6,686.85,43880
1786074480,686.75,698.7,686.45,697.95,199184
1786074540,697.0,699.0,693.1,696.55,127017
1786074600,696.7,697.7,692.3,696.95,76889
1786074660,696.95,699.0,696.0,698.0,94585
1786074720,697.95,702.0,697.85,700.35,238262
1786074780,700.7,701.05,698.6,700.0,83951
1786074840,699.4,700.0,695.25,697.05,118438
1786074900,697.1,698.6,694.4,698.5,87285
1786074960,698.85,698.85,695.4,696.45,43752
1786075020,695.6,696.8,693.9,696.45,59500
1786075080,696.5,696.5,688.5,689.0,154539
1786075140,689.0,690.2,686.05,687.2,90615
1786075200,687.0,687.0,682.0,682.0,144798
1786075260,682.35,682.9,678.25,680.0,116009
1786075320,679.9,680.55,679.0,679.15,53676
1786075380,679.0,680.7,679.0,680.7,45448
1786075440,682.15,683.7,681.8,683.0,54939
1786075500,682.55,683.0,682.0,683.0,32866
1786075560,682.5,682.5,680.6,682.05,27310
1786075620,682.95,684.6,682.95,684.0,35424
1786075680,684.0,684.8,683.5,683.65,20171
1786075740,683.65,684.7,683.5,684.65,13716
1786075800,684.6,684.7,684.1,684.45,7782
1786075860,684.2,684.7,683.6,684.15,41861
1786075920,684.45,685.1,684.2,685.0,17548
1786075980,685.0,685.0,682.85,682.9,30502
1786076040,682.85,684.3,682.55,683.5,35112
1786076100,683.35,683.7,682.5,682.9,11944
1786076160,682.85,682.85,680.1,680.75,39856
1786076220,680.75,681.3,680.0,680.65,16918
1786076280,681.25,682.4,680.85,682.3,11738
1786076340,682.0,682.95,682.0,682.9,8778
1786076400,682.35,682.35,680.0,680.45,24199
1786076460,680.15,680.6,680.0,680.5,8405
1786076520,680.8,681.0,680.3,680.85,4976
1786076580,680.85,680.95,680.4,680.55,5746
1786076640,680.6,680.95,680.45,680.85,11596
1786076700,681.0,681.0,680.5,680.5,9473
1786076760,680.5,680.75,680.3,680.35,4738
1786076820,680.3,680.65,679.5,679.5,12633
1786076880,679.4,679.4,677.6,677.6,37404
1786076940,677.9,679.2,677.85,679.1,11522
1786077000,679.0,679.5,678.5,679.0,9719
1786077060,678.8,679.35,678.6,679.0,2783
1786077120,678.8,679.35,678.75,679.3,5310
1786077180,679.65,680.05,679.3,680.0,13036
1786077240,679.6,680.9,679.55,680.05,6652
1786077300,679.75,680.35,679.75,680.35,5598
1786077360,680.1,680.5,679.95,680.2,5539
1786077420,680.2,681.0,680.2,681.0,5475
1786077480,680.85,681.0,680.7,680.7,6502
1786077540,680.9,681.0,680.7,680.9,3382
1786077600,680.8,681.0,680.8,680.95,2719
1786077660,680.8,680.95,680.05,680.25,5729
1786077720,680.15,680.15,679.1,680.0,10328
1786077780,679.7,679.85,679.55,679.55,1437
1786077840,680.0,680.4,679.55,680.35,4998
1786077900,680.0,681.0,680.0,680.3,5155
1786077960,680.15,680.6,680.15,680.6,2298
1786078020,680.6,680.6,679.15,679.5,9099
1786078080,679.5,679.8,679.0,679.75,5708
1786078140,679.2,679.75,679.0,679.0,2653
1786078200,678.95,679.8,678.9,679.5,6906
1786078260,679.75,679.95,679.25,679.35,5882
1786078320,679.55,679.6,679.05,679.1,3663
1786078380,679.35,679.5,679.0,679.5,2194
1786078440,679.15,679.5,679.05,679.45,4125
1786078500,679.45,679.45,679.05,679.35,3264
1786078560,679.5,679.5,679.05,679.05,1509
1786078620,679.05,679.1,679.0,679.0,5879
1786078680,679.15,679.25,679.0,679.0,2575
1786078740,679.0,679.3,679.0,679.1,1507
1786078800,679.55,679.55,679.2,679.5,993
1786078860,679.2,681.95,679.1,681.55,19052
1786078920,681.5,681.95,681.5,681.9,4038
1786078980,681.7,681.9,681.1,681.3,8351
1786079040,681.25,681.8,681.05,681.8,5713
1786079100,681.35,681.35,680.3,680.8,3912
1786079160,680.8,680.9,680.35,680.7,6866
1786079220,680.3,680.7,680.3,680.7,1909
1786079280,680.7,680.7,680.35,680.5,666
1786079340,680.5,681.2,680.5,681.1,2683
1786079400,680.9,681.05,679.3,679.3,9103
1786079460,679.15,679.15,676.6,677.15,34239
1786079520,677.45,678.3,677.1,678.05,7071
1786079580,677.5,678.05,676.5,676.7,19111
1786079640,676.55,677.8,676.5,677.8,4948
1786079700,677.5,677.85,677.3,677.6,2646
1786079760,677.5,677.75,676.55,677.0,7525
1786079820,677.0,677.0,676.6,676.6,5197
1786079880,677.0,677.75,676.65,677.75,4718
1786079940,678.6,679.0,678.0,678.4,4027
1786080000,677.8,678.5,677.8,678.45,2017
1786080060,678.4,678.6,678.4,678.6,1194
1786080120,678.5,678.5,677.85,678.4,1500
1786080180,678.0,678.6,678.0,678.4,1127
1786080240,678.4,679.1,678.0,679.1,2726
1786080300,678.6,679.0,678.6,678.65,840
1786080360,678.65,678.9,678.6,678.9,514
1786080420,678.7,679.15,678.7,679.15,869
1786080480,678.95,679.0,678.7,679.0,983
1786080540,678.7,679.0,678.65,678.65,808
1786080600,678.8,679.3,678.65,679.0,1726
1786080660,679.0,679.15,678.6,679.0,1998
1786080720,679.0,679.0,678.0,678.0,4256
1786080780,677.9,677.95,677.1,677.1,1773
1786080840,677.4,677.4,676.75,677.25,2735
1786080900,676.7,677.7,676.7,677.7,3401
1786080960,677.15,677.7,677.05,677.5,1642
1786081020,677.05,677.5,677.0,677.5,718
1786081080,677.05,677.7,677.05,677.3,1771
1786081140,677.35,677.5,677.3,677.5,253
1786081200,677.5,677.9,677.35,677.5,4707
