time,open,high,low,close,volume
1786074300,1735.0,1735.0,1733.8,1734.6,3679
1786074360,1732.7,1739.1,1732.7,1736.0,4568
1786074420,1737.5,1739.3,1737.5,1739.3,334
1786074480,1735.6,1736.0,1735.0,1735.0,381
1786074540,1736.0,1736.0,1731.8,1731.8,664
1786074600,1735.9,1736.0,1735.3,1735.9,528
1786074660,1734.6,1737.4,1734.6,1736.9,249
1786074720,1740.0,1741.3,1740.0,1740.1,185
1786074780,1740.0,1740.0,1738.0,1739.3,145
1786074840,1738.1,1744.7,1738.1,1742.5,1344
1786074900,1741.9,1741.9,1739.5,1740.0,73
1786074960,1739.5,1740.9,1739.5,1740.5,235
1786075020,1738.9,1738.9,1736.0,1736.0,644
1786075080,1735.5,1735.5,1732.5,1732.9,625
1786075140,1733.0,1734.0,1731.0,1734.0,177
1786075200,1733.1,1734.9,1733.1,1733.3,350
1786075260,1734.1,1734.1,1731.2,1731.4,491
1786075320,1732.5,1734.6,1731.4,1734.5,42
1786075380,1732.9,1734.2,1732.9,1732.9,408
1786075440,1731.6,1733.8,1731.6,1733.2,335
1786075500,1733.2,1733.7,1732.5,1733.6,83
1786075560,1733.6,1733.7,1732.5,1733.7,75
1786075620,1732.5,1733.8,1732.5,1733.6,83
1786075680,1733.4,1734.8,1732.5,1734.8,195
1786075740,1734.3,1736.0,1734.3,1735.1,395
1786075800,1734.5,1735.9,1734.5,1734.7,88
1786075860,1734.6,1735.1,1733.5,1735.1,118
1786075920,1734.3,1736.0,1734.1,1734.5,238
1786075980,1735.5,1739.5,1733.7,1739.5,575
1786076040,1738.4,1739.7,1738.0,1738.1,109
1786076100,1737.8,1738.7,1737.1,1738.2,233
1786076160,1737.6,1737.8,1736.6,1736.9,61
1786076220,1736.9,1738.6,1736.9,1737.9,107
1786076280,1738.1,1738.1,1737.3,1737.9,122
1786076340,1737.4,1738.9,1737.3,1738.8,111
1786076400,1737.7,1738.9,1737.7,1737.8,107
1786076460,1738.9,1739.9,1738.8,1739.9,104
1786076520,1739.4,1739.5,1738.7,1739.5,110
1786076580,1739.5,1739.5,1738.2,1739.0,266
1786076640,1739.3,1739.9,1738.7,1738.9,501
1786076700,1737.8,1739.3,1737.7,1738.4,115
1786076760,1738.5,1739.9,1737.3,1737.3,243
1786076820,1738.1,1739.7,1738.1,1738.7,434
1786076880,1738.7,1738.7,1736.9,1737.7,194
1786076940,1737.7,1739.0,1737.2,1738.4,95
1786077000,1737.5,1738.7,1737.3,1738.5,102
1786077060,1737.3,1738.8,1737.3,1738.8,95
1786077120,1737.2,1738.3,1737.0,1737.9,172
1786077180,1737.4,1737.8,1736.4,1737.6,128
1786077240,1737.1,1738.0,1736.5,1736.5,182
1786077300,1736.5,1737.9,1735.3,1737.2,566
1786077360,1736.6,1737.0,1735.6,1737.0,181
1786077420,1736.9,1738.4,1736.9,1738.4,107
1786077480,1736.9,1737.8,1736.9,1737.6,96
1786077540,1736.9,1737.9,1736.2,1737.8,648
1786077600,1737.3,1738.1,1736.2,1738.1,141
1786077660,1737.6,1737.6,1736.2,1737.5,78
1786077720,1737.0,1738.0,1736.4,1737.8,145
1786077780,1737.8,1737.8,1736.2,1736.2,378
1786077840,1736.0,1737.2,1735.3,1736.4,114
1786077900,1736.4,1737.5,1736.4,1737.5,260
1786077960,1736.5,1737.9,1736.4,1737.8,107
1786078020,1736.5,1737.4,1736.4,1737.1,137
1786078080,1737.6,1737.6,1735.0,1736.2,298
1786078140,1736.2,1736.2,1735.0,1735.0,87
1786078200,1736.4,1736.4,1734.2,1734.2,479
1786078260,1732.9,1735.4,1732.8,1734.4,388
1786078320,1733.8,1735.0,1733.8,1735.0,88
1786078380,1734.9,1734.9,1733.8,1734.7,79
1786078440,1733.5,1735.7,1733.5,1735.6,297
1786078500,1735.6,1736.5,1733.6,1736.5,192
1786078560,1735.5,1736.8,1734.2,1736.8,138
1786078620,1736.7,1736.7,1734.8,1736.1,107
1786078680,1735.6,1735.8,1734.5,1735.7,97
1786078740,1734.5,1735.9,1733.9,1733.9,198
1786078800,1733.9,1734.5,1733.2,1734.4,118
1786078860,1734.4,1735.0,1733.0,1733.0,393
1786078920,1734.2,1734.7,1734.2,1734.6,65
1786078980,1734.2,1734.2,1733.1,1733.1,201
1786079040,1734.0,1734.9,1733.9,1734.9,86
1786079100,1734.0,1735.0,1734.0,1734.8,190
1786079160,1734.7,1736.6,1734.2,1735.6,1134
1786079220,1734.7,1736.0,1734.7,1735.7,118
1786079280,1735.1,1735.8,1733.5,1735.5,588
1786079340,1735.5,1735.5,1733.8,1735.0,96
1786079400,1735.0,1736.2,1735.0,1735.0,102
1786079460,1735.3,1735.5,1735.0,1735.4,78
1786079520,1734.3,1737.0,1734.3,1736.1,751
1786079580,1736.4,1736.9,1735.4,1735.9,97
1786079640,1735.5,1736.1,1733.7,1735.7,590
1786079700,1734.6,1735.9,1734.6,1735.9,114
1786079760,1735.4,1736.3,1735.1,1735.7,119
1786079820,1735.6,1736.3,1735.3,1736.1,75
1786079880,1735.3,1736.5,1735.0,1736.0,97
1786079940,1735.5,1736.8,1735.4,1736.3,96
1786080000,1734.6,1736.4,1734.5,1735.7,171
1786080060,1735.2,1735.2,1734.0,1735.2,75
1786080120,1735.2,1735.6,1734.1,1735.1,90
1786080180,1736.0,1736.7,1735.8,1736.4,76
1786080240,1735.9,1735.9,1734.4,1734.4,1564
1786080300,1733.8,1734.5,1733.2,1734.5,213
1786080360,1734.4,1736.0,1734.2,1736.0,1662
1786080420,1734.2,1735.9,1734.2,1735.4,90
1786080480,1734.1,1734.3,1733.5,1734.2,81
