time,open,high,low,close,volume
1786074300,377.85,379.0,377.3,378.55,52077
1786074360,378.75,379.3,378.7,379.15,13740
1786074420,379.4,379.4,378.75,378.75,34144
1786074480,378.8,379.3,378.6,379.15,7690
1786074540,379.05,379.05,378.8,378.8,11121
1786074600,378.8,378.9,378.65,378.75,8011
1786074660,378.75,379.05,378.75,379.0,3795
1786074720,379.0,379.05,378.85,378.95,8030
1786074780,378.85,378.85,378.65,378.75,6571
1786074840,378.75,378.8,378.55,378.6,7160
1786074900,378.65,378.65,378.25,378.3,15292
1786074960,378.55,378.65,378.55,378.55,5398
1786075020,378.55,378.7,378.45,378.7,3817
1786075080,378.7,378.7,378.3,378.45,7229
1786075140,378.45,378.45,378.1,378.3,3566
1786075200,378.3,378.3,378.15,378.3,2111
1786075260,378.25,378.35,378.1,378.15,5637
1786075320,378.0,378.3,378.0,378.2,11654
1786075380,378.4,378.4,378.1,378.1,1832
1786075440,378.1,378.2,378.1,378.2,4765
1786075500,378.2,378.2,378.0,378.2,1466
1786075560,378.2,378.3,378.0,378.3,4327
1786075620,378.35,378.35,378.1,378.2,1725
1786075680,378.25,378.4,378.1,378.4,1256
1786075740,378.7,378.8,378.55,378.55,4097
1786075800,378.6,378.6,378.45,378.5,5430
1786075860,378.7,378.7,378.6,378.6,2642
1786075920,378.6,378.9,378.6,378.9,2554
1786075980,378.85,379.0,378.7,379.0,13604
1786076040,379.1,379.15,378.95,378.95,2948
1786076100,378.95,379.25,378.95,379.15,4589
1786076160,379.15,379.15,378.8,378.8,8774
1786076220,378.85,378.85,378.5,378.65,2967
1786076280,378.65,378.7,378.6,378.7,4028
1786076340,378.75,378.9,378.75,378.8,18972
1786076400,378.8,378.95,378.8,378.95,9668
1786076460,378.95,379.3,378.95,379.3,5325
1786076520,379.15,379.2,379.0,379.2,2685
1786076580,379.2,379.2,379.05,379.2,1998
1786076640,379.2,379.2,379.0,379.2,8710
1786076700,379.2,379.5,379.05,379.5,3600
1786076760,379.5,379.5,379.25,379.25,2972
1786076820,379.45,379.45,379.25,379.35,2836
1786076880,379.35,379.4,379.2,379.4,3162
1786076940,379.4,379.4,379.2,379.35,977
1786077000,379.35,379.35,379.15,379.35,2198
1786077060,379.3,379.3,379.1,379.2,2499
1786077120,379.05,379.25,379.05,379.2,21056
1786077180,379.2,379.25,379.2,379.25,2846
1786077240,379.25,379.45,379.2,379.2,5258
1786077300,379.35,379.35,379.15,379.2,3754
1786077360,379.2,379.35,379.2,379.2,2339
1786077420,379.35,379.8,379.2,379.8,18048
1786077480,379.75,379.75,379.4,379.65,8519
1786077540,379.6,379.75,379.6,379.75,4042
1786077600,379.65,379.75,379.5,379.5,10462
1786077660,379.65,379.65,379.45,379.5,4557
1786077720,379.65,379.65,379.45,379.45,7020
1786077780,379.4,379.4,379.1,379.1,32820
1786077840,379.3,379.7,379.1,379.7,13815
1786077900,379.6,379.65,379.35,379.4,944
1786077960,379.4,379.4,379.35,379.35,4277
1786078020,379.35,379.35,379.15,379.3,2617
1786078080,379.15,379.3,379.0,379.0,19886
1786078140,379.15,379.15,379.0,379.15,1032
1786078200,379.0,379.35,379.0,379.3,3081
1786078260,379.3,379.35,379.15,379.35,1336
1786078320,379.3,379.35,379.3,379.35,2328
1786078380,379.2,379.35,379.05,379.3,4706
1786078440,379.25,379.25,379.0,379.25,5235
1786078500,379.05,379.2,379.05,379.2,1448
1786078560,379.2,379.2,379.0,379.1,2622
1786078620,379.0,379.1,378.8,378.95,10103
1786078680,378.95,378.95,378.8,378.8,3169
1786078740,378.85,378.9,378.65,378.75,5807
1786078800,378.8,379.0,378.8,379.0,4263
1786078860,379.0,379.05,378.8,378.8,2152
1786078920,379.0,379.0,378.8,378.95,1910
1786078980,378.95,379.15,378.9,379.15,1915
1786079040,378.9,379.15,378.9,379.1,2566
1786079100,379.2,379.35,379.1,379.35,1196
1786079160,379.35,379.35,379.1,379.1,3178
1786079220,379.3,379.3,379.0,379.2,2909
1786079280,379.2,379.2,379.0,379.2,1495
1786079340,379.2,379.2,379.0,379.15,2279
1786079400,378.95,379.2,378.95,379.0,847
1786079460,379.15,379.2,379.0,379.2,3950
1786079520,379.2,379.2,378.85,379.0,5150
1786079580,379.2,379.5,379.05,379.35,6260
1786079640,379.2,379.45,379.2,379.4,3587
1786079700,379.4,379.4,379.2,379.4,521
1786079760,379.4,379.4,379.2,379.4,2032
1786079820,379.4,379.5,379.35,379.5,1605
1786079880,379.35,379.9,379.35,379.85,8910
1786079940,379.65,379.8,379.5,379.5,3895
1786080000,379.6,379.65,379.5,379.55,2453
1786080060,379.6,379.75,379.5,379.75,4128
1786080120,379.7,379.8,379.5,379.5,4050
1786080180,379.65,379.7,379.5,379.7,1115
1786080240,379.7,379.7,379.5,379.7,1752
1786080300,379.7,379.7,379.5,379.7,1059
1786080360,379.5,379.7,379.5,379.7,1063
1786080420,379.5,379.7,379.5,379.7,1060
1786080480,379.45,379.7,379.45,379.7,2292
1786080540,379.7,379.7,379.4,379.4,1048
1786080600,379.6,379.6,379.3,379.5,1188
1786080660,379.5,379.5,379.25,379.25,1654
1786080720,379.3,379.3,379.2,379.2,784
1786080780,379.2,379.3,379.1,379.1,2254
1786080840,379.2,379.3,379.1,379.3,1718
1786080900,379.3,379.35,379.25,379.3,348
1786080960,379.3,379.45,379.3,379.4,1167
1786081020,379.3,379.35,379.2,379.2,636
1786081080,379.2,379.35,379.2,379.2,660
1786081140,379.2,379.35,379.15,379.35,1479
1786081200,379.35,379.65,379.2,379.5,6285
1786081260,379.6,379.6,379.6,379.6,676
1786081320,379.55,379.6,379.4,379.5,379
1786081380,379.5,379.5,379.25,379.5,782
1786081440,379.5,379.55,379.3,379.3,1183
1786081500,379.2,379.3,378.95,379.1,6801
1786081560,379.3,379.3,379.0,379.25,2679
1786081620,379.1,379.3,379.1,379.3,1233
1786081680,379.1,379.35,379.1,379.25,2540
1786081740,379.3,379.35,379.15,379.15,1201
1786081800,379.15,379.35,379.15,379.35,967
1786081860,379.15,379.35,379.15,379.3,872
1786081920,379.4,379.45,379.05,379.3,5590
1786081980,379.2,379.2,378.95,378.95,9170
1786082040,379.0,379.0,378.9,379.0,332
1786082100,379.0,379.0,378.85,379.0,2596
1786082160,379.0,379.25,379.0,379.05,5320
1786082220,379.3,379.3,379.05,379.3,1068
1786082280,379.3,379.3,379.1,379.3,2262
1786082340,379.25,379.3,379.05,379.3,1545
1786082400,379.15,379.15,379.05,379.15,1123
1786082460,379.15,379.25,379.1,379.25,2863
1786082520,379.25,379.4,379.1,379.4,1596
1786082580,379.4,379.4,379.25,379.25,878
1786082640,379.4,379.45,379.25,379.45,1439
1786082700,379.4,379.5,379.3,379.5,755
1786082760,379.5,379.5,379.35,379.5,3263
1786082820,379.4,379.5,379.35,379.5,1796
1786082880,379.55,379.7,379.5,379.7,3484
1786082940,379.7,379.75,379.7,379.7,472
1786083000,379.75,380.0,379.7,379.9,19573
1786083060,379.7,379.9,379.7,379.85,10745
1786083120,379.8,379.95,379.8,379.95,5023
1786083180,379.95,380.0,379.8,379.8,1939
1786083240,379.8,380.0,379.8,379.85,6912
1786083300,379.85,380.1,379.7,379.85,16720
1786083360,379.7,379.85,379.7,379.7,873
1786083420,379.85,379.85,379.6,379.8,2090
1786083480,379.65,379.85,379.55,379.75,4409
1786083540,379.75,379.8,379.55,379.55,6115
1786083600,379.75,379.75,379.55,379.75,526
1786083660,379.55,379.55,379.5,379.55,4966
1786083720,379.55,379.55,379.4,379.55,707
1786083780,379.55,379.55,379.4,379.4,337
1786083840,379.45,379.75,379.45,379.55,857
1786083900,379.55,379.75,379.5,379.5,3951
1786083960,379.75,379.75,379.55,379.55,745
1786084020,379.5,379.7,379.5,379.5,812
1786084080,379.5,379.7,379.5,379.7,1035
1786084140,379.55,379.65,379.45,379.45,4360
1786084200,379.45,379.65,379.45,379.45,1610
1786084260,379.5,379.65,379.5,379.65,1702
1786084320,379.65,379.7,379.5,379.5,547
1786084380,379.5,379.55,379.4,379.4,824
1786084440,379.45,379.6,379.45,379.6,2876
1786084500,379.6,379.6,379.35,379.35,1216
1786084560,379.4,379.55,379.4,379.55,2821
1786084620,379.55,379.55,379.35,379.55,1429
1786084680,379.35,379.55,379.35,379.35,1008
1786084740,379.5,379.55,379.3,379.55,353
1786084800,379.55,379.55,379.3,379.3,713
1786084860,379.3,379.45,379.3,379.4,3629
1786084920,379.2,379.4,379.2,379.2,4324
1786084980,379.35,379.4,379.2,379.2,1473
1786085040,379.2,379.25,379.1,379.15,1816
1786085100,379.15,379.2,379.0,379.0,2839
1786085160,378.8,378.9,378.7,378.9,7604
1786085220,378.9,378.9,378.7,378.7,978
1786085280,378.7,378.9,378.7,378.85,1566
1786085340,378.85,378.85,378.7,378.85,1307
1786085400,378.7,378.85,378.7,378.85,2197
1786085460,378.85,379.2,378.7,379.0,9813
1786085520,379.2,379.2,379.0,379.2,1260
1786085580,379.0,379.2,378.85,379.05,3214
1786085640,378.85,379.05,378.85,378.85,1577
1786085700,378.85,379.0,378.85,379.0,952
1786085760,378.85,379.0,378.8,378.8,3047
1786085820,378.85,379.1,378.85,378.9,3917
