time,open,high,low,close,volume
1786074300,189.44,189.69,188.55,189.25,277298
1786074360,189.37,189.37,188.75,188.8,97647
1786074420,188.9,189.16,188.86,189.0,43046
1786074480,189.04,189.13,188.92,189.1,92272
1786074540,189.3,189.36,189.13,189.2,73117
1786074600,189.2,189.27,189.13,189.13,194947
1786074660,189.25,189.25,189.06,189.1,36079
1786074720,189.2,189.23,189.07,189.2,20306
1786074780,189.15,189.2,189.14,189.18,134590
1786074840,189.18,189.19,189.12,189.16,22543
1786074900,189.12,189.18,189.09,189.18,122191
1786074960,189.25,189.25,189.15,189.16,19754
1786075020,189.09,189.16,189.08,189.15,36957
1786075080,189.19,189.29,189.19,189.29,40004
1786075140,189.29,189.48,189.29,189.45,43893
1786075200,189.47,189.5,189.15,189.15,156056
1786075260,189.15,189.19,188.86,188.89,76156
1786075320,188.89,189.08,188.82,188.84,35682
1786075380,188.82,188.93,188.6,188.6,50910
1786075440,188.6,188.62,188.5,188.56,99506
1786075500,188.55,188.55,188.52,188.52,27213
1786075560,188.43,188.54,188.36,188.52,81985
1786075620,188.52,188.6,188.5,188.6,30682
1786075680,188.57,188.69,188.46,188.69,29359
1786075740,188.65,188.79,188.65,188.79,22556
1786075800,188.78,188.8,188.75,188.78,19462
1786075860,188.78,188.86,188.67,188.68,35625
1786075920,188.73,188.79,188.73,188.79,11764
1786075980,188.79,188.8,188.7,188.7,12394
1786076040,188.6,188.65,188.54,188.65,51972
1786076100,188.81,188.85,188.75,188.75,49341
1786076160,188.75,188.87,188.75,188.76,10938
1786076220,188.75,188.79,188.7,188.77,22389
1786076280,188.73,188.78,188.7,188.73,16171
1786076340,188.75,188.75,188.66,188.66,12755
1786076400,188.66,188.7,188.61,188.61,15353
1786076460,188.65,188.81,188.65,188.75,39101
1786076520,188.75,188.83,188.71,188.71,12711
1786076580,188.73,188.75,188.71,188.71,10464
1786076640,188.68,188.68,188.64,188.65,30718
1786076700,188.64,188.74,188.64,188.64,40681
1786076760,188.67,188.7,188.51,188.52,50022
1786076820,188.54,188.59,188.46,188.52,56500
1786076880,188.54,188.62,188.52,188.62,22598
1786076940,188.62,188.62,188.52,188.55,111642
1786077000,188.55,188.55,188.51,188.52,10555
1786077060,188.52,188.56,188.47,188.56,39405
1786077120,188.59,188.59,188.45,188.45,41097
1786077180,188.46,188.7,188.45,188.66,19776
1786077240,188.65,188.7,188.6,188.68,16737
1786077300,188.68,188.68,188.65,188.65,6161
1786077360,188.65,188.66,188.64,188.64,21640
1786077420,188.64,188.67,188.64,188.67,6711
1786077480,188.68,188.71,188.65,188.71,34701
1786077540,188.7,188.7,188.66,188.68,47886
1786077600,188.68,188.68,188.51,188.51,10753
1786077660,188.51,188.52,188.5,188.5,18195
1786077720,188.47,188.5,188.3,188.35,50608
1786077780,188.3,188.37,188.15,188.2,68074
1786077840,188.26,188.31,188.25,188.3,13302
1786077900,188.31,188.37,188.3,188.3,35176
1786077960,188.34,188.34,188.26,188.27,9600
1786078020,188.3,188.37,188.27,188.35,10568
1786078080,188.37,188.37,188.01,188.01,94757
1786078140,188.04,188.04,187.96,188.01,92578
1786078200,188.01,188.2,188.01,188.2,76892
1786078260,188.21,188.24,188.16,188.24,108554
1786078320,188.24,188.24,188.18,188.18,13025
1786078380,188.18,188.18,188.03,188.12,21186
1786078440,188.17,188.18,188.15,188.18,14138
1786078500,188.18,188.18,188.15,188.15,8411
1786078560,188.15,188.2,188.15,188.17,32773
1786078620,188.17,188.2,188.17,188.19,7093
1786078680,188.2,188.2,188.15,188.16,10443
1786078740,188.18,188.19,188.15,188.18,9394
1786078800,188.18,188.29,188.12,188.22,16939
1786078860,188.25,188.36,188.25,188.28,14178
1786078920,188.25,188.37,188.25,188.35,17818
1786078980,188.37,188.4,188.3,188.3,15846
1786079040,188.37,188.37,188.3,188.3,7615
1786079100,188.3,188.4,188.3,188.4,10583
1786079160,188.4,188.4,188.34,188.38,7345
1786079220,188.36,188.4,188.36,188.39,7122
1786079280,188.4,188.44,188.33,188.44,15477
1786079340,188.44,188.55,188.44,188.55,20123
1786079400,188.55,188.55,188.51,188.55,14784
1786079460,188.57,188.57,188.51,188.57,10174
1786079520,188.57,188.6,188.57,188.59,10474
1786079580,188.59,188.6,188.57,188.57,25789
1786079640,188.59,188.6,188.54,188.58,9231
1786079700,188.58,188.58,188.56,188.58,7895
1786079760,188.56,188.57,188.54,188.54,20734
1786079820,188.54,188.59,188.5,188.59,10701
1786079880,188.6,188.6,188.55,188.55,15611
1786079940,188.6,188.6,188.51,188.51,8798
1786080000,188.51,188.51,188.44,188.5,8766
1786080060,188.5,188.5,188.41,188.45,6741
