time,open,high,low,close,volume
1786074300,2381.0,2405.0,2379.3,2398.5,164332
1786074360,2398.2,2408.3,2398.2,2407.0,48741
1786074420,2406.4,2406.4,2397.9,2398.8,27003
1786074480,2400.2,2404.9,2400.2,2404.0,25865
1786074540,2403.7,2407.0,2401.0,2406.0,29578
1786074600,2406.7,2415.7,2406.0,2414.5,83782
1786074660,2415.9,2419.0,2414.7,2418.9,58282
1786074720,2420.8,2425.0,2419.0,2422.0,63913
1786074780,2422.0,2426.8,2415.1,2424.4,90754
1786074840,2424.4,2426.0,2424.1,2425.6,40835
1786074900,2425.6,2426.4,2421.1,2425.9,29609
1786074960,2425.4,2429.9,2424.0,2429.7,48835
1786075020,2429.8,2430.0,2425.0,2426.0,19808
1786075080,2426.0,2427.2,2425.0,2427.2,8843
1786075140,2426.8,2427.1,2424.2,2426.7,19611
1786075200,2425.3,2427.0,2423.0,2423.0,7701
1786075260,2423.9,2428.6,2423.0,2428.3,17703
1786075320,2428.3,2435.0,2427.6,2433.6,52370
1786075380,2434.0,2434.9,2433.0,2434.7,19399
1786075440,2434.7,2435.0,2428.8,2431.6,24505
1786075500,2430.4,2432.3,2428.7,2429.4,8835
1786075560,2429.1,2431.2,2429.1,2430.0,9662
1786075620,2430.0,2430.8,2429.0,2430.5,8530
1786075680,2431.0,2440.0,2431.0,2437.7,57549
1786075740,2436.9,2440.9,2436.9,2439.5,35956
1786075800,2439.8,2441.0,2435.0,2438.0,28192
1786075860,2438.2,2438.9,2437.2,2437.2,6001
1786075920,2438.0,2438.1,2436.3,2438.0,6605
1786075980,2438.1,2438.4,2435.5,2435.6,11619
1786076040,2435.7,2438.8,2435.7,2438.2,9735
1786076100,2438.8,2442.0,2437.5,2442.0,21378
1786076160,2442.0,2442.0,2438.8,2440.4,19143
1786076220,2440.4,2440.4,2437.8,2438.3,10415
1786076280,2437.9,2440.9,2437.9,2440.9,9264
1786076340,2441.2,2445.0,2438.1,2445.0,66027
1786076400,2444.2,2448.0,2443.4,2447.5,51639
1786076460,2447.4,2450.0,2444.0,2444.8,53212
1786076520,2445.4,2446.9,2444.1,2446.0,6604
1786076580,2446.3,2447.0,2445.0,2445.1,8062
1786076640,2445.7,2449.0,2444.9,2445.5,13985
1786076700,2446.3,2446.3,2443.7,2443.7,8497
1786076760,2443.3,2443.9,2441.0,2441.6,9313
1786076820,2441.4,2446.9,2441.1,2446.9,17337
1786076880,2447.3,2447.4,2443.0,2445.3,8915
1786076940,2445.8,2445.8,2443.9,2445.6,6402
1786077000,2445.7,2447.5,2445.3,2446.8,11792
1786077060,2447.7,2450.6,2446.1,2449.4,85792
1786077120,2449.8,2452.0,2449.8,2451.7,38937
1786077180,2451.8,2452.5,2449.3,2449.9,36842
1786077240,2450.5,2450.5,2447.7,2448.9,20113
1786077300,2449.6,2451.6,2445.6,2446.7,32919
1786077360,2446.0,2446.4,2445.0,2445.8,9698
1786077420,2445.8,2445.8,2442.9,2443.5,18538
1786077480,2443.5,2443.6,2441.0,2441.4,11403
1786077540,2440.9,2442.1,2440.5,2442.1,14301
1786077600,2442.0,2442.9,2440.0,2442.6,28175
1786077660,2442.6,2442.9,2440.1,2440.6,5516
1786077720,2440.1,2440.8,2440.0,2440.0,11818
1786077780,2440.2,2440.2,2437.6,2438.9,39249
1786077840,2439.7,2440.5,2438.8,2439.6,5163
1786077900,2439.8,2439.8,2438.1,2439.2,9161
1786077960,2439.2,2439.7,2437.3,2437.4,6014
1786078020,2437.5,2437.5,2435.0,2435.0,13302
1786078080,2435.6,2435.6,2433.5,2434.0,13714
1786078140,2433.9,2433.9,2432.1,2433.2,12200
1786078200,2433.5,2433.5,2428.5,2429.0,29876
1786078260,2428.4,2430.0,2428.2,2428.7,50147
1786078320,2428.6,2428.6,2427.0,2428.1,26790
1786078380,2428.3,2428.3,2427.0,2427.8,19955
1786078440,2427.4,2427.8,2426.6,2426.6,15476
1786078500,2426.5,2426.7,2424.7,2425.3,36432
1786078560,2425.4,2426.7,2424.5,2425.3,22887
1786078620,2424.6,2427.6,2424.6,2427.4,16052
1786078680,2427.4,2428.8,2426.5,2427.7,15800
1786078740,2427.7,2427.7,2426.2,2426.2,4956
1786078800,2426.2,2426.2,2425.3,2426.1,26541
1786078860,2426.2,2430.5,2425.9,2430.5,11538
1786078920,2431.0,2431.4,2427.2,2428.5,18428
1786078980,2428.7,2428.7,2427.1,2428.0,7405
1786079040,2427.9,2428.9,2427.1,2428.5,6756
1786079100,2428.6,2428.6,2427.6,2428.0,3850
1786079160,2428.0,2428.3,2427.1,2428.0,3553
1786079220,2428.1,2428.1,2423.3,2424.1,17188
1786079280,2424.1,2424.6,2423.2,2424.0,4832
1786079340,2426.7,2428.6,2426.4,2428.6,6875
1786079400,2428.6,2428.8,2426.0,2426.8,79562
1786079460,2426.7,2426.8,2423.0,2423.8,7736
1786079520,2423.1,2423.7,2422.0,2422.4,5104
1786079580,2422.7,2425.0,2421.7,2424.2,33752
1786079640,2424.3,2426.7,2423.4,2426.6,4552
1786079700,2426.7,2428.8,2426.6,2428.7,15121
1786079760,2428.4,2428.6,2426.1,2426.4,7970
1786079820,2426.6,2427.0,2425.5,2426.0,4221
1786079880,2426.1,2426.5,2424.0,2425.2,5469
1786079940,2425.2,2425.7,2424.4,2424.8,6728
1786080000,2424.8,2424.8,2423.6,2423.8,3087
1786080060,2424.0,2424.0,2423.9,2423.9,2974
1786080120,2424.0,2426.3,2424.0,2426.3,5740
1786080180,2426.3,2427.7,2425.4,2427.7,8521
1786080240,2426.6,2428.2,2426.6,2427.9,5629
1786080300,2427.8,2428.7,2426.0,2427.1,73330
1786080360,2426.5,2427.2,2424.4,2426.1,27370
1786080420,2426.2,2427.0,2426.0,2426.0,5013
1786080480,2426.5,2426.9,2425.7,2426.0,7885
1786080540,2426.1,2426.7,2425.5,2426.3,2903
1786080600,2426.2,2426.3,2425.6,2426.0,1466
1786080660,2426.0,2426.0,2425.2,2425.2,2911
1786080720,2425.4,2426.3,2425.4,2426.3,3764
1786080780,2426.3,2427.0,2425.4,2426.0,4749
1786080840,2425.8,2425.8,2424.5,2424.5,4104
1786080900,2424.6,2425.3,2424.2,2425.0,118316
1786080960,2424.8,2424.9,2423.7,2424.6,13426
1786081020,2424.4,2425.0,2424.4,2425.0,28739
1786081080,2425.0,2426.9,2424.9,2426.9,66037
1786081140,2427.0,2427.0,2426.9,2427.0,10680
1786081200,2427.0,2428.8,2426.5,2428.8,9341
1786081260,2429.6,2429.9,2428.7,2428.7,9129
1786081320,2429.2,2429.4,2428.0,2428.2,2661
1786081380,2428.8,2430.0,2428.2,2430.0,22209
1786081440,2430.0,2430.0,2429.4,2429.9,5557
1786081500,2429.9,2430.0,2429.7,2430.0,5812
1786081560,2429.5,2430.0,2429.5,2430.0,28116
1786081620,2429.9,2433.3,2429.9,2430.9,36587
1786081680,2430.9,2432.8,2430.8,2430.8,4848
1786081740,2431.0,2431.4,2430.4,2431.0,3807
1786081800,2431.0,2431.0,2428.8,2428.8,5780
1786081860,2429.0,2430.3,2428.2,2429.9,5578
1786081920,2429.7,2429.9,2428.4,2428.7,2615
1786081980,2428.1,2428.7,2426.8,2428.0,6839
1786082040,2428.7,2430.0,2428.7,2429.9,4171
1786082100,2429.8,2430.7,2429.3,2430.7,4808
1786082160,2430.6,2430.7,2429.4,2430.7,2900
1786082220,2430.7,2433.9,2430.7,2433.8,7179
1786082280,2433.8,2433.9,2433.2,2433.7,4329
1786082340,2433.5,2435.0,2433.5,2435.0,7729
1786082400,2435.0,2436.4,2434.8,2436.3,8284
1786082460,2436.1,2438.0,2436.1,2437.7,7312
1786082520,2437.7,2438.0,2435.4,2436.8,7645
1786082580,2436.8,2437.0,2435.2,2435.5,3044
1786082640,2435.5,2436.0,2434.6,2436.0,5399
1786082700,2436.0,2437.0,2436.0,2436.9,3234
1786082760,2436.9,2436.9,2436.2,2436.4,3940
1786082820,2436.2,2438.0,2436.2,2438.0,5642
1786082880,2438.0,2438.0,2436.9,2437.8,11515
1786082940,2437.9,2437.9,2436.1,2436.5,3372
1786083000,2436.0,2436.0,2434.0,2435.4,5978
1786083060,2435.8,2437.4,2435.0,2437.2,5296
1786083120,2437.2,2438.5,2436.9,2438.2,3803
