time,open,high,low,close,volume
1786074300,1636.4,1651.9,1636.4,1649.9,87994
1786074360,1649.8,1652.9,1649.5,1652.9,139423
1786074420,1650.0,1653.0,1649.9,1653.0,106067
1786074480,1653.9,1658.5,1653.0,1655.3,26424
1786074540,1655.4,1659.3,1655.0,1659.0,13296
1786074600,1658.5,1660.0,1657.8,1658.7,49914
1786074660,1658.7,1662.5,1658.7,1659.7,158360
1786074720,1659.5,1660.3,1658.8,1658.9,93172
1786074780,1659.1,1666.6,1659.1,1662.6,82969
1786074840,1662.7,1665.5,1662.4,1664.1,20713
1786074900,1664.3,1669.0,1663.6,1668.0,48652
1786074960,1667.7,1672.0,1667.5,1670.9,63600
1786075020,1670.6,1672.9,1668.0,1669.0,63878
1786075080,1669.4,1674.1,1669.0,1673.3,30702
1786075140,1673.7,1674.0,1671.9,1673.2,21652
1786075200,1673.3,1673.9,1670.4,1670.4,37427
1786075260,1670.4,1676.1,1670.0,1675.5,62768
1786075320,1675.3,1678.9,1675.2,1677.2,81710
1786075380,1677.0,1677.6,1675.8,1677.6,31312
1786075440,1677.6,1679.0,1675.2,1676.5,51620
1786075500,1676.7,1676.7,1674.1,1675.9,23517
1786075560,1676.1,1678.8,1676.1,1678.6,59118
1786075620,1677.8,1679.9,1672.8,1673.3,117853
1786075680,1673.6,1677.8,1673.5,1676.1,27212
1786075740,1676.0,1678.5,1675.6,1677.7,34528
1786075800,1678.1,1679.2,1677.1,1677.9,43054
1786075860,1678.1,1678.9,1677.5,1678.1,52791
1786075920,1678.2,1678.8,1677.1,1677.9,62054
1786075980,1677.9,1678.3,1674.3,1675.9,51804
1786076040,1676.2,1680.4,1676.1,1678.0,120146
1786076100,1678.9,1679.5,1677.2,1679.0,80117
1786076160,1679.0,1679.3,1678.0,1679.2,28355
1786076220,1679.2,1680.8,1679.1,1679.9,25552
1786076280,1680.2,1681.5,1679.5,1681.5,29684
1786076340,1681.1,1681.1,1678.1,1679.2,36782
1786076400,1679.6,1681.5,1679.6,1681.2,24073
1786076460,1681.3,1681.3,1678.9,1679.2,20268
1786076520,1679.2,1680.0,1679.1,1679.4,10496
1786076580,1679.5,1680.5,1679.5,1679.6,13301
1786076640,1679.5,1680.4,1677.6,1677.6,14846
1786076700,1678.1,1678.8,1673.5,1674.0,22645
1786076760,1674.0,1675.0,1668.0,1668.9,159833
1786076820,1669.3,1670.3,1668.6,1669.0,77792
1786076880,1669.0,1669.3,1666.2,1667.0,47018
1786076940,1667.7,1667.7,1664.4,1665.0,75918
1786077000,1665.0,1670.1,1664.9,1667.9,116495
1786077060,1667.9,1669.5,1666.6,1667.8,20879
1786077120,1667.6,1667.8,1667.0,1667.4,5035
1786077180,1667.7,1667.8,1665.3,1666.0,14810
1786077240,1666.6,1666.6,1664.3,1665.2,20613
1786077300,1665.6,1667.0,1665.3,1666.0,14027
1786077360,1666.0,1666.5,1665.9,1666.5,6643
1786077420,1666.5,1666.5,1665.4,1666.5,12632
1786077480,1665.6,1666.8,1662.5,1662.5,17330
1786077540,1661.8,1662.4,1661.6,1662.2,14287
1786077600,1662.5,1663.0,1662.1,1663.0,4678
1786077660,1662.9,1663.1,1662.7,1662.7,10182
1786077720,1662.4,1662.4,1660.0,1660.7,16028
1786077780,1660.9,1662.3,1659.7,1661.8,9590
1786077840,1661.5,1663.6,1661.3,1663.3,11876
1786077900,1663.0,1664.0,1662.6,1663.4,13079
1786077960,1663.4,1663.5,1662.0,1662.6,8423
1786078020,1661.7,1661.7,1660.3,1660.7,6139
1786078080,1660.9,1660.9,1659.5,1659.5,7761
1786078140,1659.9,1659.9,1658.8,1659.1,6666
1786078200,1659.5,1659.6,1658.8,1659.0,4275
1786078260,1658.9,1659.4,1658.4,1658.8,5031
1786078320,1658.9,1659.1,1658.0,1658.8,9867
1786078380,1658.3,1658.3,1655.7,1655.9,16479
1786078440,1655.9,1656.7,1655.7,1656.0,4744
1786078500,1656.2,1656.4,1653.5,1654.0,15385
1786078560,1654.1,1654.1,1652.7,1653.5,7769
1786078620,1652.9,1654.3,1652.9,1653.5,9225
1786078680,1654.1,1655.0,1653.5,1655.0,7125
1786078740,1654.4,1655.0,1654.1,1654.1,6172
1786078800,1653.0,1654.9,1652.8,1654.8,9696
1786078860,1654.9,1655.0,1654.3,1654.3,6983
1786078920,1654.5,1654.5,1653.0,1653.1,3641
1786078980,1653.5,1654.9,1650.1,1651.4,45927
1786079040,1651.0,1651.6,1649.7,1649.7,62246
1786079100,1650.0,1650.0,1648.1,1648.2,6467
1786079160,1648.9,1648.9,1648.0,1648.0,12234
1786079220,1648.8,1648.8,1647.0,1647.0,9193
1786079280,1647.4,1648.0,1646.6,1647.4,6710
1786079340,1647.4,1649.0,1647.4,1649.0,8601
1786079400,1649.0,1650.0,1648.0,1648.8,12219
1786079460,1648.2,1648.5,1646.0,1646.4,16281
1786079520,1646.2,1647.9,1645.3,1647.0,9953
1786079580,1647.7,1647.8,1647.0,1647.3,2838
1786079640,1647.9,1649.2,1647.5,1648.1,14172
1786079700,1648.1,1650.0,1648.1,1650.0,4636
1786079760,1649.9,1649.9,1647.3,1648.0,5774
1786079820,1648.0,1648.4,1647.3,1648.2,1488
1786079880,1647.9,1647.9,1645.6,1645.7,9573
1786079940,1645.7,1648.3,1645.6,1647.0,7205
1786080000,1646.9,1647.6,1646.7,1647.0,2196
1786080060,1647.0,1647.0,1646.9,1646.9,4293
1786080120,1647.7,1647.7,1646.8,1647.0,4418
1786080180,1647.0,1648.0,1647.0,1647.0,17858
1786080240,1647.8,1648.2,1646.9,1647.0,15914
1786080300,1647.0,1647.7,1647.0,1647.0,12151
1786080360,1647.2,1647.7,1646.4,1646.7,6903
1786080420,1647.3,1647.7,1646.8,1647.0,4879
1786080480,1647.0,1649.0,1646.9,1646.9,39801
1786080540,1647.0,1647.4,1646.9,1647.0,3263
1786080600,1647.0,1647.4,1647.0,1647.0,2312
1786080660,1647.0,1647.0,1646.1,1646.3,5439
1786080720,1646.5,1647.0,1646.3,1646.6,1827
1786080780,1647.0,1647.0,1646.7,1646.7,2015
1786080840,1646.4,1647.0,1646.4,1646.8,4414
1786080900,1647.0,1647.0,1646.6,1647.0,1979
1786080960,1646.6,1646.6,1646.2,1646.3,3224
1786081020,1646.1,1646.4,1646.0,1646.1,1365
1786081080,1646.4,1646.9,1646.2,1646.9,1479
1786081140,1647.0,1647.0,1646.7,1647.0,2560
1786081200,1647.0,1647.0,1646.9,1647.0,2426
1786081260,1647.6,1647.7,1647.3,1647.3,2103
1786081320,1647.7,1647.9,1646.4,1646.4,8447
1786081380,1646.6,1647.0,1646.6,1646.9,10804
1786081440,1647.0,1647.0,1646.3,1646.9,3010
1786081500,1646.8,1647.3,1646.8,1647.3,1784
1786081560,1647.0,1647.2,1646.9,1646.9,2164
1786081620,1647.0,1648.3,1647.0,1647.3,20049
1786081680,1647.3,1648.2,1647.0,1647.2,10577
1786081740,1647.1,1647.7,1647.1,1647.6,940
1786081800,1647.0,1647.0,1646.6,1646.6,5021
1786081860,1646.7,1646.7,1645.5,1645.6,4919
1786081920,1645.6,1646.0,1645.6,1645.9,1589
1786081980,1646.0,1646.0,1644.5,1645.0,9287
1786082040,1644.9,1645.9,1644.9,1645.5,1847
1786082100,1645.8,1646.4,1645.4,1646.2,2424
1786082160,1646.2,1647.6,1646.1,1647.5,3213
1786082220,1647.1,1647.9,1647.0,1647.9,2257
1786082280,1647.7,1649.3,1647.0,1648.6,75475
1786082340,1648.6,1649.0,1647.0,1647.1,100815
1786082400,1647.0,1647.7,1646.9,1646.9,34124
1786082460,1647.0,1647.7,1646.9,1646.9,25090
1786082520,1647.0,1647.0,1646.1,1646.6,3772
1786082580,1646.6,1646.8,1646.1,1646.5,2171
1786082640,1646.2,1647.0,1646.2,1647.0,1393
1786082700,1647.0,1648.0,1646.8,1647.5,26144
1786082760,1648.1,1648.1,1646.9,1646.9,23606
1786082820,1647.0,1648.0,1646.8,1648.0,16452
1786082880,1647.8,1647.9,1646.8,1647.0,63070
1786082940,1647.3,1647.5,1646.9,1646.9,18482
1786083000,1646.9,1647.4,1646.9,1647.4,2707
1786083060,1647.0,1647.0,1646.8,1647.0,15158
1786083120,1648.0,1648.2,1646.7,1646.7,95120
1786083180,1646.8,1647.4,1646.7,1646.9,2463
1786083240,1647.0,1647.6,1646.9,1647.0,30520
1786083300,1647.0,1647.6,1646.9,1647.0,5154
1786083360,1647.0,1647.0,1646.1,1646.1,5450
1786083420,1646.2,1646.2,1644.7,1645.0,8187
1786083480,1645.0,1645.0,1644.3,1644.4,3763
1786083540,1644.5,1644.9,1643.2,1643.9,15231
1786083600,1643.4,1644.1,1643.3,1643.5,13504
1786083660,1644.0,1644.6,1643.5,1644.2,17683
1786083720,1644.7,1644.7,1644.0,1644.0,20685
1786083780,1643.9,1644.8,1643.7,1644.0,22881
1786083840,1644.0,1644.5,1643.1,1643.2,23568
1786083900,1643.2,1647.0,1642.9,1646.0,19221
1786083960,1646.2,1646.2,1642.5,1643.7,26792
